
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending July 5, 2008 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	13	50	264	1,518	1,568	5	9	45	244	310	70	229	351	5,564	5,352						
NEW ENGLAND	1	1	41	30	83	-	0	8	5	12	4	6	14	148	120						
Conn.	-	0	37	-	51	-	0	7	-	4	1	0	6	11	16						
Maine	1	0	2	13	8	-	0	1	1	1	-	0	2	6	2						
Mass.	-	0	0	-	-	-	0	0	-	2	2	4	11	121	70						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	3	7	12						
R.I.	-	0	3	7	13	-	0	1	2	3	-	0	3	2	18						
Vt.	-	0	2	10	11	-	0	1	2	2	-	0	5	1	2						
MID. ATLANTIC	2	3	10	129	90	-	0	2	15	22	19	32	45	889	808						
N.J.	-	0	0	-	-	-	0	0	-	-	5	4	10	106	100						
N.Y. (Upstate)	1	1	4	32	29	-	0	2	4	8	7	3	13	75	71						
N.Y. City	-	0	5	39	-	-	0	0	-	-	7	17	30	561	498						
Pa.	1	1	8	58	61	-	0	2	11	14	-	5	12	147	139						
E.N. CENTRAL	-	13	50	427	427	-	2	14	68	70	8	16	31	422	433						
Ill.	-	2	15	56	76	-	0	6	12	24	-	5	19	70	227						
Ind.	-	3	28	132	94	-	0	11	16	12	2	2	6	71	21						
Mich.	-	0	2	8	1	-	0	1	2	1	6	2	17	113	57						
Ohio	-	7	15	231	256	-	1	4	38	33	-	4	14	145	95						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	23	33						
W.N. CENTRAL	2	2	106	103	107	-	0	9	7	22	2	8	15	203	157						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	10	9						
Kans.	-	1	5	42	58	-	0	1	2	4	-	0	5	19	9						
Minn.	-	0	105	-	1	-	0	9	-	14	-	1	4	44	34						
Mo.	2	1	8	61	39	-	0	1	2	-	2	5	10	127	99						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	1	3	3						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	7	-	0	1	3	4	-	0	3	-	3						
S. ATLANTIC	7	20	42	624	663	3	4	10	106	144	11	48	215	1,178	1,160						
Del.	-	0	1	2	5	-	0	1	-	1	-	0	4	8	6						
D.C.	-	0	3	12	12	-	0	0	-	1	-	2	11	50	99						
Fla.	6	11	26	343	364	3	2	6	69	74	8	18	34	466	387						
Ga.	1	7	19	204	239	-	1	6	30	60	-	10	175	160	178						
Md.	-	0	2	3	1	-	0	1	1	-	3	6	13	156	152						
N.C.	N	0	0	N	N	N	0	0	N	N	-	6	18	162	177						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	5	43	52						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	17	133	103						
W. Va.	-	1	7	60	42	-	0	2	6	8	-	0	0	-	6						
E.S. CENTRAL	1	5	14	160	122	2	1	4	31	22	16	20	31	541	409						
Ala.	N	0	0	N	N	N	0	0	N	N	3	8	17	226	164						
Ky.	1	1	4	44	17	-	0	2	8	2	1	1	7	46	34						
Miss.	-	0	3	1	30	-	0	3	-	4	2	2	15	74	57						
Tenn.	-	3	12	115	75	2	1	3	23	16	10	8	14	195	154						
W.S. CENTRAL	-	1	5	26	50	-	0	2	7	7	-	39	62	984	891						
Ark.	-	0	2	9	1	-	0	1	2	2	-	2	19	72	57						
La.	-	0	5	17	49	-	0	2	5	5	-	10	22	189	236						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	42	34						
Tex.	-	0	0	-	-	-	0	0	-	-	-	25	49	681	564						
MOUNTAIN	-	1	6	19	26	-	0	2	4	9	4	9	29	194	212						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	5	21	78	111						
Colo.	-	0	0	-	-	-	0	0	-	-	2	1	7	59	23						
Idaho	N	0	0	N	N	N	0	0	N	N	1	0	1	2	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	1						
Nev.	N	0	0	N	N	N	0	0	N	N	1	2	6	38	46						
N. Mex.	-	0	1	1	-	-	0	0	-	-	-	1	3	17	22						
Utah	-	1	6	18	15	-	0	2	4	8	-	0	2	-	7						
Wyo.	-	0	1	-	11	-	0	1	-	1	-	0	1	-	1						
PACIFIC	-	0	0	-	-	-	0	1	1	2	6	40	71	1,005	1,162						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	5						
Calif.	N	0	0	N	N	N	0	0	N	N	1	36	59	894	1,083						
Hawaii	-	0	0	-	-	-	0	1	1	2	-	0	2	11	5						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	2	8	8						
Wash.	N	0	0	N	N	N	0	0	N	N	4	3	13	92	61						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	4						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
