
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending January 12, 2008 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2008
5-year weekly average†
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	-	1	-	-	-		
Botulism:										
foodborne	1	1	0	19	20	19	16	20	PA (1 )	
infant	-	2	2	81	97	85	87	76		
other(wound & unspecified)	-	-	1	23	48	31	30	33		
Brucellosis	1	2	3	124	121	120	114	104	OH (1 )	
Chancroid	-	1	0	34	33	17	30	54		
Cholera	-	-	0	7	9	8	6	2		
Cyclosporiasis §	-	1	2	94	137	543	160	75		
Diphtheria	-	-	-	-	-	-	-	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	-	44	67	80	112	108		
eastern equine	-	-	-	4	8	21	6	14		
Powassan	-	-	-	1	1	1	1	-		
St. Louis	-	-	0	7	10	13	12	41		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis/Anaplasmosis §,**:										
Ehrlichia chaffeensis	-	-	-	N	N	N	N	N		
Ehrlichia ewingii	-	-	-	N	N	N	N	N		
Anaplasma phagocytophilum	-	-	-	N	N	N	N	N		
undetermined	-	-	-	N	N	N	N	N		
Haemophilus influenzae ††, invasive disease (age &lt;5 yrs):										
serotype B	-	-	1	19	29	9	19	32		
nonserotype B	-	-	4	156	175	135	135	117		
unknown serotype	6	9	5	186	179	217	177	227	NY (1 ), MD (1 ), GA (2 ), FL (1 ), TN (1 )	
Hansen disease §	1	1	2	62	66	87	105	95	FL (1 )	
Hantavirus pulmonary syndrome §	-	-	1	32	40	26	24	26		
Hemolytic uremic syndrome, post-diarrheal §	-	-	4	232	288	221	200	178		
Hepatitis C viral, acute	6	11	19	739	766	652	720	1,102	MI (1 ), MO (1 ), FL (1 ), TX (1 ), OR (1 ), CA (1 )	
HIV infection, pediatric (age &lt;13 yrs) §§	-	-	4	-	-	380	436	504		
Influenza-associated pediatric mortality §, ¶¶	-	-	1	74	43	45	-	N		
