
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending August 9, 2008 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	14	51	264	1,641	1,701	2	9	43	279	328	125	232	351	6,877	6,434						
NEW ENGLAND	-	1	41	30	86	-	0	8	5	12	6	6	14	189	156						
Conn.	-	0	37	-	51	-	0	7	-	4	1	0	6	17	21						
Maine	-	0	2	13	9	-	0	1	1	1	-	0	2	8	4						
Mass.	-	0	0	-	-	-	0	0	-	2	4	4	11	138	88						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	11	20						
R.I.	-	0	3	7	15	-	0	1	2	3	-	0	5	13	21						
Vt.	-	0	2	10	11	-	0	1	2	2	-	0	5	2	2						
MID. ATLANTIC	1	3	10	148	96	-	0	2	17	22	27	32	45	1,036	953						
N.J.	-	0	0	-	-	-	0	0	-	-	7	5	10	128	123						
N.Y. (Upstate)	-	1	4	39	31	-	0	2	6	8	1	3	13	88	83						
N.Y. City	-	0	5	48	-	-	0	0	-	-	16	17	30	646	582						
Pa.	1	1	8	61	65	-	0	2	11	14	3	5	12	174	165						
E.N. CENTRAL	2	13	50	450	455	-	2	14	74	74	9	18	31	581	529						
Ill.	-	2	15	57	88	-	0	6	14	25	-	7	19	162	280						
Ind.	1	3	28	140	99	-	0	11	17	15	2	2	6	81	29						
Mich.	-	0	2	10	1	-	0	1	2	1	2	2	17	131	70						
Ohio	1	7	15	243	267	-	1	4	41	33	3	5	13	175	109						
Wis.	-	0	0	-	-	-	0	0	-	-	2	1	4	32	41						
W.N. CENTRAL	-	3	106	113	114	-	0	9	8	25	-	8	15	233	201						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	11	12						
Kans.	-	1	5	51	61	-	0	1	3	4	-	0	5	19	12						
Minn.	-	0	105	-	1	-	0	9	-	17	-	1	5	57	42						
Mo.	-	1	8	62	43	-	0	1	2	-	-	5	10	139	128						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	2	7	4						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	7	-	0	1	3	4	-	0	3	-	3						
S. ATLANTIC	11	20	41	688	725	2	4	10	129	156	41	51	215	1,463	1,398						
Del.	-	0	1	3	5	-	0	0	-	2	-	0	4	10	7						
D.C.	-	0	3	12	12	-	0	0	-	1	3	2	11	73	115						
Fla.	11	11	26	386	407	2	2	6	82	81	13	19	34	556	459						
Ga.	-	7	19	223	253	-	1	6	41	64	-	10	175	242	236						
Md.	-	0	0	-	1	-	0	0	-	-	6	6	14	199	183						
N.C.	N	0	0	N	N	N	0	0	N	N	2	5	18	163	205						
S.C.	-	0	0	-	-	-	0	0	-	-	3	1	5	54	59						
Va.	N	0	0	N	N	N	0	0	N	N	14	5	17	165	128						
W. Va.	-	1	7	64	47	-	0	2	6	8	-	0	1	1	6						
