
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 30, 2008 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	39	93	259	3,833	3,936	6	37	166	1,087	1,191											
NEW ENGLAND	2	6	31	285	301	-	1	14	50	94											
Conn.	2	0	26	86	90	-	0	11	-	12											
Maine	-	0	3	20	21	-	0	1	1	1											
Mass.	-	3	8	138	150	-	1	5	39	63											
N.H.	-	0	2	18	23	-	0	1	7	8											
R.I.	-	0	8	12	2	-	0	1	2	8											
Vt.	-	0	2	11	15	-	0	1	1	2											
MID. ATLANTIC	9	18	43	795	744	-	4	19	137	212											
N.J.	-	3	11	130	136	-	1	6	28	43											
N.Y. (Upstate)	6	6	17	264	228	-	2	14	68	75											
N.Y. City	-	3	10	138	182	-	1	12	41	94											
Pa.	3	5	16	263	198	N	0	0	N	N											
E.N. CENTRAL	5	19	63	831	779	1	6	23	227	212											
Ill.	-	5	16	204	239	-	1	6	46	52											
Ind.	1	2	11	105	90	-	0	14	27	13											
Mich.	1	3	10	130	161	-	1	5	52	57											
Ohio	3	5	14	215	185	1	1	5	40	44											
Wis.	-	2	42	177	104	-	1	9	62	46											
W.N. CENTRAL	-	4	39	292	258	-	2	16	89	60											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	39	27	-	0	3	14	-											
Minn.	-	0	35	130	124	-	0	13	34	35											
Mo.	-	2	10	67	67	-	1	2	26	16											
Nebr.	-	0	3	30	20	-	0	3	6	8											
N. Dak.	-	0	5	10	13	-	0	2	4	1											
S. Dak.	-	0	2	16	7	-	0	1	5	-											
S. ATLANTIC	7	19	34	672	932	2	6	13	163	207											
Del.	-	0	2	6	8	-	0	0	-	-											
D.C.	-	0	4	20	16	-	0	1	1	2											
Fla.	3	6	11	190	219	1	1	4	44	42											
Ga.	1	4	14	161	182	-	1	5	47	48											
Md.	1	0	6	17	160	1	0	4	5	48											
N.C.	-	2	10	104	128	N	0	0	N	N											
S.C.	2	1	5	48	82	-	1	4	36	28											
Va.	-	3	12	103	117	-	0	6	25	32											
W. Va.	-	0	3	23	20	-	0	1	5	7											
E.S. CENTRAL	2	4	9	128	163	1	2	11	67	67											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	29	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	1	3	7	99	131	1	2	9	51	62											
W.S. CENTRAL	13	8	85	337	236	2	5	66	174	164											
Ark.	-	0	2	4	17	-	0	2	4	9											
La.	-	0	2	11	14	-	0	2	6	29											
Okla.	3	2	19	84	54	-	1	7	49	35											
Tex.	10	6	65	238	151	2	3	58	115	91											
MOUNTAIN	-	10	22	389	424	-	5	12	168	162											
Ariz.	-	3	9	144	158	-	2	8	85	81											
Colo.	-	2	8	108	108	-	1	4	46	31											
Idaho	-	0	2	11	12	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	7	72	72	-	0	3	14	27											
Utah	-	1	5	40	67	-	0	3	15	20											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	1	3	10	104	99	-	0	2	12	13											
Alaska	1	0	4	27	20	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	77	79	-	0	2	12	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	10	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


