
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 13, 2008 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	50	93	259	3,969	4,049	9	37	166	1,123	1,236											
NEW ENGLAND	1	6	31	291	308	-	1	14	50	94											
Conn.	-	0	26	90	90	-	0	11	-	12											
Maine	-	0	3	20	22	-	0	1	1	1											
Mass.	-	3	8	138	154	-	1	5	39	63											
N.H.	-	0	2	19	23	-	0	1	7	8											
R.I.	-	0	8	12	4	-	0	1	2	8											
Vt.	1	0	2	12	15	-	0	1	1	2											
MID. ATLANTIC	9	18	43	815	766	-	4	19	138	212											
N.J.	-	3	11	132	138	-	1	6	28	43											
N.Y. (Upstate)	6	6	17	274	237	-	2	14	69	75											
N.Y. City	-	3	10	142	184	-	1	12	41	94											
Pa.	3	6	16	267	207	N	0	0	N	N											
E.N. CENTRAL	7	19	63	845	793	-	6	23	231	219											
Ill.	-	5	16	205	243	-	1	6	46	56											
Ind.	2	2	11	109	95	-	0	14	29	13											
Mich.	1	3	10	132	162	-	1	5	53	58											
Ohio	4	5	14	219	187	-	1	5	41	46											
Wis.	-	2	42	180	106	-	1	9	62	46											
W.N. CENTRAL	-	5	39	302	264	-	2	16	98	63											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	29	28	-	0	3	13	-											
Minn.	-	0	35	144	124	-	0	13	39	36											
Mo.	-	2	10	70	70	-	1	2	28	17											
Nebr.	-	0	3	31	21	-	0	3	7	9											
N. Dak.	-	0	5	10	13	-	0	2	5	1											
S. Dak.	-	0	2	18	8	-	0	1	6	-											
S. ATLANTIC	13	18	34	711	968	-	6	13	164	223											
Del.	-	0	2	6	9	-	0	0	-	-											
D.C.	-	0	4	20	16	-	0	1	1	2											
Fla.	3	5	11	197	229	-	1	4	44	45											
Ga.	3	4	13	173	186	-	1	5	48	51											
Md.	1	1	6	24	165	-	0	4	5	49											
N.C.	4	2	10	110	134	N	0	0	N	N											
S.C.	2	1	5	50	86	-	1	4	36	34											
Va.	-	3	12	104	123	-	0	6	25	35											
W. Va.	-	0	3	27	20	-	0	1	5	7											
E.S. CENTRAL	-	4	9	129	167	1	2	11	70	72											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	29	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	-	3	7	100	135	1	2	9	54	67											
W.S. CENTRAL	12	8	85	356	241	5	5	66	186	172											
Ark.	-	0	2	4	17	-	0	2	5	10											
La.	-	0	2	11	14	-	0	2	7	30											
Okla.	3	2	19	91	54	-	1	7	49	37											
Tex.	9	6	65	250	156	5	3	58	125	95											
MOUNTAIN	8	10	22	409	436	3	5	12	173	168											
Ariz.	3	3	9	152	165	2	2	8	88	84											
Colo.	5	2	8	117	112	1	1	4	47	33											
Idaho	-	0	2	11	12	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	7	74	73	-	0	3	15	28											
Utah	-	1	5	41	67	-	0	3	15	20											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	-	3	10	111	106	-	0	2	13	13											
Alaska	-	0	4	29	20	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	82	86	-	0	2	13	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	1	-	13	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


