
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending October 25, 2008 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	33	57	307	2,282	2,426	9	9	43	342	413	138	233	351	9,566	9,181						
NEW ENGLAND	1	1	49	52	101	-	0	8	8	13	2	6	14	251	224						
Conn.	-	0	44	7	55	-	0	7	-	4	-	0	6	25	28						
Maine	1	0	2	16	11	-	0	1	2	2	-	0	2	10	9						
Mass.	-	0	0	-	2	-	0	0	-	2	2	4	11	181	132						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	17	25						
R.I.	-	0	3	16	18	-	0	1	4	3	-	0	5	13	27						
Vt.	-	0	2	13	15	-	0	1	2	2	-	0	5	5	3						
MID. ATLANTIC	1	4	13	205	135	-	0	2	19	25	45	32	51	1,417	1,290						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	162	181						
N.Y. (Upstate)	-	1	6	53	47	-	0	2	6	9	6	3	13	116	113						
N.Y. City	-	1	5	63	-	-	0	0	-	-	35	21	37	924	768						
Pa.	1	2	9	89	88	-	0	2	13	16	4	5	12	215	228						
E.N. CENTRAL	6	13	64	576	632	2	2	14	83	93	7	19	34	817	730						
Ill.	-	1	17	71	146	-	0	6	14	31	-	5	19	205	378						
Ind.	2	2	39	171	143	1	0	11	21	22	-	2	10	112	44						
Mich.	-	0	3	14	2	-	0	1	2	1	1	3	17	170	97						
Ohio	4	8	17	320	341	1	1	4	46	39	4	6	14	280	159						
Wis.	-	0	0	-	-	-	0	0	-	-	2	1	4	50	52						
W.N. CENTRAL	1	3	115	135	166	1	0	9	9	36	1	7	15	317	294						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	14	16						
Kans.	1	1	5	58	77	1	0	1	4	8	1	0	5	26	17						
Minn.	-	0	114	-	23	-	0	9	-	22	-	2	5	82	52						
Mo.	-	1	8	72	52	-	0	1	2	2	-	5	10	187	198						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	2	8	4						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	5	12	-	0	1	3	4	-	0	0	-	7						
S. ATLANTIC	23	22	53	993	1,056	6	4	10	165	191	38	50	215	2,104	2,086						
Del.	-	0	1	3	10	-	0	0	-	2	-	0	4	13	12						
D.C.	-	0	3	14	19	-	0	1	1	1	5	2	9	109	153						
Fla.	17	13	30	582	583	4	2	6	108	104	15	20	36	827	726						
Ga.	6	7	22	313	382	2	1	5	48	76	-	10	175	382	387						
Md.	-	0	2	4	1	-	0	1	1	-	3	6	14	265	262						
N.C.	N	0	0	N	N	N	0	0	N	N	4	5	19	224	276						
S.C.	-	0	0	-	-	-	0	0	-	-	-	1	5	68	82						
Va.	N	0	0	N	N	N	0	0	N	N	11	5	17	214	182						
W. Va.	-	1	9	77	61	-	0	2	7	8	-	0	1	2	6						
E.S. CENTRAL	1	5	15	226	213	-	1	4	40	31	14	21	34	896	744						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	350	314						
Ky.	1	1	6	65	21	-	0	2	11	2	6	1	7	74	49						
Miss.	-	0	5	4	43	-	0	1	1	-	-	3	15	131	98						
Tenn.	-	3	13	157	149	-	0	3	28	29	8	8	17	341	283						
W.S. CENTRAL	-	1	7	64	69	-	0	2	12	8	22	38	61	1,664	1,542						
Ark.	-	0	2	12	5	-	0	1	3	2	6	2	19	143	104						
La.	-	1	7	52	64	-	0	2	9	6	3	9	22	380	436						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	54	56						
Tex.	-	0	0	-	-	-	0	0	-	-	13	25	48	1,087	946						
MOUNTAIN	-	1	7	29	51	-	0	2	4	13	1	9	29	328	403						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	21	145	214						
Colo.	-	0	0	-	-	-	0	0	-	-	1	2	7	85	43						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	1	3	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	4						
Nev.	N	0	0	N	N	N	0	0	N	N	-	1	6	58	92						
N. Mex.	-	0	1	2	-	-	0	0	-	-	-	1	4	34	32						
Utah	-	0	7	25	35	-	0	2	4	11	-	0	2	-	14						
Wyo.	-	0	1	2	16	-	0	1	-	2	-	0	1	3	3						
PACIFIC	-	0	1	2	3	-	0	1	2	3	8	42	65	1,772	1,868						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	1	7						
Calif.	N	0	0	N	N	N	0	0	N	N	5	38	59	1,594	1,718						
Hawaii	-	0	1	2	3	-	0	1	2	3	-	0	2	12	7						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	3	19	15						
Wash.	N	0	0	N	N	N	0	0	N	N	2	4	9	146	121						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	4						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	3	11	125	132						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


