
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2008 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	66	83	168	282	343	16	35	88	94	118											
NEW ENGLAND	1	5	28	3	24	-	1	7	2	20											
Conn.	-	0	22	-	1	-	0	2	-	2											
Maine	1	0	3	1	3	-	0	1	-	-											
Mass.	-	2	12	-	13	-	1	4	-	14											
N.H.	-	0	4	2	3	-	0	2	2	2											
R.I.	-	0	1	-	-	-	0	1	-	1											
Vt.	-	0	1	-	4	-	0	1	-	1											
MID. ATLANTIC	15	16	40	57	65	3	5	38	11	21											
N.J.	-	2	12	1	11	-	1	5	1	5											
N.Y. (Upstate)	7	5	20	26	10	3	2	12	10	10											
N.Y. City	-	4	13	2	21	-	2	35	-	6											
Pa.	8	4	11	28	23	N	0	0	N	N											
E.N. CENTRAL	11	15	34	49	87	3	4	17	14	23											
Ill.	-	4	13	4	29	-	1	6	-	3											
Ind.	-	2	10	7	4	-	0	11	-	1											
Mich.	3	3	10	14	17	-	1	5	5	9											
Ohio	8	4	14	24	33	3	1	5	9	6											
Wis.	-	0	5	-	4	-	0	2	-	4											
W.N. CENTRAL	6	5	32	15	19	-	3	10	9	4											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	3	4	5	-	0	1	2	-											
Minn.	-	0	29	-	-	-	1	9	-	-											
Mo.	1	2	4	7	12	-	0	2	5	4											
Nebr.	3	0	3	3	-	-	0	3	2	-											
N. Dak.	-	0	3	-	-	-	0	1	-	-											
S. Dak.	-	0	2	1	2	-	0	0	-	-											
S. ATLANTIC	20	23	49	93	69	1	6	14	17	19											
Del.	-	0	1	-	1	-	0	0	-	-											
D.C.	-	0	3	-	-	-	0	0	-	-											
Fla.	6	6	16	30	18	-	1	5	4	1											
Ga.	6	4	12	25	18	-	0	5	-	6											
Md.	5	4	9	22	18	1	1	5	9	6											
N.C.	-	1	22	2	-	-	0	0	-	-											
S.C.	-	1	7	5	7	-	1	4	4	1											
Va.	3	3	11	9	7	-	0	3	-	5											
W. Va.	-	0	3	-	-	-	0	1	-	-											
E.S. CENTRAL	1	4	13	9	18	1	2	9	1	9											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	2	6	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	1	-	2											
Tenn.	1	3	13	7	12	1	2	9	1	7											
W.S. CENTRAL	6	6	21	16	14	4	5	27	10	7											
Ark.	-	0	2	-	2	-	0	1	1	1											
La.	-	0	4	-	2	-	0	4	-	3											
Okla.	2	1	5	6	6	1	1	4	4	2											
Tex.	4	4	17	10	4	3	2	23	5	1											
MOUNTAIN	5	9	21	36	39	4	4	12	25	14											
Ariz.	5	4	10	22	15	4	2	8	19	12											
Colo.	-	3	8	8	8	-	1	4	3	-											
Idaho	-	0	2	1	1	-	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	-	-	-	0	1	1	-											
N. Mex.	-	1	4	-	6	-	0	4	-	1											
Utah	-	2	6	5	8	-	0	2	1	1											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	1	3	7	4	8	-	0	4	5	1											
Alaska	1	0	3	1	1	-	0	4	5	1											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	3	7	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


