
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 27, 2008 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2008
Giardiasis cummulative for 2007
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2008
Gonorrhea cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2008
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007

tab delimited data:
test
UNITED STATES	99	303	1,158	16,843	19,417	1,068	5,920	8,913	292,509	355,991	12	46	173	2,486	2,541						
NEW ENGLAND	2	24	49	1,217	1,461	83	97	227	5,159	5,744	-	3	12	146	188						
Conn.	-	6	11	291	370	39	50	199	2,522	2,327	-	0	9	42	54						
Maine	2	3	12	184	197	-	2	6	92	118	-	0	2	17	13						
Mass.	-	9	17	343	605	40	39	69	2,113	2,695	-	1	5	57	89						
N.H.	-	2	11	142	33	-	2	6	98	138	-	0	1	9	18						
R.I.	-	1	8	87	85	4	6	13	301	402	-	0	7	13	10						
Vt.	-	3	13	170	171	-	0	3	33	64	-	0	3	8	4						
MID. ATLANTIC	21	60	131	3,141	3,283	181	621	1,028	32,143	36,479	5	10	31	496	491						
N.J.	-	7	14	302	403	21	100	167	5,152	6,076	-	1	7	71	70						
N.Y. (Upstate)	12	21	111	1,195	1,275	93	117	545	5,976	7,389	1	3	22	152	153						
N.Y. City	1	15	29	804	847	-	178	633	10,225	10,308	-	2	6	88	103						
Pa.	8	15	46	840	758	67	214	394	10,790	12,706	4	4	8	185	165						
E.N. CENTRAL	19	48	86	2,531	2,867	271	1,211	1,648	61,459	72,903	-	7	28	364	401						
Ill.	-	11	31	604	866	1	360	481	17,102	20,813	-	2	7	113	124						
Ind.	N	0	0	N	N	86	147	284	8,130	8,790	-	1	20	71	78						
Mich.	2	11	22	588	620	176	327	657	16,728	15,482	-	0	2	21	31						
Ohio	12	17	31	892	826	4	283	531	15,013	21,066	-	2	6	132	108						
Wis.	5	8	19	447	555	4	86	176	4,486	6,752	-	0	2	27	60						
W.N. CENTRAL	2	28	621	1,951	2,237	107	314	425	16,113	19,356	-	3	24	190	161						
Iowa	-	6	18	318	301	10	29	48	1,571	1,928	-	0	1	2	1						
Kans.	-	3	11	157	184	31	40	130	2,269	2,282	-	0	3	16	11						
Minn.	-	0	575	666	913	-	55	92	2,648	3,459	-	0	21	58	82						
Mo.	-	8	22	451	515	47	149	199	7,845	9,876	-	1	6	72	42						
Nebr.	2	4	10	209	160	19	25	47	1,319	1,434	-	0	2	29	19						
N. Dak.	-	0	36	23	60	-	2	6	113	116	-	0	3	13	6						
S. Dak.	-	2	10	127	104	-	7	15	348	261	-	0	0	-	-						
S. ATLANTIC	27	54	87	2,823	3,088	226	1,177	3,072	62,303	85,787	5	12	29	657	620						
Del.	-	1	3	40	41	21	19	44	1,022	1,293	-	0	2	7	8						
D.C.	-	1	5	56	74	-	48	101	2,575	2,373	-	0	2	11	3						
Fla.	21	24	57	1,357	1,268	143	447	522	22,620	23,327	3	3	9	189	168						
Ga.	-	9	27	557	681	-	111	523	7,579	17,835	2	2	9	138	127						
Md.	2	5	12	254	269	-	116	206	5,990	6,768	-	2	6	92	88						
N.C.	N	0	0	N	N	-	0	1,949	2,638	16,666	-	1	9	76	59						
S.C.	-	2	6	130	121	-	180	830	9,103	10,326	-	1	7	49	57						
Va.	4	7	39	373	582	62	182	486	10,080	6,269	-	1	6	74	80						
W. Va.	-	1	5	56	52	-	13	26	696	930	-	0	3	21	30						
E.S. CENTRAL	3	8	21	453	576	49	558	837	29,136	32,212	-	3	8	129	140						
Ala.	-	5	12	250	273	-	172	250	8,756	10,885	-	0	2	21	29						
Ky.	N	0	0	N	N	-	90	153	4,494	3,449	-	0	1	2	10						
Miss.	N	0	0	N	N	-	134	401	7,241	8,314	-	0	2	13	10						
Tenn.	3	3	13	203	303	49	162	297	8,645	9,564	-	2	6	93	91						
W.S. CENTRAL	2	8	41	434	469	53	947	1,355	46,625	52,205	-	2	29	103	131						
Ark.	2	2	8	136	158	39	86	167	4,355	4,168	-	0	3	10	12						
La.	-	2	10	136	139	-	166	317	8,760	11,137	-	0	2	10	14						
Okla.	-	3	35	162	172	14	56	124	2,955	4,827	-	1	21	73	91						
Tex.	N	0	0	N	N	-	629	1,102	30,555	32,073	-	0	3	10	14						
MOUNTAIN	11	26	62	1,511	1,887	65	207	338	10,278	13,884	1	5	14	283	261						
Ariz.	-	2	8	139	192	12	62	93	3,188	5,062	-	2	11	109	91						
Colo.	8	10	27	548	580	53	57	100	3,017	3,376	1	1	4	55	58						
Idaho	1	3	14	192	223	-	3	13	173	269	-	0	4	12	8						
Mont.	-	1	9	84	112	-	2	10	106	122	-	0	1	4	2						
Nev.	-	1	8	90	146	-	39	130	2,051	2,357	-	0	2	14	12						
N. Mex.	-	1	7	85	119	-	24	104	1,200	1,796	-	0	4	40	43						
Utah	2	6	22	346	466	-	10	20	426	821	-	1	5	45	41						
Wyo.	-	0	3	27	49	-	2	9	117	81	-	0	2	4	6						
PACIFIC	12	53	185	2,782	3,549	33	599	759	29,293	37,421	1	2	7	118	148						
Alaska	-	2	10	102	79	8	10	17	515	579	-	0	2	17	15						
Calif.	-	35	91	1,792	2,336	-	499	657	24,320	31,294	-	0	3	24	48						
Hawaii	-	1	4	41	77	-	11	22	550	659	1	0	2	21	12						
Oreg.	-	8	18	434	462	9	23	48	1,205	1,236	-	1	4	53	67						
Wash.	12	8	87	413	595	16	53	90	2,703	3,653	-	0	3	3	6						
Amer. Samoa	-	0	0	-	-	-	0	1	3	3	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	2	-	1	15	73	142	-	0	0	-	1						
P.R.	-	2	13	151	371	-	5	25	269	323	-	0	0	-	2						
V.I.	-	0	0	-	-	-	2	6	93	39	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for H. influenzae (age <5 yrs serotype b, nonserotype b, and unknown serotype) are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


