
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2008 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	82	85	168	555	667	14	32	107	156	235											
NEW ENGLAND	-	5	28	4	47	-	1	7	2	29											
Conn.	-	0	22	-	2	-	0	1	-	4											
Maine	-	0	3	1	3	-	0	1	-	-											
Mass.	-	2	12	-	31	-	1	4	-	19											
N.H.	-	0	4	2	5	-	0	2	2	3											
R.I.	-	0	1	-	-	-	0	1	-	2											
Vt.	-	0	1	1	6	-	0	1	-	1											
MID. ATLANTIC	4	16	40	99	129	1	5	38	16	37											
N.J.	-	2	12	5	24	-	1	5	2	10											
N.Y. (Upstate)	4	6	20	46	25	1	2	13	14	18											
N.Y. City	-	3	13	10	37	-	1	35	-	9											
Pa.	-	4	11	38	43	N	0	0	N	N											
E.N. CENTRAL	8	16	34	107	158	2	4	17	25	40											
Ill.	-	4	11	20	59	-	1	6	-	6											
Ind.	-	2	10	17	11	-	0	11	2	3											
Mich.	-	3	10	24	32	-	1	5	8	18											
Ohio	8	4	14	46	49	2	1	5	14	9											
Wis.	-	0	5	-	7	-	0	2	1	4											
W.N. CENTRAL	28	5	32	54	32	2	3	15	20	8											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	8	9	-	0	1	2	-											
Minn.	17	0	29	17	-	-	1	14	6	-											
Mo.	8	2	4	20	18	2	0	2	10	6											
Nebr.	3	0	3	7	1	-	0	3	2	1											
N. Dak.	-	0	3	-	2	-	0	0	-	1											
S. Dak.	-	0	2	2	2	-	0	0	-	-											
S. ATLANTIC	18	23	49	157	132	2	6	14	24	45											
Del.	-	0	1	1	1	-	0	0	-	-											
D.C.	-	0	3	-	1	-	0	0	-	-											
Fla.	7	6	16	47	29	1	1	5	5	4											
Ga.	5	5	12	40	28	-	0	5	-	15											
Md.	6	4	9	35	26	1	1	5	13	13											
N.C.	-	1	22	9	14	-	0	0	-	-											
S.C.	-	1	7	10	13	-	1	4	6	5											
Va.	-	3	12	13	17	-	0	3	-	8											
W. Va.	-	0	3	2	3	-	0	1	-	-											
E.S. CENTRAL	2	4	13	16	31	-	2	11	5	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	4	8	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	2											
Tenn.	1	3	13	12	23	-	2	9	5	14											
W.S. CENTRAL	8	6	38	44	33	4	5	37	26	27											
Ark.	-	0	2	-	5	-	0	2	3	3											
La.	-	0	4	1	4	-	0	3	-	10											
Okla.	4	1	8	18	14	3	1	5	12	6											
Tex.	4	5	29	25	10	1	2	32	11	8											
MOUNTAIN	12	9	21	63	88	2	4	12	31	28											
Ariz.	3	4	10	36	39	1	2	8	24	17											
Colo.	9	3	8	17	18	1	1	4	4	6											
Idaho	-	0	2	3	2	-	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	-	1	-	0	1	1	-											
N. Mex.	-	1	4	-	10	-	0	4	-	2											
Utah	-	1	6	7	17	-	0	2	1	3											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	2	3	7	11	17	1	0	4	7	5											
Alaska	1	0	3	2	3	1	0	4	7	4											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	5	9	14	-	0	1	-	1											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


