
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 14, 2009 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	80	197	1,062	1,699	1,475	17	94	162	363	682	7	42	145	119	37						
NEW ENGLAND	-	17	36	91	225	4	7	21	40	44	-	0	2	1	1						
Conn.	-	0	4	-	20	3	3	17	19	25	-	0	0	-	-						
Maine	-	1	7	20	12	-	1	5	6	3	-	0	1	1	-						
Mass.	-	13	29	57	176	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	4	8	6	-	0	3	1	6	-	0	1	-	-						
R.I.	-	1	8	2	6	-	0	3	5	6	-	0	2	-	-						
Vt.	-	0	2	4	5	1	1	6	9	4	-	0	0	-	-						
MID. ATLANTIC	5	17	52	130	175	6	33	67	65	185	-	1	28	1	5						
N.J.	-	1	6	6	14	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	2	6	41	25	48	6	9	20	45	50	-	0	27	-	-						
N.Y. City	-	0	3	-	28	-	0	2	-	5	-	0	2	1	2						
Pa.	3	9	34	99	85	-	21	52	20	130	-	0	2	-	1						
E.N. CENTRAL	25	36	174	445	415	-	3	29	6	2	-	1	15	2	1						
Ill.	-	11	45	96	29	-	1	21	1	1	-	1	11	1	1						
Ind.	-	2	96	21	3	-	0	2	-	-	-	0	3	-	-						
Mich.	4	6	21	111	32	-	1	9	5	-	-	0	1	1	-						
Ohio	21	10	57	211	338	-	1	7	-	1	-	0	4	-	-						
Wis.	-	2	7	6	13	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	14	23	450	340	115	2	5	15	23	20	-	4	32	3	1						
Iowa	-	3	21	16	21	-	0	5	-	2	-	0	2	-	-						
Kans.	1	2	13	24	11	1	1	9	15	4	-	0	0	-	-						
Minn.	-	2	421	-	-	-	0	10	5	8	-	0	0	-	-						
Mo.	9	9	50	252	70	1	1	8	2	-	-	4	31	3	1						
Nebr.	4	3	32	44	11	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	3	-	0	0	-	-						
S. Dak.	-	0	7	4	2	-	0	2	1	3	-	0	1	-	-						
S. ATLANTIC	19	19	71	245	120	4	26	77	178	381	7	15	69	105	22						
Del.	-	0	3	4	1	-	0	0	-	-	-	0	5	-	-						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	-						
Fla.	14	6	20	74	24	-	0	8	30	139	-	0	3	1	1						
Ga.	-	1	9	4	7	-	2	47	61	64	-	1	8	3	4						
Md.	-	2	8	8	17	-	7	17	6	75	-	1	7	5	4						
N.C.	5	0	65	117	35	N	0	4	N	N	7	7	55	88	11						
S.C.	-	2	11	16	14	-	0	0	-	-	-	1	9	3	-						
Va.	-	3	24	19	18	-	11	24	72	90	-	2	15	4	-						
W. Va.	-	0	2	3	2	4	1	9	9	13	-	0	1	1	2						
E.S. CENTRAL	3	9	33	104	49	-	3	7	12	19	-	3	23	5	3						
Ala.	-	1	4	9	16	-	0	0	-	-	-	1	8	3	2						
Ky.	3	4	15	69	7	-	1	4	12	3	-	0	1	-	-						
Miss.	-	2	5	14	19	-	0	1	-	1	-	0	3	1	-						
Tenn.	-	2	14	12	7	-	2	6	-	15	-	2	19	1	1						
W.S. CENTRAL	-	32	264	140	82	-	1	11	4	8	-	2	41	1	3						
Ark.	-	1	20	1	14	-	0	6	2	7	-	0	14	1	-						
La.	-	2	7	13	1	-	0	0	-	-	-	0	1	-	2						
Okla.	-	0	29	6	1	-	0	10	2	-	-	0	26	-	-						
Tex.	-	27	220	120	66	-	0	1	-	1	-	1	6	-	1						
MOUNTAIN	1	15	32	118	192	-	2	9	16	7	-	1	3	1	1						
Ariz.	1	3	10	15	49	N	0	0	N	N	-	0	2	-	-						
Colo.	-	3	13	34	45	-	0	0	-	-	-	0	1	-	-						
Idaho	-	1	5	12	3	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	10	5	26	-	0	3	5	-	-	0	1	-	-						
Nev.	-	0	7	5	2	-	0	4	-	-	-	0	2	-	-						
N. Mex.	-	1	10	17	6	-	0	3	5	6	-	0	1	-	1						
Utah	-	4	17	30	57	-	0	6	-	-	-	0	1	1	-						
Wyo.	-	0	2	-	4	-	0	4	6	1	-	0	2	-	-						
PACIFIC	13	25	81	86	102	1	4	13	19	16	-	0	1	-	-						
Alaska	1	3	21	17	20	-	0	2	4	8	N	0	0	N	N						
Calif.	-	8	23	-	30	1	3	12	15	8	-	0	1	-	-						
Hawaii	-	0	3	5	3	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	3	16	38	24	-	0	2	-	-	-	0	1	-	-						
Wash.	11	5	77	26	25	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	5	8	7	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

