
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 21, 2009 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	88	199	1,071	1,867	1,601	64	93	162	450	776	4	42	145	126	42						
NEW ENGLAND	1	16	36	111	244	6	8	21	52	51	-	0	2	1	1						
Conn.	-	0	4	-	20	2	3	17	21	30	-	0	0	-	-						
Maine	-	1	7	20	12	2	1	5	8	3	-	0	1	1	-						
Mass.	1	13	29	76	190	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	4	9	8	-	1	8	5	6	-	0	1	-	-						
R.I.	-	1	8	2	9	-	0	3	5	6	-	0	2	-	-						
Vt.	-	0	2	4	5	2	1	6	13	6	-	0	0	-	-						
MID. ATLANTIC	11	18	52	148	179	12	31	67	77	226	-	1	30	1	6						
N.J.	-	1	6	11	14	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	8	6	41	33	49	12	9	20	57	59	-	0	29	-	-						
N.Y. City	-	0	3	-	29	-	0	2	-	5	-	0	2	1	2						
Pa.	3	9	34	104	87	-	21	52	20	162	-	0	2	-	2						
E.N. CENTRAL	20	36	174	476	425	-	3	29	6	2	1	1	15	4	1						
Ill.	-	11	45	97	33	-	1	21	1	1	-	1	11	1	1						
Ind.	-	2	96	28	4	-	0	2	-	-	-	0	3	-	-						
Mich.	5	7	21	119	37	-	1	9	5	-	-	0	1	1	-						
Ohio	15	10	57	226	338	-	1	7	-	1	1	0	4	2	-						
Wis.	-	2	7	6	13	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	12	24	454	375	122	6	5	15	31	22	-	4	32	3	1						
Iowa	-	3	21	24	24	-	0	5	-	2	-	0	2	-	-						
Kans.	1	2	12	30	12	5	1	9	22	6	-	0	0	-	-						
Minn.	-	2	421	-	-	-	0	10	5	8	-	0	0	-	-						
Mo.	9	9	50	271	72	1	1	8	3	-	-	4	31	3	1						
Nebr.	2	3	32	46	11	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	3	-	0	0	-	-						
S. Dak.	-	0	10	4	3	-	0	2	1	3	-	0	1	-	-						
S. ATLANTIC	19	20	71	278	129	27	26	77	219	412	3	15	69	110	24						
Del.	-	0	3	4	1	-	0	0	-	-	-	0	5	-	-						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	-						
Fla.	9	7	20	83	27	-	0	8	34	139	-	0	3	1	1						
Ga.	-	1	9	4	7	27	0	47	88	72	-	1	8	3	4						
Md.	2	2	9	17	20	-	7	17	16	86	-	1	7	7	5						
N.C.	-	0	65	117	35	N	0	4	N	N	3	8	55	91	11						
S.C.	8	2	11	31	16	-	0	0	-	-	-	1	9	3	-						
Va.	-	3	24	19	19	-	10	24	72	102	-	2	15	4	1						
W. Va.	-	0	2	3	2	-	1	9	9	13	-	0	1	1	2						
