
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 28, 2009 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	78	100	208	1,412	1,607	25	34	61	402	514											
NEW ENGLAND	2	5	31	92	105	-	1	12	12	31											
Conn.	-	0	26	23	9	-	0	11	-	-											
Maine	-	0	3	5	10	-	0	1	-	1											
Mass.	1	3	7	39	69	-	1	3	9	26											
N.H.	1	1	4	15	9	-	0	1	2	4											
R.I.	-	0	8	4	2	-	0	2	-	-											
Vt.	-	0	3	6	6	-	0	1	1	-											
MID. ATLANTIC	14	18	35	261	337	4	3	19	43	66											
N.J.	-	1	11	2	65	-	1	4	10	17											
N.Y. (Upstate)	9	6	23	91	91	4	2	19	33	25											
N.Y. City	-	4	12	59	73	-	0	5	-	24											
Pa.	5	7	15	109	108	N	0	2	N	N											
E.N. CENTRAL	6	17	42	269	313	-	6	11	65	93											
Ill.	-	5	12	65	99	-	1	5	8	27											
Ind.	-	3	19	39	33	-	0	5	4	8											
Mich.	-	3	9	44	58	-	1	5	20	26											
Ohio	6	4	14	92	83	-	1	5	28	16											
Wis.	-	1	10	29	40	-	0	2	5	16											
W.N. CENTRAL	4	5	39	111	103	1	2	11	28	33											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	8	17	20	N	0	1	N	N											
Minn.	-	0	35	34	20	-	0	9	9	11											
Mo.	1	1	8	35	36	1	1	3	14	16											
Nebr.	2	1	3	16	14	-	0	1	1	2											
N. Dak.	-	0	3	1	4	-	0	2	-	1											
S. Dak.	1	0	2	8	9	-	0	2	4	3											
S. ATLANTIC	23	21	33	321	331	7	5	14	89	102											
Del.	-	0	1	6	5	-	0	0	-	-											
D.C.	-	0	4	-	8	N	0	0	N	N											
Fla.	11	6	12	85	71	1	1	3	18	15											
Ga.	4	5	14	80	68	3	1	6	32	27											
Md.	2	3	10	45	67	3	1	3	18	23											
N.C.	1	2	8	29	36	N	0	0	N	N											
S.C.	2	1	5	21	21	-	1	6	16	16											
Va.	3	3	10	45	40	-	0	3	1	19											
W. Va.	-	0	3	10	15	-	0	2	4	2											
E.S. CENTRAL	5	4	9	65	51	2	2	6	16	26											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	5	14	13	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	6											
Tenn.	4	3	7	51	38	2	1	6	16	20											
W.S. CENTRAL	8	9	57	134	129	3	6	32	71	58											
Ark.	-	0	2	4	2	-	0	3	8	3											
La.	1	0	2	5	8	-	0	3	11	2											
Okla.	3	2	13	56	39	2	1	7	14	23											
Tex.	4	6	44	69	80	1	4	23	38	30											
MOUNTAIN	10	9	23	122	198	8	4	12	68	90											
Ariz.	3	3	8	35	62	4	2	9	42	48											
Colo.	6	2	10	44	57	4	1	4	11	16											
Idaho	1	0	2	3	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	4	-	0	1	-	1											
N. Mex.	-	1	6	21	48	-	0	2	5	11											
Utah	-	1	6	16	17	-	0	4	8	13											
Wyo.	-	0	1	1	3	-	0	1	-	-											
PACIFIC	6	3	8	37	40	-	1	5	10	15											
Alaska	1	0	4	5	10	-	0	4	7	9											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	5	2	8	32	30	-	0	2	3	6											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


