
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 18, 2009 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	72	223	1,880	2,843	2,069	18	92	162	720	1,141	6	40	148	199	78						
NEW ENGLAND	-	18	34	130	289	2	8	21	75	83	-	0	2	1	1						
Conn.	-	0	4	-	19	-	3	17	31	41	-	0	0	-	-						
Maine	-	1	7	26	12	1	1	5	13	13	-	0	1	1	-						
Mass.	-	12	30	81	227	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	4	14	10	1	1	8	7	8	-	0	1	-	-						
R.I.	-	1	6	3	16	-	0	3	7	7	-	0	2	-	-						
Vt.	-	0	2	6	5	-	1	6	17	14	-	0	0	-	-						
MID. ATLANTIC	16	22	64	226	255	9	29	67	108	327	1	2	30	5	17						
N.J.	-	3	12	17	40	-	0	0	-	-	-	1	6	-	9						
N.Y. (Upstate)	6	7	41	53	68	9	9	20	88	96	1	0	29	1	-						
N.Y. City	3	1	20	23	29	-	0	2	-	7	-	0	2	4	5						
Pa.	7	9	34	133	118	-	21	52	20	224	-	0	2	-	3						
E.N. CENTRAL	13	36	174	626	492	1	3	29	8	5	-	1	15	4	2						
Ill.	-	13	45	140	44	-	1	21	2	1	-	1	11	1	2						
Ind.	-	2	96	45	14	-	0	2	-	-	-	0	3	-	-						
Mich.	2	8	21	150	53	1	1	9	6	3	-	0	1	1	-						
Ohio	11	10	57	280	363	-	1	7	-	1	-	0	4	2	-						
Wis.	-	2	7	11	18	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	21	29	839	632	171	2	5	17	62	45	-	4	33	10	3						
Iowa	-	4	21	35	26	-	0	5	6	3	-	0	2	-	-						
Kans.	4	2	12	45	22	1	1	6	34	24	-	0	0	-	-						
Minn.	-	2	781	112	27	-	0	10	7	8	-	0	0	-	-						
Mo.	14	11	51	377	79	1	1	8	7	1	-	4	32	10	3						
Nebr.	3	3	32	55	13	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	18	2	-	-	0	9	3	3	-	0	0	-	-						
S. Dak.	-	0	10	6	4	-	0	2	5	6	-	0	1	-	-						
S. ATLANTIC	17	21	71	371	188	2	25	78	352	565	1	16	71	152	34						
Del.	-	0	3	4	2	-	0	0	-	-	-	0	5	1	1						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	2						
Fla.	6	7	20	122	41	-	0	16	43	138	-	0	3	1	1						
Ga.	-	2	9	10	9	-	0	47	88	108	1	1	8	6	4						
Md.	3	3	9	28	26	-	7	17	74	129	-	1	7	11	8						
N.C.	-	0	65	125	54	N	2	4	N	N	-	9	55	119	11						
S.C.	6	2	11	44	21	-	0	0	-	-	-	1	9	4	1						
Va.	2	3	24	35	29	-	10	24	122	162	-	2	15	9	4						
W. Va.	-	0	2	3	4	2	1	6	25	28	-	0	1	1	2						
E.S. CENTRAL	3	10	33	166	72	1	3	7	32	44	2	4	23	15	12						
Ala.	2	2	5	32	17	-	0	0	-	-	-	1	8	6	6						
Ky.	-	4	15	81	11	1	1	4	20	7	-	0	1	-	-						
Miss.	-	1	5	17	28	-	0	1	-	1	-	0	3	1	1						
Tenn.	1	2	14	36	16	-	2	6	12	36	2	2	19	8	5						
W.S. CENTRAL	-	34	276	301	146	-	1	9	11	24	2	2	41	10	6						
Ark.	-	1	20	17	20	-	0	6	7	12	2	0	14	3	-						
La.	-	2	7	29	3	-	0	0	-	-	-	0	1	-	2						
Okla.	-	0	29	9	2	-	0	9	4	11	-	0	26	1	-						
Tex.	-	28	232	246	121	-	0	1	-	1	-	1	6	6	4						
MOUNTAIN	-	15	30	232	297	-	2	9	31	15	-	1	3	2	3						
Ariz.	-	3	10	33	79	N	0	0	N	N	-	0	2	1	1						
Colo.	-	3	12	69	55	-	0	0	-	-	-	0	1	-	-						
Idaho	-	1	5	22	9	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	4	7	54	-	0	4	10	-	-	0	1	-	-						
Nev.	-	0	7	6	4	-	0	5	-	-	-	0	2	-	-						
N. Mex.	-	1	10	23	21	-	0	3	11	11	-	0	1	-	1						
Utah	-	4	19	71	71	-	0	6	-	-	-	0	1	1	1						
Wyo.	-	0	2	1	4	-	0	4	10	4	-	0	2	-	-						
PACIFIC	2	16	463	159	159	1	4	13	41	33	-	0	1	-	-						
Alaska	1	3	21	26	26	-	0	2	7	10	N	0	0	N	N						
Calif.	-	6	23	13	88	1	3	12	34	23	-	0	1	-	-						
Hawaii	-	0	3	6	4	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	3	16	49	41	-	0	2	-	-	-	0	1	-	-						
Wash.	-	0	459	65	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	-	1	5	10	15	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


