
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 16, 2009 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	83	235	1,690	3,885	2,749	23	74	119	1,066	1,336	10	39	150	270	142						
NEW ENGLAND	-	18	35	170	342	4	8	21	104	122	-	0	2	3	1						
Conn.	-	0	4	6	24	-	3	17	44	57	-	0	0	-	-						
Maine	-	1	7	31	12	-	1	5	18	24	-	0	2	3	-						
Mass.	-	12	30	105	270	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	5	19	9	1	1	7	10	13	-	0	1	-	-						
R.I.	-	1	6	3	22	-	0	3	8	9	-	0	2	-	-						
Vt.	-	0	2	6	5	3	1	6	24	19	-	0	0	-	-						
MID. ATLANTIC	13	23	64	333	324	7	18	30	231	264	-	2	29	7	26						
N.J.	-	3	12	26	52	-	0	0	-	-	-	0	6	-	15						
N.Y. (Upstate)	5	6	41	69	97	7	9	20	113	129	-	0	29	1	3						
N.Y. City	-	0	21	33	36	-	0	2	-	8	-	0	2	4	4						
Pa.	8	10	33	205	139	-	8	17	118	127	-	0	2	2	4						
E.N. CENTRAL	24	37	238	795	582	2	2	28	17	20	-	2	15	9	9						
Ill.	-	13	45	164	56	-	1	20	6	6	-	1	10	6	8						
Ind.	-	2	158	73	15	-	0	2	-	1	-	0	3	-	-						
Mich.	2	8	21	183	67	2	1	9	11	10	-	0	1	1	-						
Ohio	22	12	57	347	418	-	0	7	-	3	-	0	4	2	1						
Wis.	-	2	7	28	26	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	7	30	872	801	211	4	5	17	91	75	2	4	33	24	15						
Iowa	-	4	21	41	33	-	0	5	6	5	-	0	2	-	1						
Kans.	-	2	12	70	26	-	1	6	36	33	-	0	0	-	-						
Minn.	-	2	808	155	31	-	0	11	18	16	-	0	0	-	-						
Mo.	5	14	51	449	95	4	1	8	15	5	2	3	32	23	14						
Nebr.	2	4	32	77	17	-	0	0	-	-	-	0	4	1	-						
N. Dak.	-	0	24	2	-	-	0	9	3	8	-	0	1	-	-						
S. Dak.	-	0	10	7	9	-	0	4	13	8	-	0	1	-	-						
S. ATLANTIC	14	25	71	529	257	2	28	66	471	686	4	16	72	177	49						
Del.	-	0	3	5	2	-	0	0	-	-	-	0	5	1	2						
D.C.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	1						
Fla.	14	7	20	164	59	-	0	22	49	138	1	0	3	2	2						
Ga.	-	3	9	74	19	-	6	47	102	144	2	1	9	9	10						
Md.	-	3	10	33	41	-	7	17	102	155	-	1	7	13	11						
N.C.	-	0	65	152	59	N	2	4	N	N	-	9	55	129	11						
S.C.	-	2	10	52	29	-	0	0	-	-	-	1	9	9	3						
Va.	-	3	24	44	42	-	11	24	183	211	1	2	15	13	7						
W. Va.	-	0	2	5	5	2	1	6	35	38	-	0	1	1	2						
E.S. CENTRAL	3	10	33	212	86	-	3	7	34	61	1	4	23	31	22						
Ala.	-	2	11	59	18	-	0	0	-	-	-	1	8	8	10						
Ky.	1	4	15	89	13	-	1	4	22	12	-	0	1	-	-						
Miss.	-	1	5	17	37	-	0	1	-	1	-	0	3	1	3						
Tenn.	2	2	14	47	18	-	2	6	12	48	1	3	19	22	9						
W.S. CENTRAL	18	38	383	520	222	-	0	9	16	34	3	2	132	15	13						
Ark.	-	2	38	27	23	-	0	6	12	20	-	0	60	3	1						
La.	-	2	7	34	6	-	0	0	-	-	-	0	2	-	2						
Okla.	-	0	40	9	4	-	0	9	4	13	-	0	71	2	4						
Tex.	18	31	303	450	189	-	0	1	-	1	3	1	6	10	6						
MOUNTAIN	3	15	31	288	367	-	2	9	35	20	-	1	3	4	6						
Ariz.	-	2	10	49	98	N	0	0	N	N	-	0	2	1	3						
Colo.	-	3	12	91	59	-	0	0	-	-	-	0	1	-	-						
Idaho	3	1	5	32	16	-	0	2	-	-	-	0	1	-	-						
Mont.	-	0	4	9	58	-	0	4	10	-	-	0	1	1	-						
Nev.	-	0	3	6	12	-	0	5	-	1	-	0	2	-	-						
N. Mex.	-	1	10	29	22	-	0	2	14	14	-	0	1	1	1						
Utah	-	4	19	71	97	-	0	6	-	1	-	0	1	1	2						
Wyo.	-	0	2	1	5	-	0	4	11	4	-	0	2	-	-						
PACIFIC	1	24	98	237	358	4	4	13	67	54	-	0	1	-	1						
Alaska	-	3	21	27	29	-	0	2	8	12	N	0	0	N	N						
Calif.	-	6	24	22	179	4	3	12	59	41	-	0	0	-	-						
Hawaii	-	0	3	10	4	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	3	37	81	53	-	0	2	-	1	-	0	1	-	1						
Wash.	1	6	76	97	93	-	0	0	-	-	-	0	0	-	-						
