
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending June 6, 2009 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	22	56	276	1,526	1,746	3	9	20	229	244	97	260	452	5,110	5,128						
NEW ENGLAND	-	1	48	26	33	-	0	5	1	4	4	5	15	140	133						
Conn.	-	0	48	-	-	-	0	5	-	-	-	1	5	29	8						
Maine	-	0	2	7	11	-	0	1	-	-	-	0	2	1	5						
Mass.	-	0	1	1	-	-	0	1	1	-	4	4	11	96	104						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	10	6						
R.I.	-	0	6	5	10	-	0	1	-	2	-	0	5	4	5						
Vt.	-	0	1	8	12	-	0	0	-	2	-	0	2	-	5						
MID. ATLANTIC	1	4	14	91	181	-	0	3	17	15	21	33	51	782	727						
N.J.	-	0	0	-	-	-	0	0	-	-	4	4	13	99	89						
N.Y. (Upstate)	-	1	10	38	33	-	0	2	10	4	4	2	8	46	55						
N.Y. City	-	1	4	2	76	-	0	2	-	-	8	22	36	490	451						
Pa.	1	1	8	51	72	-	0	2	7	11	5	5	12	147	132						
E.N. CENTRAL	7	10	41	332	383	1	1	7	47	53	18	24	44	424	470						
Ill.	N	0	0	N	N	N	0	0	N	N	5	9	19	110	173						
Ind.	-	2	32	97	134	-	0	6	16	17	-	2	10	68	62						
Mich.	-	0	2	15	13	-	0	1	2	2	13	4	18	107	86						
Ohio	7	7	18	220	236	1	1	4	29	34	-	6	28	118	128						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	21	21						
W.N. CENTRAL	-	3	161	58	129	-	0	4	16	23	1	6	14	128	180						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	10	8						
Kans.	-	1	5	18	54	-	0	2	9	3	-	0	3	10	14						
Minn.	-	0	156	-	15	-	0	4	-	15	-	2	6	29	43						
Mo.	-	1	5	33	55	-	0	1	5	2	-	3	10	66	110						
Nebr.	-	0	1	1	-	-	0	0	-	-	-	0	2	10	5						
N. Dak.	-	0	2	4	2	-	0	0	-	-	1	0	1	2	-						
S. Dak.	-	0	2	2	3	-	0	2	2	3	-	0	1	1	-						
S. ATLANTIC	12	24	53	744	709	2	4	14	103	102	32	62	262	1,184	1,047						
Del.	-	0	2	9	2	-	0	0	-	-	-	0	3	14	5						
D.C.	N	0	0	N	N	N	0	0	N	N	4	3	9	77	60						
Fla.	10	15	36	457	374	1	3	13	70	60	-	20	31	411	409						
Ga.	1	8	25	205	254	-	1	5	26	35	2	12	227	171	173						
Md.	-	0	1	4	4	-	0	0	-	1	-	7	16	121	133						
