
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 27, 2009 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	101	241	1,697	5,232	3,631	43	69	120	1,552	1,884	12	32	179	461	438						
NEW ENGLAND	-	17	35	224	415	9	8	15	158	183	-	0	2	4	2						
Conn.	-	0	4	13	30	8	3	10	73	89	-	0	0	-	-						
Maine	-	1	10	56	14	-	1	5	22	28	-	0	2	4	-						
Mass.	-	12	30	105	327	-	0	0	-	-	-	0	1	-	-						
N.H.	-	1	6	37	13	-	1	7	18	17	-	0	0	-	1						
R.I.	-	1	6	5	25	-	0	3	17	16	-	0	2	-	1						
Vt.	-	0	2	8	6	1	1	6	28	33	-	0	0	-	-						
MID. ATLANTIC	8	24	64	458	417	11	17	30	295	381	-	1	29	14	47						
N.J.	-	4	12	56	76	-	0	0	-	-	-	0	6	-	32						
N.Y. (Upstate)	5	6	41	89	131	11	8	20	177	195	-	0	29	1	4						
N.Y. City	3	0	21	47	44	-	0	2	-	10	-	0	3	10	6						
Pa.	-	11	33	266	166	-	7	17	118	176	-	0	2	3	5						
E.N. CENTRAL	42	44	238	1,129	681	5	2	28	49	65	-	1	15	19	29						
Ill.	-	14	45	234	78	-	1	20	6	26	-	1	10	9	22						
Ind.	-	2	158	87	21	-	0	6	6	1	-	0	3	1	1						
Mich.	4	9	21	242	91	1	1	9	22	26	-	0	1	3	2						
Ohio	38	14	57	523	447	4	0	7	15	12	-	0	4	6	4						
Wis.	-	4	10	43	44	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	-	32	872	907	298	-	5	17	118	121	-	3	33	58	106						
Iowa	-	5	21	74	45	-	0	5	9	10	-	0	1	1	5						
Kans.	-	2	12	91	30	-	1	6	49	39	-	0	1	1	-						
Minn.	-	1	808	165	69	-	0	11	20	18	-	0	0	-	-						
Mo.	-	14	51	479	115	-	1	8	17	13	-	3	32	52	96						
Nebr.	-	4	32	86	27	-	0	2	-	17	-	0	4	4	2						
N. Dak.	-	0	24	1	1	-	0	9	4	13	-	0	1	-	-						
S. Dak.	-	0	10	11	11	-	0	4	19	11	-	0	0	-	3						
S. ATLANTIC	19	26	71	703	348	11	25	93	699	890	10	16	72	252	111						
Del.	-	0	3	6	5	-	0	0	-	-	-	0	5	3	6						
D.C.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	3						
Fla.	10	8	33	249	81	-	0	77	77	138	-	0	3	4	3						
Ga.	-	3	9	79	30	-	5	52	154	197	-	1	5	13	29						
Md.	-	3	10	47	49	-	6	13	146	221	1	1	7	22	17						
N.C.	4	0	65	178	76	N	4	4	N	N	9	10	55	175	14						
S.C.	3	3	11	77	46	-	0	0	-	-	-	1	9	12	12						
Va.	2	3	24	62	54	8	11	24	266	278	-	2	15	22	22						
W. Va.	-	0	2	5	6	3	1	6	56	56	-	0	1	1	5						
E.S. CENTRAL	8	12	33	329	120	2	3	7	63	83	1	4	23	77	72						
Ala.	1	3	19	121	19	-	0	0	-	-	1	1	8	14	17						
Ky.	-	5	15	103	20	2	1	4	29	13	-	0	0	-	1						
Miss.	-	1	5	21	53	-	0	2	-	2	-	0	3	4	4						
Tenn.	7	2	14	84	28	-	2	6	34	68	-	3	19	59	50						
W.S. CENTRAL	2	40	389	759	393	-	0	9	26	51	1	2	161	29	57						
Ark.	-	2	38	33	38	-	0	5	21	33	1	0	61	14	1						
La.	-	2	7	39	23	-	0	0	-	-	-	0	2	-	3						
Okla.	2	0	45	15	12	-	0	9	4	16	-	0	98	5	40						
Tex.	-	35	304	672	320	-	0	1	1	2	-	1	6	10	13						
MOUNTAIN	11	15	31	379	455	-	2	9	47	28	-	1	3	7	13						
Ariz.	-	3	8	86	132	N	0	0	N	N	-	0	2	2	5						
Colo.	10	4	12	138	70	-	0	0	-	-	-	0	1	-	-						
