
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 27, 2009 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	50	95	239	2,945	3,322	17	33	122	901	1,029											
NEW ENGLAND	-	5	28	162	245	-	1	12	24	51											
Conn.	-	0	21	49	66	-	0	11	-	-											
Maine	-	0	3	10	17	-	0	1	2	1											
Mass.	-	2	10	60	118	-	1	2	15	39											
N.H.	-	1	4	27	16	-	0	1	5	7											
R.I.	-	0	2	4	18	-	0	2	-	4											
Vt.	-	0	3	12	10	-	0	1	2	-											
MID. ATLANTIC	5	18	38	566	699	7	4	33	136	133											
N.J.	-	1	6	5	126	-	1	4	14	38											
N.Y. (Upstate)	5	6	25	215	220	2	2	17	70	60											
N.Y. City	-	4	12	117	132	5	0	31	52	35											
Pa.	-	6	18	229	221	N	0	2	N	N											
E.N. CENTRAL	6	16	42	596	659	-	5	18	131	190											
Ill.	-	5	12	163	181	-	1	5	15	54											
Ind.	-	3	23	99	85	-	0	13	15	20											
Mich.	1	3	11	100	113	-	1	5	42	53											
Ohio	5	4	13	158	180	-	1	6	43	35											
Wis.	-	2	10	76	100	-	1	4	16	28											
W.N. CENTRAL	3	6	37	259	252	-	2	11	68	48											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	1	5	37	26	N	0	1	N	N											
Minn.	-	0	34	105	122	-	0	7	31	11											
Mo.	-	2	8	61	61	-	1	4	26	22											
Nebr.	-	1	3	29	23	-	0	1	3	5											
N. Dak.	1	0	4	10	8	-	0	3	4	5											
S. Dak.	1	0	3	17	12	-	0	2	4	5											
S. ATLANTIC	24	22	47	655	652	3	6	16	184	198											
Del.	-	0	1	8	6	-	0	0	-	-											
D.C.	-	0	2	-	7	N	0	0	N	N											
Fla.	7	5	12	161	144	3	1	6	46	37											
Ga.	1	5	13	149	146	-	2	6	47	53											
Md.	9	3	10	97	119	-	1	3	39	38											
N.C.	5	2	12	72	83	N	0	0	N	N											
S.C.	-	1	5	40	40	-	1	6	29	32											
Va.	1	3	9	101	82	-	0	4	15	33											
W. Va.	1	1	4	27	25	-	0	2	8	5											
E.S. CENTRAL	4	4	10	118	113	-	1	6	35	56											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	1	5	23	24	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	7											
Tenn.	2	3	8	95	89	-	1	6	35	49											
W.S. CENTRAL	2	9	79	259	271	7	6	46	170	150											
Ark.	-	0	2	9	7	1	0	4	17	9											
La.	-	0	3	9	11	-	0	3	13	8											
Okla.	1	3	20	90	63	1	1	7	32	45											
Tex.	1	6	59	151	190	5	4	34	108	88											
MOUNTAIN	6	9	22	256	363	-	4	16	135	172											
Ariz.	3	3	7	86	123	-	2	10	77	79											
Colo.	2	3	9	96	92	-	1	4	28	39											
Idaho	-	0	2	3	11	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	1	0	1	5	6	-	0	1	-	2											
N. Mex.	-	2	7	44	92	-	0	4	13	25											
Utah	-	1	6	21	34	-	0	4	11	23											
Wyo.	-	0	1	1	5	-	0	1	-	1											
PACIFIC	-	3	9	74	68	-	1	3	18	31											
Alaska	-	0	4	10	16	-	0	2	13	20											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	64	52	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	22	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


