
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 11, 2009 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	57	98	239	3,126	3,462	22	33	122	949	1,063											
NEW ENGLAND	-	5	28	169	253	-	1	12	24	53											
Conn.	-	0	21	49	66	-	0	11	-	-											
Maine	-	0	3	10	17	-	0	1	2	1											
Mass.	-	2	10	60	123	-	1	2	15	41											
N.H.	-	1	4	28	16	-	0	1	5	7											
R.I.	-	0	2	9	20	-	0	2	-	4											
Vt.	-	0	3	13	11	-	0	1	2	-											
MID. ATLANTIC	9	18	38	600	721	6	4	33	143	139											
N.J.	-	1	6	5	130	-	1	4	14	40											
N.Y. (Upstate)	7	6	25	231	228	1	2	17	72	63											
N.Y. City	-	4	12	124	134	5	0	31	57	36											
Pa.	2	6	18	240	229	N	0	2	N	N											
E.N. CENTRAL	11	16	42	631	692	2	5	18	140	197											
Ill.	-	4	12	163	189	-	1	5	15	57											
Ind.	-	3	23	107	86	-	0	13	19	20											
Mich.	-	3	11	106	118	-	1	5	43	53											
Ohio	2	4	13	161	188	-	1	6	44	36											
Wis.	9	2	10	94	111	2	1	4	19	31											
W.N. CENTRAL	2	6	37	274	258	10	2	11	79	50											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	28	N	0	1	N	N											
Minn.	-	0	34	118	122	10	0	7	41	11											
Mo.	-	2	8	61	62	-	0	4	26	23											
Nebr.	1	1	3	30	23	-	0	1	4	6											
N. Dak.	1	0	4	11	8	-	0	3	4	5											
S. Dak.	-	0	3	17	15	-	0	2	4	5											
S. ATLANTIC	21	22	47	698	681	-	6	16	193	205											
Del.	-	0	1	8	6	-	0	0	-	-											
D.C.	-	0	2	-	8	N	0	0	N	N											
Fla.	5	6	12	167	150	-	1	6	46	39											
Ga.	3	5	13	164	154	-	2	6	49	55											
Md.	8	3	10	108	125	-	1	3	40	40											
N.C.	3	2	12	76	86	N	0	0	N	N											
S.C.	2	1	5	43	40	-	1	6	32	32											
Va.	-	3	9	104	85	-	0	4	18	34											
W. Va.	-	1	4	28	27	-	0	2	8	5											
E.S. CENTRAL	1	4	10	126	115	2	1	6	37	56											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	23	25	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	7											
Tenn.	1	3	9	103	90	2	1	6	37	49											
W.S. CENTRAL	7	9	79	273	290	-	6	46	172	158											
Ark.	-	0	2	12	7	-	0	4	17	10											
La.	-	0	3	9	11	-	0	3	13	8											
Okla.	3	2	20	95	68	-	1	7	33	47											
Tex.	4	6	59	157	204	-	4	34	109	93											
MOUNTAIN	6	10	22	276	375	2	4	16	143	173											
Ariz.	5	3	7	95	129	-	2	10	79	79											
Colo.	1	3	9	97	95	2	1	4	30	40											
Idaho	-	0	2	3	12	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	6	-	0	1	-	2											
N. Mex.	-	2	7	49	93	-	0	4	15	25											
Utah	-	1	6	26	34	-	0	4	13	23											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	-	3	9	79	77	-	0	3	18	32											
Alaska	-	0	4	10	16	-	0	2	13	21											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	69	61	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


