
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2009 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	70	184	362	181	228	19	102	168	31	165	1	31	145	4	7						
NEW ENGLAND	-	10	32	1	56	3	7	20	3	2	-	0	2	-	-						
Conn.	-	0	4	-	5	-	4	17	-	-	-	0	0	-	-						
Maine	-	1	5	1	-	1	1	5	1	-	N	0	0	N	N						
Mass.	-	7	24	-	51	N	0	0	N	N	-	0	1	-	-						
N.H.	-	1	4	-	-	-	0	3	-	-	-	0	1	-	-						
R.I.	-	1	7	-	-	N	0	0	N	N	-	0	2	-	-						
Vt.	-	0	2	-	-	2	1	6	2	2	-	0	0	-	-						
MID. ATLANTIC	3	19	42	12	28	4	33	67	8	30	-	1	5	-	2						
N.J.	-	1	6	-	4	-	0	0	-	-	-	0	2	-	1						
N.Y. (Upstate)	3	7	25	4	1	4	9	20	8	13	-	0	4	-	-						
N.Y. City	-	0	5	-	6	-	0	2	-	1	-	0	2	-	1						
Pa.	-	8	35	8	17	-	21	52	-	16	-	0	2	-	-						
E.N. CENTRAL	22	31	189	53	43	-	3	28	1	1	-	1	15	-	1						
Ill.	-	6	43	-	7	-	1	21	1	1	-	1	10	-	1						
Ind.	-	1	27	1	-	-	0	2	-	-	-	0	3	-	-						
Mich.	4	6	14	8	1	-	0	8	-	-	-	0	1	-	-						
Ohio	18	10	176	44	30	-	1	7	-	-	-	0	4	-	-						
Wis.	-	2	7	-	5	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	26	17	118	66	26	-	3	13	-	-	-	4	32	-	1						
Iowa	-	3	21	-	6	-	0	5	-	-	-	0	2	-	-						
Kans.	-	1	13	-	-	-	0	0	-	-	-	0	0	-	-						
Minn.	-	2	26	-	-	-	0	10	-	-	-	0	0	-	-						
Mo.	25	6	50	63	16	-	1	8	-	-	-	4	31	-	1						
Nebr.	1	2	33	3	3	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	-	-	0	0	-	-						
S. Dak.	-	0	7	-	1	-	0	2	-	-	-	0	1	-	-						
S. ATLANTIC	14	17	44	31	29	3	36	88	7	122	-	12	71	3	2						
