
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending September 26, 2009 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	22	60	276	2,062	2,297	2	9	21	315	356	137	266	452	9,544	9,297						
NEW ENGLAND	-	1	48	41	53	-	0	5	3	7	3	5	15	236	223						
Conn.	-	0	48	-	7	-	0	5	-	-	-	1	5	43	23						
Maine	-	0	2	10	15	-	0	1	1	1	-	0	1	1	9						
Mass.	-	0	1	3	-	-	0	1	2	-	3	4	11	167	156						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	13	14						
R.I.	-	0	6	12	18	-	0	1	-	4	-	0	5	12	14						
Vt.	-	0	2	11	13	-	0	0	-	2	-	0	2	-	7						
MID. ATLANTIC	4	3	14	126	233	-	0	3	20	21	37	35	51	1,360	1,214						
N.J.	-	0	0	-	-	-	0	0	-	-	3	4	13	166	161						
N.Y. (Upstate)	3	1	10	57	50	-	0	2	10	6	3	2	8	90	97						
N.Y. City	-	0	4	3	93	-	0	2	-	1	22	22	40	846	763						
Pa.	1	1	8	66	90	-	0	2	10	14	9	6	12	258	193						
E.N. CENTRAL	5	11	41	461	484	-	1	7	64	65	6	23	43	781	882						
Ill.	N	0	0	N	N	N	0	0	N	N	2	8	19	229	355						
Ind.	-	3	32	162	166	-	0	6	22	21	2	2	10	123	104						
Mich.	-	0	2	19	17	-	0	1	2	2	-	4	18	180	144						
Ohio	5	7	18	280	301	-	1	4	40	42	-	6	17	216	238						
Wis.	-	0	0	-	-	-	0	0	-	-	2	1	4	33	41						
W.N. CENTRAL	1	2	161	96	163	-	0	3	20	33	4	6	11	226	310						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	17	15						
Kans.	-	1	5	38	59	-	0	2	13	4	3	0	3	25	24						
Minn.	-	0	156	-	24	-	0	3	-	24	-	1	6	40	78						
Mo.	1	1	5	45	72	-	0	1	5	2	1	3	7	124	182						
Nebr.	-	0	1	1	-	-	0	0	-	-	-	0	3	16	11						
N. Dak.	-	0	3	10	2	-	0	0	-	-	-	0	1	3	-						
S. Dak.	-	0	2	2	6	-	0	2	2	3	-	0	1	1	-						
S. ATLANTIC	10	26	53	976	941	1	4	14	145	157	28	64	262	2,353	2,031						
Del.	-	0	2	15	3	-	0	0	-	-	1	0	3	24	10						
D.C.	N	0	0	N	N	N	0	0	N	N	-	3	9	120	95						
Fla.	10	15	36	573	535	1	2	13	90	101	1	19	32	711	760						
Ga.	-	8	25	296	317	-	1	5	48	48	-	14	227	554	461						
Md.	-	0	1	4	4	-	0	0	-	1	4	6	16	226	253						
N.C.	N	0	0	N	N	N	0	0	N	N	16	9	21	398	196						
S.C.	-	0	0	-	-	-	0	0	-	-	2	2	6	88	64						
Va.	N	0	0	N	N	N	0	0	N	N	4	7	15	228	184						
W. Va.	-	2	13	88	82	-	0	3	7	7	-	0	2	4	8						
E.S. CENTRAL	1	5	25	199	249	-	1	3	29	47	13	23	36	836	795						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	313	327						
Ky.	-	1	5	56	62	-	0	2	7	10	2	1	10	49	62						
Miss.	-	0	3	3	30	-	0	1	2	9	-	4	18	163	114						
Tenn.	1	3	23	140	157	-	0	3	20	28	11	8	19	311	292						
W.S. CENTRAL	1	2	6	75	76	1	0	3	15	12	35	49	80	1,798	1,585						
Ark.	1	1	5	43	13	1	0	3	10	3	6	4	35	173	116						
La.	-	1	5	32	63	-	0	1	5	9	-	10	40	303	446						
Okla.	N	0	0	N	N	N	0	0	N	N	1	1	7	49	57						
Tex.	-	0	0	-	-	-	0	0	-	-	28	32	50	1,273	966						
MOUNTAIN	-	2	7	85	96	-	0	3	17	12	3	9	18	317	468						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	9	132	240						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	4	64	111						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	3	4						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	-	1	4	33	45	-	0	2	7	5	3	1	10	79	62						
N. Mex.	-	0	0	-	-	-	0	0	-	-	-	1	5	37	32						
Utah	-	1	6	43	50	-	0	3	9	7	-	0	2	-	16						
Wyo.	-	0	2	9	1	-	0	1	1	-	-	0	1	2	3						
PACIFIC	-	0	1	3	2	-	0	1	2	2	8	43	67	1,637	1,789						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Calif.	N	0	0	N	N	N	0	0	N	N	6	40	60	1,495	1,618						
Hawaii	-	0	1	3	2	-	0	1	2	2	-	0	3	21	16						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	1	4	32	15						
Wash.	N	0	0	N	N	N	0	0	N	N	2	2	7	89	139						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	5	3	17	168	114						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


