
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 31, 2009 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	23	102	239	4,281	4,584	20	35	122	1,389	1,468											
NEW ENGLAND	-	5	28	249	327	-	1	12	50	73											
Conn.	-	0	21	63	91	-	0	11	-	-											
Maine	-	0	2	16	24	-	0	1	5	1											
Mass.	-	2	10	107	152	-	1	4	30	51											
N.H.	-	0	4	34	24	-	0	2	10	11											
R.I.	-	0	2	11	23	-	0	1	1	10											
Vt.	-	0	3	18	13	-	0	1	4	-											
MID. ATLANTIC	4	20	43	858	911	6	4	33	203	182											
N.J.	-	3	7	118	162	-	1	4	37	56											
N.Y. (Upstate)	2	7	25	281	286	5	2	17	99	83											
N.Y. City	-	4	12	162	169	1	0	31	67	43											
Pa.	2	6	18	297	294	N	0	2	N	N											
E.N. CENTRAL	-	17	42	777	855	3	5	18	212	270											
Ill.	-	5	12	219	226	-	0	5	23	79											
Ind.	-	2	23	123	115	-	0	13	31	29											
Mich.	-	3	11	124	156	2	1	5	56	64											
Ohio	-	4	13	191	233	1	1	6	62	50											
Wis.	-	2	11	120	125	-	1	3	40	48											
W.N. CENTRAL	-	6	37	347	335	2	2	11	125	86											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	35	N	0	1	N	N											
Minn.	-	0	34	161	154	2	0	10	74	28											
Mo.	-	1	8	74	81	-	0	4	30	33											
Nebr.	-	1	3	39	36	-	0	1	11	7											
N. Dak.	-	0	4	15	8	-	0	3	4	9											
S. Dak.	-	0	3	21	21	-	0	2	6	9											
S. ATLANTIC	7	22	49	981	955	3	6	18	253	281											
Del.	-	0	1	10	7	-	0	0	-	-											
D.C.	-	0	3	12	14	N	0	0	N	N											
Fla.	2	6	12	238	219	1	1	6	58	54											
Ga.	1	5	13	237	213	-	2	6	63	79											
Md.	-	3	12	163	163	-	1	7	63	49											
N.C.	2	1	12	86	125	N	0	0	N	N											
S.C.	2	1	5	63	62	2	1	6	39	51											
Va.	-	3	9	137	117	-	0	4	18	39											
W. Va.	-	1	4	35	35	-	0	3	12	9											
E.S. CENTRAL	-	3	10	159	161	-	2	7	80	77											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	32	34	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	18	9											
Tenn.	-	3	9	127	127	-	1	6	62	68											
W.S. CENTRAL	7	8	79	383	419	2	5	46	244	233											
Ark.	-	0	3	17	11	-	0	4	22	12											
La.	-	0	3	11	17	-	0	3	13	12											
Okla.	1	3	20	121	93	-	1	7	52	58											
Tex.	6	5	59	234	298	2	3	34	157	151											
MOUNTAIN	5	10	22	385	481	4	4	16	193	223											
Ariz.	-	3	7	128	171	-	2	10	96	97											
Colo.	3	3	7	120	120	4	0	4	40	51											
Idaho	2	0	2	10	14	-	0	2	7	5											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	11	-	0	1	-	3											
N. Mex.	-	2	7	69	112	-	0	4	20	31											
Utah	-	1	6	52	47	-	0	5	30	34											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	3	9	142	140	-	0	4	29	43											
Alaska	-	1	4	31	32	-	0	3	22	26											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	111	108	-	0	2	7	17											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


