
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending November 7, 2009 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	33	60	276	2,304	2,557	7	8	21	362	418	88	260	452	10,853	11,012						
NEW ENGLAND	1	1	48	49	59	-	0	5	3	10	5	5	15	267	271						
Conn.	-	0	48	-	7	-	0	5	-	-	1	1	5	49	28						
Maine	1	0	2	16	17	-	0	1	1	2	-	0	1	2	10						
Mass.	-	0	1	3	-	-	0	1	2	-	2	4	10	190	190						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	13	19						
R.I.	-	0	6	13	21	-	0	1	-	6	2	0	5	13	16						
Vt.	-	0	2	12	14	-	0	0	-	2	-	0	2	-	8						
MID. ATLANTIC	2	3	14	148	264	1	0	3	22	22	28	35	50	1,556	1,444						
N.J.	-	0	0	-	-	-	0	0	-	-	2	4	13	190	189						
N.Y. (Upstate)	2	1	10	67	58	1	0	2	11	6	-	2	8	98	117						
N.Y. City	-	0	4	5	109	-	0	2	-	1	17	22	40	960	912						
Pa.	-	1	8	76	97	-	0	2	11	15	9	7	13	308	226						
E.N. CENTRAL	8	11	41	519	527	1	1	7	72	72	2	22	43	916	1,068						
Ill.	N	0	0	N	N	N	0	0	N	N	-	7	29	299	446						
Ind.	-	3	32	175	180	-	0	6	25	23	-	2	10	129	113						
Mich.	-	0	2	23	18	-	0	1	3	2	2	3	18	203	166						
Ohio	8	7	18	321	329	1	1	4	44	47	-	6	19	254	289						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	31	54						
W.N. CENTRAL	2	2	161	104	176	-	0	3	21	35	-	6	11	259	352						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	18	15						
Kans.	-	1	5	38	68	-	0	2	13	5	-	0	3	26	26						
Minn.	-	0	156	-	25	-	0	3	-	25	-	1	6	61	94						
Mo.	2	1	5	52	75	-	0	1	6	2	-	3	7	133	204						
Nebr.	-	0	1	2	-	-	0	0	-	-	-	0	3	16	13						
N. Dak.	-	0	3	10	2	-	0	0	-	-	-	0	1	4	-						
S. Dak.	-	0	2	2	6	-	0	2	2	3	-	0	1	1	-						
S. ATLANTIC	16	26	53	1,101	1,069	4	4	14	176	198	24	64	262	2,721	2,400						
Del.	-	0	2	18	3	-	0	2	3	-	-	0	3	25	14						
D.C.	N	0	0	N	N	N	0	0	N	N	-	3	8	144	122						
Fla.	13	15	36	651	599	4	2	13	108	119	4	19	32	841	885						
Ga.	3	8	25	335	370	-	1	5	57	66	-	14	227	651	569						
Md.	-	0	1	4	4	-	0	0	-	1	6	6	16	245	280						
N.C.	N	0	0	N	N	N	0	0	N	N	6	9	21	450	231						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	95	71						
Va.	N	0	0	N	N	N	0	0	N	N	8	7	15	266	217						
