
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2009 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	87	182	540	730	810	37	103	169	198	416	13	33	146	56	18						
NEW ENGLAND	-	9	26	19	139	3	6	20	14	17	-	0	2	-	1						
Conn.	-	0	4	-	10	1	3	17	8	9	-	0	0	-	-						
Maine	-	1	5	11	6	1	1	5	3	2	N	0	0	N	N						
Mass.	-	7	17	-	115	N	0	0	N	N	-	0	0	-	1						
N.H.	-	1	4	5	3	-	0	3	-	3	-	0	1	-	-						
R.I.	-	1	8	1	4	N	0	0	N	N	-	0	2	-	-						
Vt.	-	0	2	2	1	1	1	6	3	3	-	0	0	-	-						
MID. ATLANTIC	11	18	51	65	81	10	33	67	45	81	-	1	17	-	3						
N.J.	-	1	6	-	8	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	2	7	40	12	17	6	9	20	25	24	-	0	16	-	-						
N.Y. City	-	0	4	-	15	-	0	2	-	3	-	0	2	-	1						
Pa.	9	9	35	53	41	4	21	52	20	54	-	0	2	-	-						
E.N. CENTRAL	28	35	169	221	290	-	3	29	3	1	-	1	15	-	1						
Ill.	-	9	44	45	16	-	1	21	1	1	-	1	11	-	1						
Ind.	2	1	96	11	2	-	0	2	-	-	-	0	3	-	-						
Mich.	6	6	16	53	17	-	1	9	2	-	-	0	1	-	-						
Ohio	20	10	57	110	244	-	1	7	-	-	-	0	4	-	-						
Wis.	-	2	7	2	11	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	12	20	118	178	79	-	3	13	1	8	-	4	32	1	1						
Iowa	-	3	21	-	12	-	0	5	-	1	-	0	2	-	-						
Kans.	-	1	13	6	2	-	0	0	-	-	-	0	0	-	-						
Minn.	-	2	71	-	-	-	0	10	-	3	-	0	0	-	-						
Mo.	7	6	50	145	57	-	1	8	-	-	-	4	31	1	1						
Nebr.	5	2	33	25	6	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	2	-	0	0	-	-						
S. Dak.	-	0	7	2	2	-	0	2	1	2	-	0	1	-	-						
S. ATLANTIC	8	18	44	105	55	23	34	88	106	286	13	14	71	51	8						
Del.	-	0	3	4	-	-	0	0	-	-	-	0	5	-	-						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	-						
Fla.	6	6	20	41	8	3	0	3	8	139	-	0	3	-	-						
Ga.	-	1	8	1	3	14	6	47	61	23	-	1	8	1	2						
Md.	1	2	8	8	12	-	7	17	6	42	-	1	7	4	4						
N.C.	-	0	16	35	18	6	9	16	18	33	13	5	55	43	1						
S.C.	1	2	11	10	3	-	0	0	-	-	-	1	9	1	-						
Va.	-	3	22	6	9	-	10	24	9	49	-	2	15	2	-						
W. Va.	-	0	2	-	-	-	1	9	4	-	-	0	1	-	1						
E.S. CENTRAL	3	8	29	56	33	1	3	7	8	9	-	3	23	2	2						
Ala.	-	1	5	3	8	-	0	0	-	-	-	1	8	1	1						
Ky.	2	3	12	39	4	1	0	4	8	3	-	0	1	-	-						
Miss.	-	2	5	7	16	-	0	1	-	1	-	0	3	-	-						
Tenn.	1	2	14	7	5	-	2	6	-	5	-	2	19	1	1						
W.S. CENTRAL	8	31	161	32	15	-	1	11	3	4	-	2	41	1	1						
Ark.	-	1	20	-	7	-	0	6	2	4	-	0	14	1	-						
La.	-	1	7	2	-	-	0	0	-	-	-	0	1	-	1						
Okla.	1	0	21	4	-	-	0	10	1	-	-	0	26	-	-						
Tex.	7	26	154	26	8	-	0	1	-	-	-	1	6	-	-						
MOUNTAIN	13	15	34	36	73	-	1	8	9	3	-	1	3	1	1						
Ariz.	-	3	10	6	18	N	0	0	N	N	-	0	2	-	-						
Colo.	13	3	7	23	29	-	0	0	-	-	-	0	1	-	-						
Idaho	-	1	5	4	1	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	11	-	4	-	0	2	1	-	-	0	1	-	-						
Nev.	-	0	7	2	1	-	0	4	-	-	-	0	2	-	-						
N. Mex.	-	1	8	-	-	-	0	3	2	2	-	0	1	-	1						
Utah	-	4	17	1	17	-	0	6	-	-	-	0	1	1	-						
Wyo.	-	0	2	-	3	-	0	4	6	1	-	0	2	-	-						
PACIFIC	4	25	80	18	45	-	4	13	9	7	-	0	1	-	-						
Alaska	-	3	21	8	12	-	0	4	2	4	N	0	0	N	N						
Calif.	-	8	23	-	13	-	3	12	7	3	-	0	1	-	-						
Hawaii	-	0	2	1	2	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	3	10	3	12	-	0	2	-	-	-	0	1	-	-						
Wash.	4	6	74	6	6	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	5	1	4	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


