
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 2009 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	128	188	607	1,076	1,115	27	103	169	300	537	13	41	144	78	31						
NEW ENGLAND	1	9	26	29	177	5	6	20	24	23	-	0	2	-	1						
Conn.	-	0	4	-	13	2	3	17	11	13	-	0	0	-	-						
Maine	1	1	7	19	10	2	1	5	6	2	N	0	0	N	N						
Mass.	-	5	17	-	142	N	0	0	N	N	-	0	0	-	1						
N.H.	-	1	4	7	4	-	0	3	1	4	-	0	1	-	-						
R.I.	-	0	8	1	5	N	0	0	N	N	-	0	2	-	-						
Vt.	-	0	2	2	3	1	1	6	6	4	-	0	0	-	-						
MID. ATLANTIC	9	17	51	94	126	2	33	67	50	123	-	1	26	-	3						
N.J.	-	1	6	-	10	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	3	6	40	17	32	2	9	20	30	31	-	0	25	-	-						
N.Y. City	-	0	4	-	19	-	0	2	-	4	-	0	2	-	1						
Pa.	6	9	35	77	65	-	21	52	20	88	-	0	2	-	-						
E.N. CENTRAL	29	35	171	305	365	-	3	29	5	1	-	1	15	1	1						
Ill.	-	11	45	68	22	-	1	21	1	1	-	1	11	1	1						
Ind.	-	1	96	12	3	-	0	2	-	-	-	0	3	-	-						
Mich.	2	6	20	80	21	-	1	9	4	-	-	0	1	-	-						
Ohio	26	9	57	142	307	-	1	7	-	-	-	0	4	-	-						
Wis.	1	2	7	3	12	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	7	20	126	234	94	1	3	13	14	10	-	4	32	2	1						
Iowa	-	3	21	2	15	-	0	5	-	1	-	0	2	-	-						
Kans.	1	1	13	14	3	-	0	3	10	-	-	0	0	-	-						
Minn.	-	2	99	-	-	-	0	10	2	4	-	0	0	-	-						
Mo.	4	6	50	183	66	1	1	8	1	-	-	4	31	2	1						
Nebr.	2	2	32	32	8	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	2	-	0	0	-	-						
S. Dak.	-	0	7	3	2	-	0	2	1	3	-	0	1	-	-						
S. ATLANTIC	70	18	46	196	85	14	34	88	167	350	13	15	69	70	20						
Del.	-	0	3	4	-	-	0	0	-	-	-	0	5	-	-						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	-						
Fla.	2	6	20	49	12	8	0	7	23	139	-	0	3	-	1						
Ga.	-	1	8	1	4	-	5	47	61	40	2	1	8	3	3						
Md.	1	2	8	8	16	-	7	17	6	48	-	1	7	4	4						
N.C.	65	0	16	102	32	6	9	16	29	50	11	5	55	58	11						
S.C.	-	2	11	14	5	-	0	0	-	-	-	1	9	3	-						
Va.	2	3	24	16	14	-	11	24	43	66	-	2	15	2	-						
W. Va.	-	0	2	2	-	-	1	9	5	7	-	0	1	-	1						
E.S. CENTRAL	3	8	29	76	37	1	3	7	10	11	-	3	23	3	2						
Ala.	-	1	5	4	10	-	0	0	-	-	-	1	8	1	1						
Ky.	3	3	12	52	6	1	1	4	10	3	-	0	1	-	-						
Miss.	-	2	5	12	16	-	0	1	-	1	-	0	3	1	-						
Tenn.	-	2	14	8	5	-	2	6	-	7	-	2	19	1	1						
W.S. CENTRAL	-	31	161	42	50	1	1	11	4	5	-	2	41	1	2						
Ark.	-	1	20	1	14	-	0	6	2	5	-	0	14	1	-						
La.	-	1	7	7	-	-	0	0	-	-	-	0	1	-	1						
Okla.	-	0	29	5	1	1	0	10	2	-	-	0	26	-	-						
Tex.	-	26	154	29	35	-	0	1	-	-	-	1	6	-	1						
MOUNTAIN	5	15	34	55	118	-	2	8	13	5	-	1	3	1	1						
Ariz.	-	3	10	8	28	N	0	0	N	N	-	0	2	-	-						
Colo.	4	2	13	29	39	-	0	0	-	-	-	0	1	-	-						
Idaho	1	1	5	7	2	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	11	3	10	-	0	2	4	-	-	0	1	-	-						
Nev.	-	0	7	5	1	-	0	4	-	-	-	0	2	-	-						
N. Mex.	-	1	8	2	2	-	0	3	3	4	-	0	1	-	1						
Utah	-	3	17	1	33	-	0	6	-	-	-	0	1	1	-						
Wyo.	-	0	2	-	3	-	0	4	6	1	-	0	2	-	-						
PACIFIC	4	25	80	45	63	3	4	13	13	9	-	0	1	-	-						
Alaska	-	3	21	11	17	-	0	4	2	4	N	0	0	N	N						
Calif.	-	8	23	-	17	3	3	12	11	5	-	0	1	-	-						
Hawaii	3	0	2	5	2	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	3	13	21	15	-	0	2	-	-	-	0	1	-	-						
Wash.	-	5	74	8	12	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	1	1	5	4	5	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


