
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending April 10, 2010 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2009
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2010
Syphillis, primary & secondary cummulative for 2009

tab delimited data:
test
UNITED STATES	231	55	386	4,448	1,197	31	47	128	734	838	71	249	386	2,377	3,694						
NEW ENGLAND	2	1	50	158	25	-	1	23	12	27	3	6	21	92	91						
Conn.	-	0	50	45	-	-	0	22	2	-	-	0	9	11	21						
Maine	2	1	4	33	4	-	0	2	4	-	-	0	3	8	1						
Mass.	-	0	1	-	1	-	0	5	-	20	3	4	12	59	58						
N.H.	-	0	6	37	5	-	0	2	3	5	-	0	1	3	7						
R.I.	-	0	5	15	9	-	0	1	2	-	-	0	5	9	4						
Vt.	-	0	6	28	6	-	0	1	1	2	-	0	2	2	-						
MID. ATLANTIC	14	4	25	233	65	4	5	48	78	81	26	34	50	459	500						
N.J.	-	0	4	24	-	-	1	3	15	17	6	3	13	60	66						
N.Y. (Upstate)	5	2	12	58	29	4	2	19	44	42	2	2	11	24	27						
N.Y. City	-	0	1	-	3	-	0	28	-	16	16	21	39	285	322						
Pa.	9	2	19	151	33	-	0	5	19	6	2	7	14	90	85						
E.N. CENTRAL	29	13	73	640	246	3	8	16	119	139	-	25	54	141	367						
Ill.	-	0	7	37	-	-	1	5	31	15	-	11	36	7	181						
Ind.	-	5	20	147	89	-	1	4	14	24	-	2	9	7	46						
Mich.	14	1	26	218	11	-	2	6	32	24	-	3	13	55	61						
Ohio	15	8	18	147	146	3	2	7	33	51	-	7	13	72	61						
Wis.	-	0	20	91	-	-	1	3	9	25	-	0	3	-	18						
W.N. CENTRAL	8	3	60	307	64	1	3	12	65	62	-	5	12	53	87						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	10						
Kans.	6	1	6	41	32	-	0	2	7	11	-	0	3	1	3						
Minn.	-	0	45	163	-	-	0	10	30	16	-	1	3	9	23						
Mo.	-	1	8	45	25	-	1	3	20	26	-	3	8	41	49						
Nebr.	2	0	7	50	-	1	0	2	7	2	-	0	2	2	1						
N. Dak.	-	0	4	4	7	-	0	1	-	3	-	0	1	-	1						
S. Dak.	-	0	2	4	-	-	0	2	1	4	-	0	1	-	-						
S. ATLANTIC	79	26	140	1,293	585	10	11	26	203	222	30	62	200	624	813						
Del.	-	0	3	8	10	-	0	2	-	-	1	0	3	2	8						
D.C.	1	0	3	13	-	-	0	1	3	-	-	2	8	26	54						
Fla.	44	14	89	656	347	5	4	18	92	79	2	19	28	202	321						
Ga.	9	8	24	172	178	3	3	9	49	65	-	14	151	55	119						
Md.	9	0	25	171	4	-	1	7	22	29	5	6	12	74	74						
N.C.	-	0	0	-	-	-	0	0	-	-	11	9	31	140	135						
S.C.	13	0	25	216	-	-	1	4	18	20	4	2	6	40	26						
Va.	2	0	2	18	-	2	1	3	16	22	7	6	22	85	74						
W. Va.	1	1	20	39	46	-	0	3	3	7	-	0	2	-	2						
E.S. CENTRAL	16	4	50	435	113	3	2	9	43	46	1	20	38	184	331						
Ala.	-	0	0	-	-	-	0	0	-	-	1	6	18	47	136						
Ky.	1	1	8	43	36	-	0	2	4	4	-	1	13	24	18						
Miss.	-	0	5	24	3	-	0	2	5	6	-	5	17	36	53						
Tenn.	15	2	44	368	74	3	2	7	34	36	-	7	14	77	124						
W.S. CENTRAL	45	2	61	561	43	5	6	38	90	121	3	46	74	334	765						
Ark.	5	1	8	58	22	-	0	4	9	15	3	6	16	66	49						
La.	-	0	8	29	21	-	0	3	8	16	-	10	27	64	256						
Okla.	-	0	5	21	-	-	1	5	21	17	-	1	6	12	28						
Tex.	40	0	56	453	-	5	3	34	52	73	-	29	46	192	432						
MOUNTAIN	34	2	68	731	54	5	5	11	110	127	4	8	18	76	141						
Ariz.	16	0	42	366	-	2	2	7	51	60	-	4	11	17	61						
Colo.	16	0	20	201	-	3	1	4	27	22	1	2	5	33	29						
Idaho	-	0	1	5	-	-	0	2	2	2	-	0	1	1	2						
Mont.	-	0	1	4	-	-	0	0	-	-	-	0	1	-	-						
Nev.	1	1	4	28	16	-	0	2	3	2	3	1	10	22	28						
N. Mex.	1	0	8	60	-	-	0	4	12	12	-	1	4	3	14						
Utah	-	1	9	61	31	-	1	5	13	28	-	0	2	-	7						
Wyo.	-	0	2	6	7	-	0	1	2	1	-	0	1	-	-						
PACIFIC	4	0	14	90	2	-	0	7	14	13	4	39	55	414	599						
Alaska	-	0	9	38	-	-	0	5	11	8	-	0	0	-	-						
Calif.	4	0	12	52	-	-	0	2	3	-	4	35	54	380	529						
Hawaii	-	0	1	-	2	-	0	2	-	5	-	0	3	10	12						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	1	5	6	10						
Wash.	-	0	0	-	-	-	0	0	-	-	-	2	7	18	48						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	3	17	53	47						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
