
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 9, 2010 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	8	35	57	8	31	17	61	89	17	77	2	17	36	2	18						
NEW ENGLAND	-	2	5	-	1	2	1	3	2	3	1	1	5	1	1						
Conn.	-	0	2	-	-	2	0	3	2	2	1	1	4	1	1						
Maine	-	0	1	-	-	-	0	2	-	-	-	0	2	-	-						
Mass.	-	1	4	-	1	-	0	2	-	1	-	0	2	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	2	5	10	2	4	2	5	16	2	4	-	2	7	-	1						
N.J.	-	1	5	-	1	-	1	6	-	2	-	0	1	-	-						
N.Y. (Upstate)	-	1	3	-	-	-	1	4	-	-	-	1	4	-	-						
N.Y. City	1	2	5	1	2	1	1	5	1	1	-	0	0	-	-						
Pa.	1	1	6	1	1	1	2	8	1	1	-	0	4	-	1						
E.N. CENTRAL	2	4	18	2	9	-	6	21	-	21	-	4	14	-	7						
Ill.	-	2	12	-	4	-	1	7	-	1	-	0	1	-	-						
Ind.	-	0	4	-	-	-	1	5	-	5	-	0	4	-	-						
Mich.	-	1	4	-	2	-	2	8	-	2	-	3	12	-	5						
Ohio	1	0	3	1	3	-	1	13	-	13	-	0	5	-	2						
Wis.	1	0	4	1	-	-	0	4	-	-	-	0	2	-	-						
W.N. CENTRAL	1	2	7	1	1	-	3	8	-	6	-	0	4	-	-						
Iowa	-	0	3	-	-	-	0	3	-	1	-	0	4	-	-						
Kans.	-	0	2	-	-	-	0	2	-	-	-	0	1	-	-						
Minn.	-	0	4	-	-	-	0	4	-	-	-	0	2	-	-						
Mo.	1	0	3	1	1	-	1	5	-	4	-	0	1	-	-						
Nebr.	-	0	3	-	-	-	0	2	-	1	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	1	8	14	1	7	7	16	32	7	15	1	3	12	1	2						
Del.	-	0	1	-	-	U	0	0	U	U	U	0	0	U	U						
