
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 22, 2010 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	-	2	12	16	31	15	11	354	135	305											
NEW ENGLAND	-	0	1	-	-	-	0	1	1	4											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	3											
Mass.	-	0	1	-	-	-	0	1	-	1											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	2	3	-	-	1	7	11	24											
N.J.	-	0	1	-	-	-	0	4	-	18											
N.Y. (Upstate)	-	0	1	-	-	-	0	3	2	1											
N.Y. City	-	0	1	-	-	-	0	2	7	2											
Pa.	-	0	2	3	-	-	0	2	2	3											
E.N. CENTRAL	-	0	1	-	3	-	0	7	-	22											
Ill.	-	0	1	-	-	-	0	6	-	12											
Ind.	-	0	1	-	2	-	0	2	-	1											
Mich.	-	0	1	-	1	-	0	1	-	-											
Ohio	-	0	0	-	-	-	0	4	-	8											
Wis.	-	0	1	-	-	-	0	1	-	1											
W.N. CENTRAL	-	0	3	1	3	4	2	23	33	41											
Iowa	-	0	1	-	-	-	0	1	-	2											
Kans.	-	0	1	-	-	-	0	0	-	-											
Minn.	-	0	1	-	-	-	0	1	-	-											
Mo.	-	0	1	1	1	4	2	22	33	39											
Nebr.	-	0	2	-	2	-	0	1	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	1	7	9	20	3	3	31	50	125											
Del.	-	0	1	1	-	-	0	3	5	3											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	1	-	1	0	1	3	1											
Ga.	-	0	6	5	18	-	0	0	-	-											
Md.	-	0	1	1	-	-	0	3	3	18											
N.C.	-	0	2	1	1	-	2	23	27	74											
S.C.	-	0	1	-	1	-	0	1	2	12											
Va.	-	0	1	-	-	2	0	5	10	17											
W. Va.	-	0	0	-	-	-	0	1	-	-											
E.S. CENTRAL	-	0	2	2	1	1	3	16	27	65											
Ala.	-	0	1	-	-	-	1	7	5	10											
Ky.	-	0	1	1	-	-	0	0	-	-											
Miss.	-	0	0	-	1	-	0	4	-	4											
Tenn.	-	0	2	1	-	1	2	13	22	51											
W.S. CENTRAL	-	0	3	1	-	6	1	346	12	17											
Ark.	-	0	0	-	-	-	0	48	-	2											
La.	-	0	0	-	-	-	0	1	-	1											
Okla.	-	0	3	-	-	6	0	287	8	3											
Tex.	-	0	1	1	-	-	0	11	4	11											
MOUNTAIN	-	0	2	-	3	1	0	3	1	7											
Ariz.	-	0	2	-	1	-	0	2	-	2											
Colo.	-	0	1	-	-	-	0	0	-	-											
Idaho	-	0	0	-	-	1	0	1	1	-											
Mont.	-	0	1	-	2	-	0	1	-	3											
Nev.	-	0	0	-	-	-	0	1	-	-											
N. Mex.	-	0	0	-	-	-	0	0	-	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	1	-	-	-	0	1	-	-											
PACIFIC	-	0	0	-	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	0	-	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	0	-	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


