
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 31, 2010 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	2	2	8	61	93	26	12	421	535	855											
NEW ENGLAND	-	0	1	-	1	-	0	1	1	8											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	1	-	4											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	3	13	5	2	1	6	25	63											
N.J.	-	0	1	-	2	-	0	3	-	43											
N.Y. (Upstate)	-	0	1	1	-	1	0	3	6	5											
N.Y. City	-	0	1	2	-	-	0	2	11	5											
Pa.	-	0	2	10	3	1	0	1	8	10											
E.N. CENTRAL	-	0	1	2	8	4	0	5	36	59											
Ill.	-	0	1	2	1	-	0	5	14	40											
Ind.	-	0	0	-	3	3	0	5	17	6											
Mich.	-	0	1	-	3	-	0	2	3	1											
Ohio	-	0	0	-	-	1	0	4	2	10											
Wis.	-	0	0	-	1	-	0	1	-	2											
W.N. CENTRAL	-	0	3	7	10	1	2	23	152	162											
Iowa	-	0	0	-	1	-	0	1	-	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	-	-	0	1	-	-											
Mo.	-	0	1	4	4	1	2	22	150	156											
Nebr.	-	0	2	1	4	-	0	1	1	2											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	0	3	19	50	6	3	15	117	266											
Del.	-	0	1	1	-	-	0	3	9	7											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	1	-	-	0	1	9	3											
Ga.	-	0	3	15	41	-	0	0	-	-											
Md.	-	0	1	1	2	2	0	3	13	32											
N.C.	-	0	1	1	5	-	1	15	27	170											
S.C.	-	0	1	-	2	-	0	2	6	15											
Va.	-	0	1	-	-	4	0	7	53	38											
W. Va.	-	0	0	-	-	-	0	1	-	1											
E.S. CENTRAL	-	0	2	10	4	1	3	25	170	171											
Ala.	-	0	1	1	2	-	1	8	35	34											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	1	1	9											
Tenn.	-	0	2	3	1	1	3	17	134	128											
W.S. CENTRAL	-	0	3	1	5	11	1	408	29	108											
Ark.	-	0	1	-	-	9	0	110	9	56											
La.	-	0	0	-	-	-	0	1	1	2											
Okla.	-	0	2	-	4	2	0	287	15	36											
Tex.	-	0	1	1	1	-	0	11	4	14											
MOUNTAIN	-	0	2	2	9	-	0	3	4	18											
Ariz.	-	0	2	-	3	-	0	2	1	7											
Colo.	-	0	0	-	1	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	1	-											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	0	-	1	-	0	1	-	2											
PACIFIC	2	0	2	7	1	1	0	0	1	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	2	0	2	6	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	1	0	0	1	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


