
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending August 7, 2010 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	2	2	9	73	98	18	14	421	637	907											
NEW ENGLAND	-	0	1	-	1	-	0	1	1	9											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	2	12	7	-	1	6	30	64											
N.J.	-	0	0	-	2	-	0	3	-	44											
N.Y. (Upstate)	-	0	1	1	-	-	0	3	6	5											
N.Y. City	-	0	1	1	-	-	0	3	16	5											
Pa.	-	0	2	10	5	-	0	1	8	10											
E.N. CENTRAL	-	0	1	2	8	-	0	5	35	61											
Ill.	-	0	1	2	1	-	0	5	14	40											
Ind.	-	0	0	-	3	-	0	5	17	8											
Mich.	-	0	1	-	3	-	0	2	3	1											
Ohio	-	0	0	-	-	-	0	4	1	10											
Wis.	-	0	0	-	1	-	0	1	-	2											
W.N. CENTRAL	-	0	3	7	10	3	2	23	156	185											
Iowa	-	0	0	-	1	-	0	1	1	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	-	-	0	1	-	-											
Mo.	-	0	1	4	4	3	2	22	153	178											
Nebr.	-	0	2	1	4	-	0	1	1	3											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	2	1	6	32	52	10	4	27	200	275											
Del.	-	0	1	1	-	-	0	3	10	10											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	2	-	-	0	1	6	3											
Ga.	-	0	4	19	43	-	0	0	-	-											
Md.	-	0	1	2	2	-	0	3	14	32											
N.C.	-	0	3	6	5	-	1	21	98	173											
S.C.	-	0	1	-	2	-	0	2	8	15											
Va.	2	0	1	2	-	10	0	7	64	41											
W. Va.	-	0	0	-	-	-	0	1	-	1											
E.S. CENTRAL	-	0	2	10	5	5	3	27	181	183											
Ala.	-	0	1	1	2	-	1	8	36	41											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	1	2	9											
Tenn.	-	0	2	3	2	5	2	19	143	133											
W.S. CENTRAL	-	0	3	1	5	-	1	408	29	112											
Ark.	-	0	1	-	-	-	0	110	9	59											
La.	-	0	0	-	-	-	0	1	1	2											
Okla.	-	0	2	-	4	-	0	287	15	37											
Tex.	-	0	1	1	1	-	0	11	4	14											
MOUNTAIN	-	0	2	2	9	-	0	3	4	18											
Ariz.	-	0	2	-	3	-	0	2	1	7											
Colo.	-	0	0	-	1	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	1	-											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	-	0	2	7	1	-	0	1	1	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	6	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	1	1	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


