
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending September 18, 2010 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	5	2	12	119	122	22	15	421	1,035	1,120											
NEW ENGLAND	-	0	0	-	2	-	0	1	1	9											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	0	-	1	-	0	0	-	-											
MID. ATLANTIC	-	0	2	15	10	1	1	4	43	84											
N.J.	-	0	0	-	2	-	0	3	-	54											
N.Y. (Upstate)	-	0	1	2	-	1	0	3	12	11											
N.Y. City	-	0	1	1	1	-	0	4	21	6											
Pa.	-	0	2	12	7	-	0	1	10	13											
E.N. CENTRAL	-	0	1	4	8	-	1	8	65	76											
Ill.	-	0	1	2	1	-	0	5	19	46											
Ind.	-	0	1	2	3	-	0	5	34	9											
Mich.	-	0	1	-	3	-	0	2	3	1											
Ohio	-	0	0	-	-	-	0	2	8	16											
Wis.	-	0	0	-	1	-	0	1	1	4											
W.N. CENTRAL	-	0	3	13	17	2	2	20	222	239											
Iowa	-	0	0	-	1	-	0	1	3	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	1	-	0	1	-	1											
Mo.	-	0	3	10	7	2	2	19	214	230											
Nebr.	-	0	1	1	7	-	0	1	4	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	1	1	9	59	59	11	5	59	349	336											
Del.	-	0	1	1	-	-	0	3	15	16											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	2	-	-	0	1	7	4											
Ga.	1	0	6	39	47	-	0	0	-	-											
Md.	-	0	1	2	3	3	0	4	32	34											
N.C.	-	0	3	11	6	8	1	48	194	219											
S.C.	-	0	1	1	3	-	0	2	10	15											
Va.	-	0	2	3	-	-	1	10	91	46											
W. Va.	-	0	0	-	-	-	0	0	-	2											
E.S. CENTRAL	1	0	3	15	7	3	3	28	288	232											
Ala.	-	0	1	4	3	-	1	8	54	58											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	2	7	9											
Tenn.	1	0	2	5	3	3	2	20	227	165											
W.S. CENTRAL	3	0	3	4	6	4	1	408	58	121											
Ark.	-	0	1	-	-	-	0	110	20	62											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	3	0	2	3	5	4	0	287	21	39											
Tex.	-	0	1	1	1	-	0	11	15	18											
MOUNTAIN	-	0	2	2	12	1	0	2	8	23											
Ariz.	-	0	2	-	6	-	0	1	2	11											
Colo.	-	0	0	-	1	1	0	0	1	-											
Idaho	-	0	0	-	-	-	0	1	2	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	1	1	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	-	0	2	7	1	-	0	1	1	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	6	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	1	1	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


