
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 11, 2010 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	-	2	12	157	144	2	25	421	1,477	1,230											
NEW ENGLAND	-	0	0	-	2	-	0	1	3	11											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	2	5											
Mass.	-	0	0	-	1	-	0	0	-	6											
N.H.	-	0	0	-	-	-	0	1	1	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	0	-	1	-	0	0	-	-											
MID. ATLANTIC	-	0	2	16	12	-	1	4	60	95											
N.J.	-	0	0	-	2	-	0	1	-	60											
N.Y. (Upstate)	-	0	1	2	-	-	0	3	18	14											
N.Y. City	-	0	1	1	1	-	0	4	28	7											
Pa.	-	0	2	13	9	-	0	2	14	14											
E.N. CENTRAL	-	0	1	4	9	-	1	9	91	81											
Ill.	-	0	1	2	1	-	0	5	33	48											
Ind.	-	0	1	2	3	-	0	5	43	10											
Mich.	-	0	0	-	4	-	0	1	1	1											
Ohio	-	0	0	-	-	-	0	2	13	18											
Wis.	-	0	0	-	1	-	0	1	1	4											
W.N. CENTRAL	-	0	4	19	19	-	4	21	316	254											
Iowa	-	0	0	-	1	-	0	1	4	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	2	-	0	0	-	2											
Mo.	-	0	4	15	7	-	4	20	308	244											
Nebr.	-	0	1	2	8	-	0	1	3	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	1	9	83	66	2	9	60	502	373											
Del.	-	0	1	1	-	-	0	3	21	18											
D.C.	-	0	1	1	-	-	0	1	-	1											
Fla.	-	0	1	4	-	-	0	2	11	7											
Ga.	-	1	6	57	52	-	0	0	-	-											
Md.	-	0	1	3	3	-	0	5	53	37											
N.C.	-	0	3	12	7	2	2	48	268	242											
S.C.	-	0	1	1	3	-	0	2	18	15											
Va.	-	0	2	4	1	-	2	12	131	51											
W. Va.	-	0	0	-	-	-	0	0	-	2											
E.S. CENTRAL	-	0	3	19	9	-	5	29	382	253											
Ala.	-	0	1	5	3	-	1	8	75	62											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	3	16	9											
Tenn.	-	0	2	8	5	-	4	20	291	182											
W.S. CENTRAL	-	0	3	6	9	-	1	408	111	139											
Ark.	-	0	2	2	-	-	0	110	64	70											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	-	0	3	3	7	-	0	287	26	46											
Tex.	-	0	1	1	2	-	0	11	19	21											
MOUNTAIN	-	0	1	2	17	-	0	2	12	24											
Ariz.	-	0	1	-	11	-	0	1	2	12											
Colo.	-	0	0	-	1	-	0	1	1	-											
Idaho	-	0	0	-	-	-	0	1	5	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	1	1	1											
Wyo.	-	0	0	-	1	-	0	1	1	2											
PACIFIC	-	0	2	8	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	7	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


