
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 23, 2011 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2011
Rabies, animal cummulative for 2010
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2011
Salmonellosis cummulative for 2010
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2011
Shiga toxin-producing E. coli(STEC)† cummulative for 2010

tab delimited data:
test
UNITED STATES	24	54	148	475	961	309	942	1,780	7,067	9,027	43	92	243	792	793						
NEW ENGLAND	2	4	18	26	68	7	33	110	374	874	1	2	13	21	87						
Conn.	-	2	11	-	26	-	0	88	88	490	-	0	9	9	60						
Maine	2	1	3	12	19	3	3	8	36	21	-	0	3	1	1						
Mass.	-	0	0	-	-	3	22	52	204	274	1	1	9	5	16						
N.H.	-	0	6	4	4	-	3	12	24	43	-	0	2	6	9						
R.I.	-	0	4	2	3	-	2	18	10	34	-	0	1	-	-						
Vt.	-	1	3	8	16	1	1	5	12	12	-	0	2	-	1						
MID. ATLANTIC	7	17	33	72	320	36	95	218	737	1,060	4	9	32	86	86						
N.J.	-	0	0	-	-	-	14	57	58	190	-	1	9	11	21						
N.Y. (Upstate)	7	8	19	72	132	23	26	63	210	221	4	4	12	31	24						
N.Y. City	-	0	4	-	88	-	23	56	186	271	-	1	7	12	10						
Pa.	-	6	17	-	100	13	30	81	283	378	-	3	13	32	31						
E.N. CENTRAL	1	2	27	13	14	30	91	253	751	1,107	-	13	44	97	156						
Ill.	-	1	11	4	6	-	35	124	225	369	-	2	9	9	26						
Ind.	-	0	0	-	-	-	13	62	58	138	-	2	10	17	14						
Mich.	1	1	5	5	5	8	15	49	140	198	-	3	11	24	51						
Ohio	-	0	12	4	3	22	24	47	248	279	-	2	11	29	22						
Wis.	-	0	0	-	-	-	10	48	80	123	-	3	17	18	43						
W.N. CENTRAL	1	3	36	20	63	20	39	97	390	390	1	11	32	72	71						
Iowa	-	0	3	-	4	-	10	34	96	72	-	2	16	18	20						
Kans.	-	1	4	10	22	-	7	18	61	81	-	1	5	14	9						
Minn.	-	0	34	-	11	-	0	0	-	-	-	0	0	-	-						
Mo.	-	0	6	-	8	18	14	44	178	147	-	4	27	26	25						
Nebr.	1	1	4	6	15	2	4	13	37	45	1	1	6	13	11						
N. Dak.	-	0	3	4	3	-	0	13	-	8	-	0	10	-	-						
S. Dak.	-	0	0	-	-	-	2	17	18	37	-	0	4	1	6						
S. ATLANTIC	7	20	38	246	380	104	262	619	2,027	2,344	11	16	31	223	133						
Del.	-	0	0	-	-	-	3	11	26	24	-	0	2	3	1						
D.C.	-	0	0	-	-	-	1	6	7	23	-	0	1	1	2						
Fla.	-	0	24	35	121	77	108	226	866	1,015	7	5	15	107	50						
Ga.	-	0	0	-	-	-	43	142	349	294	-	2	7	19	18						
Md.	7	6	15	78	106	9	18	57	156	193	3	2	9	26	18						
N.C.	-	0	0	-	-	8	24	240	289	455	-	2	10	29	11						
S.C.	-	0	0	-	-	-	25	99	135	141	-	0	4	7	4						
Va.	-	12	25	133	133	9	21	68	181	143	1	3	9	30	27						
W. Va.	-	0	7	-	20	1	1	14	18	56	-	0	4	1	2						
E.S. CENTRAL	-	3	7	43	47	9	55	177	454	446	1	5	22	47	39						
Ala.	-	1	7	27	11	1	20	52	132	144	-	1	4	10	11						
Ky.	-	0	4	3	2	1	11	32	87	85	-	1	6	7	4						
Miss.	-	0	1	-	-	-	18	67	92	79	-	0	12	3	4						
Tenn.	-	1	4	13	34	7	17	53	143	138	1	2	7	27	20						
W.S. CENTRAL	6	0	30	37	10	21	140	505	728	879	3	8	134	53	36						
Ark.	6	0	10	27	6	5	13	43	99	61	1	1	5	7	5						
La.	-	0	0	-	-	-	19	49	103	207	-	0	2	3	4						
Okla.	-	0	30	10	4	9	12	95	85	69	-	1	40	7	1						
Tex.	-	0	0	-	-	7	95	381	441	542	2	5	94	36	26						
MOUNTAIN	-	1	7	5	15	18	52	113	505	641	13	11	33	87	103						
Ariz.	-	0	0	-	-	2	16	43	164	209	-	1	14	23	20						
Colo.	-	0	0	-	-	7	10	24	123	151	3	3	21	9	30						
Idaho	-	0	2	-	1	1	3	9	46	38	4	2	7	16	11						
Mont.	-	0	3	2	-	-	1	6	19	25	-	0	3	2	11						
Nev.	-	0	2	-	-	3	5	22	43	40	4	0	5	11	5						
N. Mex.	-	0	2	3	4	-	5	19	44	71	1	1	6	10	10						
Utah	-	0	2	-	-	-	5	17	48	90	-	2	8	14	13						
Wyo.	-	0	4	-	10	5	1	8	18	17	1	0	3	2	3						
PACIFIC	-	1	13	13	44	64	117	291	1,101	1,286	9	12	52	106	82						
Alaska	-	0	2	9	10	-	1	4	20	22	-	0	1	-	1						
Calif.	-	0	12	-	30	50	79	217	823	903	7	6	32	75	49						
Hawaii	-	0	0	-	-	5	6	14	77	83	-	0	3	1	14						
Oreg.	-	0	2	4	4	1	8	48	80	186	-	2	11	14	9						
Wash.	-	0	0	-	-	8	15	71	101	92	2	2	18	16	9						
Amer. Samoa	N	0	0	N	N	-	0	1	-	1	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	3	6	-	-	0	0	-	-						
P.R.	-	0	3	7	19	-	6	21	15	159	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


