
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 4, 2011 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	173	267	742	3,517	5,549	3	2	11	26	34	10	21	245	193	281						
NEW ENGLAND	-	3	17	63	159	-	0	0	-	-	-	0	1	1	1						
Conn.	-	0	14	14	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	3	5	3	-	0	0	-	-	-	0	1	-	1						
Mass.	-	2	16	42	75	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	2	-	4	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	4	-	7	-	0	0	-	-	-	0	1	1	-						
Vt.	-	0	1	2	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	3	16	74	209	748	1	0	1	3	2	-	1	7	7	26						
N.J.	-	4	16	34	158	-	0	0	-	1	-	0	5	-	17						
N.Y. (Upstate)	3	3	15	55	69	-	0	1	-	1	-	0	3	1	2						
N.Y. City	-	4	14	82	142	-	0	0	-	-	-	0	2	4	3						
Pa.	-	4	56	38	379	1	0	1	3	-	-	0	1	2	4						
E.N. CENTRAL	8	18	37	219	861	-	0	1	-	-	1	1	7	16	22						
Ill.	-	7	20	58	567	-	0	1	-	-	-	0	4	8	10						
Ind.	-	1	4	26	23	-	0	1	-	-	1	0	3	4	7						
Mich.	-	4	10	48	98	-	0	0	-	-	-	0	1	1	-						
Ohio	8	5	15	87	132	-	0	0	-	-	-	0	2	3	3						
Wis.	-	0	4	-	41	-	0	0	-	-	-	0	1	-	2						
W.N. CENTRAL	1	17	71	145	1,228	-	0	2	2	1	4	3	17	45	62						
Iowa	-	1	4	7	23	-	0	0	-	-	-	0	1	1	2						
Kans.	1	4	12	26	115	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	18	-	0	0	-	-	-	0	2	-	-						
Mo.	-	9	56	107	1,056	-	0	2	2	1	4	3	17	44	59						
Nebr.	-	0	10	3	12	-	0	2	-	-	-	0	1	-	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	2	4	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	99	61	122	1,355	779	2	1	7	15	23	1	6	59	47	78						
Del.	-	0	2	-	31	-	0	0	-	1	-	0	3	5	6						
D.C.	-	0	3	6	16	-	0	1	1	-	-	0	0	-	-						
Fla.	83	32	81	969	275	-	0	1	2	1	-	0	2	1	5						
Ga.	9	13	26	183	282	2	0	6	8	19	-	0	0	-	-						
Md.	-	2	8	39	42	-	0	1	1	-	-	0	5	6	10						
N.C.	6	3	36	104	59	-	0	3	1	2	-	2	47	14	37						
S.C.	-	1	5	18	30	-	0	1	2	-	-	0	2	4	3						
Va.	1	2	8	32	43	-	0	2	-	-	1	2	12	17	17						
W. Va.	-	0	66	4	1	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	3	13	29	191	302	-	0	3	-	5	2	5	30	49	71						
Ala.	2	5	15	71	40	-	0	1	-	-	-	1	9	13	15						
Ky.	-	2	15	29	135	-	0	1	-	4	-	0	0	-	-						
Miss.	1	2	5	43	16	-	0	0	-	-	-	0	4	-	4						
Tenn.	-	3	14	48	111	-	0	2	-	1	2	4	20	36	52						
W.S. CENTRAL	47	55	503	695	864	-	0	8	-	1	1	2	235	7	18						
Ark.	1	2	7	24	19	-	0	2	-	-	-	0	28	1	5						
La.	-	5	13	49	105	-	0	0	-	-	-	0	1	-	1						
Okla.	1	3	161	40	132	-	0	5	-	-	1	0	202	4	8						
Tex.	45	45	338	582	608	-	0	1	-	1	-	0	5	2	4						
MOUNTAIN	4	17	32	280	244	-	0	5	6	-	1	0	7	21	3						
Ariz.	1	7	19	76	129	-	0	4	6	-	-	0	7	19	-						
Colo.	2	2	8	35	34	-	0	1	-	-	1	0	1	1	-						
Idaho	-	0	3	7	7	-	0	0	-	-	-	0	1	-	1						
Mont.	-	0	15	90	4	-	0	1	-	-	-	0	1	-	-						
Nev.	1	0	6	8	14	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	3	10	46	44	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	17	12	-	0	0	-	-	-	0	1	-	1						
Wyo.	-	0	1	1	-	-	0	0	-	-	-	0	1	1	-						
PACIFIC	8	23	63	360	364	-	0	2	-	2	-	0	1	-	-						
Alaska	-	0	1	1	-	N	0	0	N	N	N	0	0	N	N						
Calif.	7	18	59	276	289	-	0	2	-	2	-	0	0	-	-						
Hawaii	-	1	4	27	25	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	26	25	-	0	0	-	-	-	0	1	-	-						
