
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending June 11, 2011 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	153	284	937	7,148	8,812	13	24	101	546	1,056	69	257	354	4,913	5,656						
NEW ENGLAND	2	11	79	206	468	-	1	5	23	65	3	9	19	163	201						
Conn.	-	0	49	7	216	-	0	3	6	20	-	1	8	24	40						
Maine	-	2	13	72	71	-	0	1	3	5	-	0	3	8	14						
Mass.	-	0	3	14	49	-	0	3	6	34	1	5	14	96	123						
N.H.	-	2	8	62	69	-	0	1	3	3	-	0	3	12	9						
R.I.	-	0	36	8	16	-	0	3	-	1	2	0	7	19	13						
Vt.	2	1	6	43	47	-	0	2	5	2	-	0	2	4	2						
MID. ATLANTIC	5	21	81	482	919	-	3	27	67	124	14	32	46	618	737						
N.J.	-	6	29	79	413	-	1	4	22	36	-	4	10	94	111						
N.Y. (Upstate)	1	2	10	47	96	-	1	9	26	72	6	2	20	76	41						
N.Y. City	4	14	42	356	410	-	0	14	19	16	3	16	31	297	408						
Pa.	N	0	0	N	N	N	0	0	N	N	5	7	16	151	177						
E.N. CENTRAL	37	65	109	1,715	1,817	4	4	9	102	159	2	30	56	516	833						
Ill.	N	0	0	N	N	N	0	0	N	N	-	14	23	199	411						
Ind.	-	14	32	337	406	-	1	4	16	32	2	3	14	60	63						
Mich.	9	14	29	386	414	2	1	4	24	50	-	4	10	83	122						
Ohio	27	25	45	739	706	2	2	7	51	54	-	9	21	157	215						
Wis.	1	9	24	253	291	-	0	3	11	23	-	1	3	17	22						
W.N. CENTRAL	1	6	35	86	479	-	1	5	4	67	-	7	18	127	116						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	9	7						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	7	7						
Minn.	-	4	24	-	370	-	0	5	-	55	-	3	10	56	29						
Mo.	N	0	0	N	N	N	0	0	N	N	-	2	9	53	68						
Nebr.	1	2	9	68	75	-	0	1	4	11	-	0	2	2	5						
N. Dak.	-	0	18	18	34	-	0	1	-	1	-	0	1	-	-						
S. Dak.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
S. ATLANTIC	33	67	170	1,997	2,421	1	7	22	148	294	20	63	166	1,264	1,282						
Del.	-	1	6	30	21	-	0	1	-	-	-	0	4	6	3						
D.C.	-	1	3	27	50	-	0	1	4	7	-	3	8	71	58						
Fla.	17	22	68	817	919	1	3	13	74	116	4	23	44	468	452						
Ga.	6	18	54	415	794	-	2	7	34	92	1	10	118	197	275						
