
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 9, 2011 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	12	6	109	193	296	13	14	114	129	1,005	-	1	13	37	50						
NEW ENGLAND	-	0	2	2	3	-	1	8	14	51	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	17	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	7	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	7	8	-	0	1	1	2						
R.I.	-	0	1	-	-	-	0	6	-	13	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	-	1	-	0	0	-	-						
MID. ATLANTIC	3	1	7	18	47	12	4	19	73	103	-	0	2	3	6						
N.J.	-	0	2	-	35	-	0	3	-	45	-	0	0	-	1						
N.Y. (Upstate)	3	0	7	15	9	12	3	18	60	52	-	0	2	3	4						
N.Y. City	-	0	1	3	2	-	0	5	13	6	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	1						
E.N. CENTRAL	-	0	4	8	22	-	1	30	5	323	-	0	4	15	27						
Ill.	-	0	2	5	9	-	0	2	1	2	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	11	11						
Mich.	-	0	1	1	-	-	0	1	-	1	-	0	1	1	-						
Ohio	-	0	3	2	1	-	0	1	1	-	-	0	0	-	-						
Wis.	-	0	1	-	12	-	1	29	3	320	-	0	3	1	13						
W.N. CENTRAL	5	1	13	62	68	-	2	66	12	489	-	0	11	12	5						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	5	-	0	0	-	1	-	0	0	-	-						
Minn.	U	0	12	-	-	U	0	64	1	482	U	0	11	-	-						
Mo.	5	0	13	60	63	-	0	3	11	6	-	0	7	10	5						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
S. ATLANTIC	4	3	18	76	109	-	1	4	19	31	-	0	1	1	1						
Del.	-	0	2	10	11	-	0	1	1	3	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	10	4	-	0	1	3	1	-	0	0	-	-						
Ga.	-	0	3	8	15	-	0	1	5	1	-	0	1	1	1						
Md.	1	0	2	10	12	-	0	1	1	11	-	0	1	-	-						
N.C.	-	0	13	15	33	-	0	4	7	10	-	0	0	-	-						
S.C.	-	0	1	-	3	-	0	1	-	-	-	0	0	-	-						
Va.	3	1	8	23	30	-	0	1	2	5	-	0	1	-	-						
W. Va.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	0	11	27	37	1	0	2	6	8	-	0	1	2	7						
Ala.	-	0	3	-	5	1	0	2	3	2	N	0	0	N	N						
Ky.	-	0	2	7	6	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	-	1	-	0	1	-	1	-	0	0	-	1						
