
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 16, 2011 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	21	6	109	232	326	18	15	89	161	1,094	1	1	13	40	52						
NEW ENGLAND	-	0	2	3	3	5	1	8	27	56	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	22	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	7	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	7	8	-	0	1	1	2						
R.I.	-	0	1	1	-	4	0	6	11	13	-	0	0	-	-						
Vt.	-	0	0	-	-	1	0	1	2	1	-	0	0	-	-						
MID. ATLANTIC	5	1	7	23	51	13	4	20	87	112	-	0	2	3	7						
N.J.	-	0	2	-	37	-	0	3	-	47	-	0	0	-	1						
N.Y. (Upstate)	5	0	7	20	10	13	3	18	73	59	-	0	2	3	4						
N.Y. City	-	0	1	3	3	-	0	5	14	6	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	2						
E.N. CENTRAL	-	0	4	10	25	-	1	24	7	347	-	0	4	16	28						
Ill.	-	0	2	6	10	-	0	2	2	2	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	11	11						
Mich.	-	0	1	1	-	-	0	1	-	2	-	0	1	1	-						
Ohio	-	0	3	3	2	-	0	1	2	-	-	0	1	1	-						
Wis.	-	0	1	-	13	-	1	23	3	343	-	0	3	1	14						
W.N. CENTRAL	4	1	13	75	73	-	2	45	14	534	-	0	11	13	5						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	5	-	0	0	-	1	-	0	0	-	-						
Minn.	U	0	12	-	-	U	0	44	1	526	U	0	11	-	-						
Mo.	4	0	13	73	68	-	0	3	13	7	-	0	7	11	5						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
S. ATLANTIC	4	3	18	84	116	-	1	4	19	35	-	0	1	1	1						
Del.	-	0	2	12	11	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	1	0	3	11	6	-	0	1	3	1	-	0	0	-	-						
Ga.	-	0	3	8	15	-	0	1	5	1	-	0	1	1	1						
Md.	2	0	2	12	13	-	0	1	1	12	-	0	1	-	-						
N.C.	-	0	13	15	35	-	0	4	7	11	-	0	0	-	-						
S.C.	-	0	1	-	3	-	0	1	-	-	-	0	0	-	-						
Va.	1	1	8	26	32	-	0	1	2	6	-	0	1	-	-						
W. Va.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	3	0	11	31	44	-	0	2	7	10	1	0	1	3	7						
Ala.	-	0	3	-	6	-	0	2	3	4	N	0	0	N	N						
Ky.	-	0	2	7	8	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	-	1	-	0	1	-	1	-	0	0	-	1						
Tenn.	3	0	7	24	29	-	0	2	4	5	1	0	1	3	5						
W.S. CENTRAL	5	0	87	6	13	-	0	9	-	-	-	0	1	-	-						
Ark.	5	0	5	6	-	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	-	10	-	0	7	-	-	-	0	0	-	-						
Tex.	-	0	1	-	2	-	0	1	-	-	-	0	1	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


