
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 23, 2011 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	156	259	742	5,464	7,569	3	2	12	70	79	20	23	245	585	687						
NEW ENGLAND	1	4	24	119	220	-	0	0	-	-	-	0	1	3	2						
Conn.	-	0	23	23	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	16	3	-	0	0	-	-	-	0	1	-	1						
Mass.	1	2	13	73	132	-	0	0	-	-	-	0	1	1	-						
N.H.	-	0	2	1	5	-	0	0	-	-	-	0	1	1	1						
R.I.	-	0	4	4	10	-	0	0	-	-	-	0	1	1	-						
Vt.	-	0	1	2	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	15	14	74	320	1,026	1	0	2	7	2	-	1	5	12	54						
N.J.	-	3	12	41	239	-	0	0	-	1	-	0	3	-	36						
N.Y. (Upstate)	14	3	18	111	99	1	0	0	1	1	-	0	3	2	4						
N.Y. City	-	4	14	113	180	-	0	0	-	-	-	0	2	5	7						
Pa.	1	4	56	55	508	-	0	2	6	-	-	0	2	5	7						
E.N. CENTRAL	5	17	37	376	1,053	1	0	1	2	1	-	1	5	35	51						
Ill.	-	5	20	79	646	-	0	1	-	-	-	0	2	16	24						
Ind.	-	1	4	32	34	-	0	0	-	1	-	0	3	14	15						
Mich.	1	4	9	80	142	-	0	0	-	-	-	0	1	-	1						
Ohio	4	5	27	185	182	1	0	1	2	-	-	0	2	5	8						
Wis.	-	0	4	-	49	-	0	0	-	-	-	0	1	-	3						
W.N. CENTRAL	-	13	41	187	1,555	-	0	5	11	7	6	4	24	156	141						
Iowa	-	0	4	9	32	-	0	0	-	-	-	0	1	2	3						
Kans.	-	3	12	34	163	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	29	-	0	0	-	-	-	0	2	-	-						
Mo.	-	7	29	135	1,306	-	0	3	8	5	6	4	24	153	136						
Nebr.	-	0	10	5	21	-	0	3	3	2	-	0	1	1	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
S. Dak.	-	0	2	4	4	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	70	67	133	2,036	1,144	1	1	6	39	51	6	6	59	163	183						
Del.	-	0	1	1	35	-	0	1	1	1	-	0	4	11	11						
D.C.	-	0	3	8	18	-	0	1	1	-	-	0	0	-	-						
Fla.	58	37	99	1,477	438	-	0	1	3	2	-	0	2	4	7						
Ga.	4	13	26	294	401	1	0	5	23	41	-	0	0	-	-						
Md.	2	2	7	48	67	-	0	1	2	-	3	0	3	13	28						
N.C.	4	3	36	128	76	-	0	4	5	6	-	1	47	73	76						
S.C.	1	1	5	28	42	-	0	1	3	-	-	0	2	11	7						
Va.	1	2	8	48	66	-	0	2	1	1	3	2	12	49	54						
W. Va.	-	0	66	4	1	-	0	0	-	-	-	0	1	2	-						
E.S. CENTRAL	10	13	29	309	425	-	0	3	5	11	4	5	26	131	214						
Ala.	-	5	15	105	85	-	0	1	-	1	-	1	6	28	39						
Ky.	9	1	6	40	170	-	0	0	-	6	-	0	0	-	-						
Miss.	-	2	7	74	26	-	0	1	1	-	-	0	4	1	13						
Tenn.	1	4	14	90	144	-	0	2	4	4	4	4	20	102	162						
W.S. CENTRAL	46	59	503	1,270	1,287	-	0	8	-	1	3	1	235	57	37						
Ark.	4	2	7	37	26	-	0	2	-	-	2	0	28	48	12						
La.	-	5	14	110	142	-	0	0	-	-	-	0	1	2	1						
Okla.	-	2	161	40	162	-	0	5	-	-	1	0	202	5	13						
Tex.	42	48	338	1,083	957	-	0	1	-	1	-	0	5	2	11						
MOUNTAIN	2	17	32	367	357	-	0	5	6	2	1	0	7	28	4						
Ariz.	1	7	19	113	191	-	0	4	6	-	-	0	7	21	-						
Colo.	-	2	7	43	48	-	0	1	-	-	-	0	1	2	-						
Idaho	-	0	3	12	15	-	0	0	-	-	-	0	1	1	1						
Mont.	-	1	15	106	4	-	0	0	-	2	-	0	0	-	1						
Nev.	-	0	6	11	18	-	0	0	-	-	-	0	0	-	-						
N. Mex.	1	3	10	56	60	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	25	21	-	0	0	-	-	-	0	1	-	1						
Wyo.	-	0	1	1	-	-	0	0	-	-	1	0	1	4	-						
PACIFIC	7	23	63	480	502	-	0	2	-	4	-	0	0	-	1						
Alaska	-	0	2	3	-	N	0	0	N	N	N	0	0	N	N						
Calif.	6	18	59	377	379	-	0	2	-	4	-	0	0	-	-						
Hawaii	-	1	3	30	32	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	26	35	-	0	0	-	-	-	0	0	-	1						
Wash.	1	1	22	44	56	-	0	1	-	-	-	0	0	-	-						
Amer. Samoa	-	1	1	1	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	1	5	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	3	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


