
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending August 27, 2011 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	155	232	742	6,663	9,057	2	2	13	108	101	56	24	245	1,043	1,041						
NEW ENGLAND	-	3	29	131	262	-	0	0	-	-	-	0	1	3	2						
Conn.	-	0	28	28	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	19	5	-	0	0	-	-	-	0	1	-	1						
Mass.	-	2	13	76	168	-	0	0	-	-	-	0	1	1	-						
N.H.	-	0	2	1	8	-	0	0	-	-	-	0	1	1	1						
R.I.	-	0	4	4	11	-	0	0	-	-	-	0	1	1	-						
Vt.	-	0	1	3	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	4	13	74	406	1,205	-	0	2	10	2	-	1	5	21	72						
N.J.	-	2	10	51	282	-	0	0	-	1	-	0	3	-	43						
N.Y. (Upstate)	4	3	18	146	141	-	0	1	2	1	-	0	2	5	9						
N.Y. City	-	4	14	137	211	-	0	0	-	-	-	0	2	7	9						
Pa.	-	3	56	72	571	-	0	2	8	-	-	0	3	9	11						
E.N. CENTRAL	9	16	37	468	1,202	-	0	2	4	2	1	1	5	51	65						
Ill.	-	5	13	108	703	-	0	1	-	1	-	0	2	20	28						
Ind.	-	1	4	33	44	-	0	0	-	1	-	0	4	22	18						
Mich.	1	3	9	107	176	-	0	1	1	-	-	0	1	-	1						
Ohio	8	5	27	220	223	-	0	2	3	-	1	0	2	9	12						
Wis.	-	0	4	-	56	-	0	0	-	-	-	0	1	-	6						
W.N. CENTRAL	1	10	38	213	1,677	-	0	6	19	10	8	4	30	247	197						
Iowa	-	0	4	12	38	-	0	0	-	-	-	0	2	4	5						
Kans.	-	2	12	37	191	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	36	-	0	0	-	-	-	0	2	-	-						
Mo.	-	6	18	152	1,381	-	0	3	14	7	7	4	30	240	189						
Nebr.	1	0	10	8	25	-	0	3	4	3	1	0	1	3	2						
N. Dak.	-	0	0	-	-	-	0	1	1	-	-	0	0	-	1						
S. Dak.	-	0	2	4	6	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	66	68	133	2,415	1,502	-	1	6	59	65	21	6	50	275	316						
Del.	-	0	1	3	35	-	0	1	1	1	-	0	4	15	16						
D.C.	-	0	2	10	24	-	0	1	1	-	1	0	0	1	-						
Fla.	48	39	98	1,740	638	-	0	1	3	2	-	0	2	6	7						
Ga.	9	12	26	354	481	-	0	5	36	46	-	0	0	-	-						
Md.	5	2	5	60	88	-	0	1	2	-	1	0	3	17	33						
N.C.	2	4	36	147	104	-	0	4	9	12	17	1	41	140	159						
S.C.	1	1	4	35	47	-	0	1	4	1	-	0	2	11	10						
Va.	1	2	8	62	84	-	0	1	3	3	2	2	8	82	91						
W. Va.	-	0	66	4	1	-	0	0	-	-	-	0	1	3	-						
E.S. CENTRAL	-	13	29	360	485	1	0	3	4	15	13	5	18	223	299						
Ala.	-	4	15	116	104	-	0	1	-	4	-	0	5	28	57						
Ky.	-	1	6	34	184	-	0	0	-	6	-	0	0	-	-						
Miss.	-	2	9	95	32	-	0	0	-	1	-	0	4	9	17						
Tenn.	-	4	14	115	165	1	0	2	4	4	13	4	18	186	225						
W.S. CENTRAL	46	61	503	1,610	1,600	1	0	8	2	1	13	2	235	194	81						
Ark.	2	2	7	48	35	-	0	2	1	-	1	0	37	168	48						
La.	-	5	14	145	173	-	0	0	-	-	-	0	1	2	2						
Okla.	4	2	161	64	186	1	0	5	1	-	12	0	202	21	16						
Tex.	40	50	338	1,353	1,206	-	0	1	-	1	-	0	5	3	15						
MOUNTAIN	12	16	32	457	478	-	0	5	10	2	-	0	6	29	8						
Ariz.	7	6	19	155	256	-	0	4	10	-	-	0	6	18	-						
Colo.	4	2	7	58	59	-	0	1	-	-	-	0	1	2	-						
Idaho	-	0	3	13	18	-	0	0	-	-	-	0	1	1	3						
Mont.	-	1	15	114	6	-	0	0	-	2	-	0	1	1	1						
Nev.	1	0	6	14	22	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	3	9	70	87	-	0	0	-	-	-	0	1	1	1						
Utah	-	1	4	31	30	-	0	0	-	-	-	0	1	1	3						
Wyo.	-	0	1	2	-	-	0	0	-	-	-	0	1	5	-						
PACIFIC	17	21	63	603	646	-	0	2	-	4	-	0	0	-	1						
Alaska	-	0	2	3	1	N	0	0	N	N	N	0	0	N	N						
Calif.	11	16	59	484	507	-	0	2	-	4	-	0	0	-	-						
Hawaii	1	1	3	37	34	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	26	39	-	0	0	-	-	-	0	0	-	1						
Wash.	5	1	8	53	65	-	0	1	-	-	-	0	0	-	-						
Amer. Samoa	-	1	1	1	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	1	5	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	4	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


