
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 29, 2011 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	6	6	109	619	591	7	15	53	609	1,572	-	2	13	93	82						
NEW ENGLAND	-	0	2	4	5	1	2	24	208	94	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	3	-	0	2	15	15	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	17	135	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	14	16	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	15	40	29	-	0	0	-	-						
Vt.	-	0	0	-	-	1	0	1	4	2	-	0	0	-	-						
MID. ATLANTIC	1	1	7	56	80	2	5	29	274	230	-	0	2	11	11						
N.J.	-	0	1	-	48	-	0	3	-	64	-	0	0	-	1						
N.Y. (Upstate)	1	0	7	47	25	2	3	25	234	154	-	0	2	11	7						
N.Y. City	-	0	1	9	5	-	0	5	36	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	3	24	41	-	0	8	15	480	-	1	5	41	42						
Ill.	-	0	2	14	15	-	0	2	6	8	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	32	15						
Mich.	-	0	2	4	2	-	0	1	-	4	-	0	2	5	-						
Ohio	-	0	1	6	6	-	0	1	6	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	7	3	466	-	0	1	1	24						
W.N. CENTRAL	-	1	19	152	119	-	0	20	33	689	-	0	11	15	10						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	3	6	-	0	1	2	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	676	-	0	11	-	-						
Mo.	-	1	19	147	111	-	0	7	27	12	-	0	7	14	10						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	4	2	33	215	237	3	1	8	54	57	-	0	1	7	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	1	0	3	14	8	-	0	3	9	3	-	0	0	-	-						
Ga.	-	0	3	16	20	-	0	2	7	1	-	0	1	1	1						
Md.	1	0	3	25	21	-	0	2	6	14	-	0	0	-	2						
N.C.	2	0	17	57	94	-	0	6	17	23	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	0	-	1	-	0	1	1	-						
Va.	-	1	13	87	71	3	0	3	14	11	-	0	1	4	3						
