
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 19, 2011 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	2	7	109	645	609	4	16	56	670	1,655	1	1	13	96	85						
NEW ENGLAND	-	0	2	4	7	1	2	26	226	103	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	4	-	0	2	16	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	17	150	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	15	19	-	0	1	1	2						
R.I.	-	0	1	1	1	-	0	15	40	33	-	0	0	-	-						
Vt.	-	0	0	-	-	1	0	1	5	2	-	0	0	-	-						
MID. ATLANTIC	-	1	7	56	82	2	5	31	305	245	-	0	2	9	12						
N.J.	-	0	1	-	49	-	0	3	-	66	-	0	0	-	1						
N.Y. (Upstate)	-	0	7	45	26	2	4	27	260	167	-	0	2	9	8						
N.Y. City	-	0	2	11	5	-	0	5	41	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	3	27	42	-	0	8	18	500	-	0	5	41	44						
Ill.	-	0	2	17	16	-	0	2	8	9	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	32	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	6	-	0	1	7	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	7	3	485	-	0	1	1	26						
W.N. CENTRAL	-	1	19	155	119	-	0	20	34	724	-	0	11	14	10						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	3	6	-	0	1	2	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	711	-	0	11	-	-						
Mo.	-	1	19	150	111	-	0	7	28	12	-	0	7	13	10						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	2	2	33	227	244	1	1	8	62	58	1	0	1	10	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	1	0	3	15	8	1	0	3	10	3	-	0	0	-	-						
Ga.	-	0	3	17	20	-	0	2	7	1	-	0	1	1	1						
Md.	-	0	3	28	21	-	0	2	7	14	1	0	0	1	2						
N.C.	-	0	17	59	96	-	0	6	20	24	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	0	-	1	-	0	1	1	-						
Va.	1	1	13	92	75	-	0	3	17	11	-	0	1	6	3						
W. Va.	-	0	0	-	3	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	-	0	8	70	87	-	0	2	15	20	-	0	3	14	8						
Ala.	-	0	2	4	11	-	0	1	4	7	N	0	0	N	N						
Ky.	-	0	3	12	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	1	1	2	-	0	0	-	1						
Tenn.	-	0	5	51	57	-	0	2	10	11	-	0	3	14	6						
W.S. CENTRAL	-	0	87	106	27	-	0	9	7	5	-	0	0	-	1						
Ark.	-	0	13	48	9	-	0	2	5	2	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	57	14	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	1	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	5	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	4	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	1	3	-	-	0	1	2	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	2	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	3	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
