
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 17, 2011 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	165	233	742	11,244	13,765	3	3	15	202	145	9	26	245	1,952	1,570						
NEW ENGLAND	-	5	21	261	316	-	0	1	1	-	-	0	1	8	5						
Conn.	-	0	4	37	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	32	8	-	0	0	-	-	-	0	1	1	2						
Mass.	-	3	20	175	208	-	0	0	-	-	-	0	1	4	-						
N.H.	-	0	1	3	14	-	0	1	1	-	-	0	1	1	1						
R.I.	-	0	3	8	16	-	0	0	-	-	-	0	1	2	2						
Vt.	-	0	1	6	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	20	14	74	809	1,558	1	0	2	20	2	3	1	4	59	101						
N.J.	-	0	3	-	367	-	0	0	-	1	-	0	1	-	59						
N.Y. (Upstate)	18	5	20	322	218	1	0	1	5	1	2	0	1	10	17						
N.Y. City	2	6	27	369	294	-	0	0	-	-	-	0	3	29	11						
Pa.	-	2	56	118	679	-	0	2	15	-	1	0	3	20	14						
E.N. CENTRAL	7	14	40	716	1,516	1	0	2	9	3	-	2	9	113	77						
Ill.	-	4	16	204	828	-	0	1	2	2	-	1	4	47	34						
Ind.	-	1	4	45	62	-	0	1	2	1	-	0	4	46	20						
