
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2011 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	98	275	453	764	1,376	-	2	11	8	5	3	24	91	27	23						
NEW ENGLAND	-	4	17	4	89	-	0	0	-	-	-	0	1	-	-						
Conn.	-	0	2	2	63	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	16	-	22	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	2	-	2	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	1	-	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	3	30	69	52	247	-	0	1	-	-	-	1	4	1	-						
N.J.	-	5	16	5	35	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	2	3	15	15	16	-	0	1	-	-	-	0	3	-	-						
N.Y. City	1	5	14	22	43	-	0	1	-	-	-	0	4	1	-						
Pa.	-	11	55	10	153	-	0	0	-	-	-	0	3	-	-						
E.N. CENTRAL	3	25	239	49	167	-	0	1	-	-	-	1	10	2	1						
Ill.	-	9	229	4	64	-	0	1	-	-	-	0	5	-	-						
Ind.	-	1	4	4	4	-	0	1	-	-	-	0	5	-	1						
Mich.	-	5	10	10	23	-	0	0	-	-	-	0	1	1	-						
Ohio	3	5	18	31	44	-	0	0	-	-	-	0	2	1	-						
Wis.	-	3	21	-	32	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	2	30	81	54	321	-	0	4	-	-	-	4	21	1	1						
Iowa	-	1	4	2	7	-	0	0	-	-	-	0	1	-	-						
Kans.	-	5	13	12	16	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	3	-	4	-	0	0	-	-	-	0	0	-	-						
Mo.	2	18	66	38	293	-	0	4	-	-	-	4	20	1	1						
Nebr.	-	1	10	1	1	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	1	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	36	53	134	276	188	-	1	9	4	4	3	7	60	13	19						
Del.	-	0	3	-	16	-	0	1	-	-	-	0	3	-	-						
D.C.	-	0	4	2	3	-	0	1	-	-	-	0	0	-	-						
Fla.	24	25	53	181	58	-	0	1	1	-	-	0	2	2	-						
Ga.	4	14	40	43	65	-	1	6	1	4	-	0	0	-	-						
Md.	4	2	8	10	9	-	0	1	1	-	-	0	5	1	1						
N.C.	2	3	36	26	19	-	0	3	1	-	2	2	48	7	17						
S.C.	-	1	5	3	11	-	0	1	-	-	-	0	3	1	1						
Va.	2	3	8	11	7	-	0	2	-	-	1	2	12	2	-						
W. Va.	-	0	66	-	-	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	3	14	40	38	49	-	0	3	-	-	-	5	29	3	-						
Ala.	1	4	14	19	9	-	0	1	-	-	-	1	8	2	-						
Ky.	2	3	28	4	21	-	0	2	-	-	-	0	0	-	-						
Miss.	-	1	4	5	2	-	0	0	-	-	-	0	3	-	-						
Tenn.	-	5	14	10	17	-	0	2	-	-	-	4	20	1	-						
W.S. CENTRAL	15	52	113	112	136	-	0	3	-	-	-	1	18	-	1						
Ark.	-	1	6	3	6	-	0	2	-	-	-	0	17	-	-						
La.	-	6	13	10	13	-	0	0	-	-	-	0	1	-	-						
Okla.	-	5	13	7	16	-	0	3	-	-	-	0	6	-	-						
Tex.	15	43	92	92	101	-	0	1	-	-	-	0	3	-	1						
MOUNTAIN	9	15	32	61	73	-	0	5	4	-	-	0	3	7	1						
Ariz.	3	8	18	29	45	-	0	5	4	-	-	0	3	7	-						
Colo.	2	2	8	16	13	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	3	3	1	-	0	0	-	-	-	0	1	-	-						
Mont.	3	0	1	4	1	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	6	1	2	-	0	0	-	-	-	0	0	-	-						
N. Mex.	1	3	10	8	8	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	-	3	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	27	22	70	118	106	-	0	2	-	1	-	0	0	-	-						
Alaska	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
Calif.	25	19	56	109	93	-	0	2	-	1	-	0	0	-	-						
Hawaii	-	1	4	-	5	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	5	5	-	0	1	-	-	-	0	0	-	-						
Wash.	2	1	17	4	3	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	1	1	1	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


