
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2012 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	97	264	386	1,946	1,686	-	3	13	20	11	2	31	137	98	60						
NEW ENGLAND	1	4	21	14	39	-	0	1	-	-	-	0	1	-	2						
Conn.	-	1	4	5	7	-	0	0	-	-	-	0	0	-	-						
Maine	1	0	8	1	4	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	20	8	26	-	0	0	-	-	-	0	1	-	1						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	1						
Vt.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	9	30	88	383	120	-	0	2	4	-	-	1	7	11	3						
N.J.	-	8	39	140	25	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	8	7	41	110	24	-	0	1	-	-	-	0	3	1	-						
N.Y. City	-	8	29	114	50	-	0	0	-	-	-	0	3	3	2						
Pa.	1	2	13	19	21	-	0	2	4	-	-	0	3	7	1						
E.N. CENTRAL	10	16	41	218	133	-	0	2	1	-	-	2	10	6	4						
Ill.	-	4	16	13	47	-	0	1	-	-	-	1	4	3	3						
Ind.	-	1	6	5	13	-	0	1	1	-	-	1	5	1	-						
Mich.	-	4	11	43	27	-	0	1	-	-	-	0	1	-	-						
Ohio	10	6	27	157	46	-	0	2	-	-	-	0	2	2	1						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	1	5	18	54	88	-	0	4	-	-	-	4	24	8	9						
Iowa	-	0	3	5	4	-	0	0	-	-	-	0	2	-	1						
Kans.	-	1	8	28	20	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	1	3	14	18	60	-	0	2	-	-	-	4	22	8	8						
Nebr.	-	0	2	3	3	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	40	75	134	449	563	-	2	8	12	5	2	7	58	35	20						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	4	4	2						
D.C.	-	0	5	1	5	-	0	1	-	-	-	0	1	-	-						
Fla.	23	49	98	259	349	-	0	1	-	2	-	0	2	5	1						
Ga.	8	13	26	115	94	-	1	8	11	1	-	0	0	-	-						
Md.	5	2	10	37	22	-	0	1	-	1	-	0	3	4	1						
N.C.	1	2	19	19	60	-	0	4	-	1	-	0	49	5	10						
S.C.	-	1	54	3	13	-	0	2	-	-	-	0	2	1	1						
Va.	3	1	7	15	20	-	0	1	1	-	2	4	14	16	5						
W. Va.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	5	21	51	290	101	-	0	2	-	-	-	4	25	19	9						
Ala.	2	6	21	73	44	-	0	1	-	-	-	1	8	6	3						
Ky.	2	6	22	122	11	-	0	1	-	-	-	0	2	1	-						
