
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2012 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	170	279	551	3,730	5,099	13	22	45	245	335	112	269	308	2,396	3,096						
NEW ENGLAND	2	13	28	154	273	-	1	4	9	15	2	7	23	85	96						
Conn.	-	6	12	67	131	-	0	3	3	4	-	0	12	4	21						
Maine	1	2	8	28	34	-	0	1	1	2	-	0	2	4	2						
Mass.	-	0	3	9	12	-	0	2	4	6	-	5	10	53	57						
N.H.	1	1	6	21	38	-	0	1	1	-	1	0	3	6	5						
R.I.	-	1	5	11	42	-	0	1	-	1	-	0	7	17	9						
Vt.	-	1	6	18	16	-	0	2	-	2	1	0	2	1	2						
MID. ATLANTIC	27	31	70	584	531	2	2	11	26	38	7	29	45	265	396						
N.J.	-	11	26	133	261	-	0	4	8	16	-	3	11	18	45						
N.Y. (Upstate)	23	2	38	289	23	2	1	10	13	13	4	4	12	35	36						
N.Y. City	4	12	25	162	247	-	0	6	5	9	-	14	24	116	220						
Pa.	N	0	0	N	N	N	0	0	N	N	3	7	17	96	95						
E.N. CENTRAL	30	64	122	798	1,001	4	3	10	44	50	-	30	49	176	397						
Ill.	N	0	0	N	N	-	0	0	-	-	-	12	24	52	175						
Ind.	1	14	36	134	256	-	1	2	4	14	-	3	8	41	38						
