
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2012 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	11	11	95	104	100	9	28	161	134	286	1	2	11	17	26						
NEW ENGLAND	1	0	1	4	3	6	4	28	55	56	-	0	1	-	1						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	0	-	1	2	1	3	16	2	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	28	-	0	0	-	-						
N.H.	-	0	0	-	1	-	0	5	13	5	-	0	1	-	1						
R.I.	1	0	1	4	1	3	0	15	21	21	-	0	1	-	-						
Vt.	-	0	0	-	-	1	0	2	5	-	-	0	0	-	-						
MID. ATLANTIC	1	1	13	8	15	2	10	44	61	23	-	0	4	1	2						
N.J.	-	0	9	-	12	-	2	8	-	15	-	0	2	-	1						
N.Y. (Upstate)	1	0	4	6	3	2	7	41	54	5	-	0	2	1	-						
N.Y. City	-	0	1	2	-	-	0	5	7	3	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	-	-	0	2	-	1						
E.N. CENTRAL	-	0	5	-	11	-	6	62	3	82	-	1	5	6	15						
Ill.	-	0	4	-	8	-	0	2	3	-	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	4	6						
Mich.	-	0	2	-	1	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	-	1	-	0	1	-	1	-	0	1	-	-						
Wis.	-	0	1	-	1	-	5	61	-	81	-	0	4	-	8						
W.N. CENTRAL	5	2	18	31	27	-	6	67	3	106	1	0	6	4	3						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	-	2	-	0	1	-	-	-	0	1	-	-						
Minn.	-	0	1	-	-	-	6	65	-	103	-	0	2	-	2						
Mo.	5	2	17	31	24	-	0	5	3	3	1	0	6	4	1						
Nebr.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	1	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	2	4	35	42	36	1	1	6	6	14	-	0	2	4	2						
Del.	1	0	2	4	5	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	1	0	3	8	5	1	0	2	1	2	-	0	0	-	-						
Ga.	-	0	3	7	5	-	0	1	2	6	-	0	1	1	2						
Md.	-	0	4	5	6	-	0	2	-	1	-	0	1	1	-						
N.C.	-	0	18	9	6	-	0	6	1	4	-	0	1	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Va.	-	1	13	9	9	-	0	3	2	1	-	0	2	2	-						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	2	1	8	6	7	-	0	2	4	4	-	0	3	1	1						
Ala.	-	0	2	1	-	-	0	1	2	2	N	0	0	N	N						
Ky.	-	0	3	-	3	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
Tenn.	2	0	5	5	4	-	0	1	2	2	-	0	3	1	1						
W.S. CENTRAL	-	1	52	13	1	-	0	11	2	-	-	0	1	-	-						
Ark.	-	0	13	12	-	-	0	3	1	-	-	0	0	-	-						
La.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
Okla.	-	0	51	-	-	-	0	7	-	-	-	0	0	-	-						
Tex.	-	0	1	1	1	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	-	2						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	2						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
