
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2012 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	154	272	423	4,369	3,751	6	3	19	53	43	20	40	348	495	232						
NEW ENGLAND	-	4	22	34	80	-	0	1	-	-	-	0	1	4	3						
Conn.	-	1	4	11	18	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	2	5	-	0	0	-	-	-	0	1	2	-						
Mass.	-	2	20	21	52	-	0	0	-	-	-	0	1	-	2						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	2	-	3	-	0	0	-	-	-	0	1	2	1						
Vt.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	14	42	89	990	228	-	0	2	9	1	-	3	11	20	24						
N.J.	2	16	48	504	45	-	0	1	-	1	-	2	8	-	23						
N.Y. (Upstate)	8	8	41	189	51	-	0	1	2	-	-	0	3	4	-						
N.Y. City	-	13	28	254	92	-	0	0	-	-	-	0	2	5	-						
Pa.	4	2	11	43	40	-	0	2	7	-	-	0	3	11	1						
E.N. CENTRAL	19	18	42	395	258	-	0	2	1	3	-	2	9	27	24						
Ill.	-	4	16	33	71	-	0	0	-	-	-	1	4	11	13						
Ind.	-	1	6	18	33	-	0	1	1	1	-	0	3	9	8						
Mich.	-	4	11	77	51	-	0	0	-	-	-	0	1	1	-						
Ohio	19	8	27	267	76	-	0	2	-	-	-	0	2	6	3						
Wis.	-	0	4	-	27	-	0	0	-	2	-	0	2	-	-						
W.N. CENTRAL	5	6	15	86	164	1	0	4	5	-	3	4	25	87	37						
Iowa	-	0	3	8	6	-	0	0	-	-	-	0	2	3	1						
Kans.	-	2	8	28	25	-	0	0	-	-	-	0	0	-	-						
Minn.	-	1	6	-	24	-	0	0	-	-	-	0	3	-	-						
Mo.	2	2	7	33	104	1	0	2	5	-	3	4	20	84	36						
Nebr.	3	0	7	17	3	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
