
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 2, 2012 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	13	11	95	132	113	5	28	161	147	417	-	2	11	16	30						
NEW ENGLAND	-	0	1	4	3	2	4	28	61	75	-	0	1	-	1						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	0	-	1	-	1	3	17	4	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	45	-	0	0	-	-						
N.H.	-	0	0	-	1	-	0	5	13	7	-	0	0	-	1						
R.I.	-	0	1	4	1	2	0	15	26	19	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	2	5	-	-	0	0	-	-						
MID. ATLANTIC	-	1	13	8	16	3	10	44	64	32	-	0	4	1	2						
N.J.	-	0	9	-	13	-	2	8	-	19	-	0	2	-	1						
N.Y. (Upstate)	-	0	4	6	3	3	7	41	57	8	-	0	2	1	-						
N.Y. City	-	0	1	2	-	-	0	5	7	5	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	-	-	0	2	-	1						
E.N. CENTRAL	1	0	5	2	13	-	4	62	3	128	-	1	5	6	17						
Ill.	-	0	4	1	8	-	0	2	3	1	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	4	6						
Mich.	-	0	2	-	1	-	0	0	-	-	-	0	2	2	1						
Ohio	1	0	1	1	2	-	0	1	-	1	-	0	1	-	-						
Wis.	-	0	1	-	2	-	4	61	-	126	-	0	4	-	10						
W.N. CENTRAL	4	2	18	43	28	-	5	67	3	162	-	0	6	3	4						
