
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2012 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	11,728	26,684	30,645	660,635	742,776	268	410	591	9,485	11,865	41	118	416	2,826	3,872						
NEW ENGLAND	761	922	1,807	23,745	23,415	-	0	1	1	1	-	6	22	118	222						
Conn.	133	239	1,268	5,318	5,269	N	0	0	N	N	-	1	8	19	44						
Maine	61	59	99	1,536	1,654	N	0	0	N	N	-	1	4	21	27						
Mass.	455	453	680	12,140	11,984	-	0	0	-	-	-	2	8	39	92						
N.H.	7	62	86	1,576	1,520	-	0	0	-	1	-	1	4	15	34						
R.I.	58	80	186	2,357	2,203	-	0	1	1	-	-	0	10	6	1						
Vt.	47	28	71	818	785	N	0	0	N	N	-	1	5	18	24						
MID. ATLANTIC	2,188	3,518	4,469	89,508	94,476	-	0	1	4	3	12	14	44	316	446						
N.J.	173	537	631	14,173	13,950	N	0	0	N	N	-	1	4	11	29						
N.Y. (Upstate)	745	727	2,215	19,350	18,593	N	0	0	N	N	6	3	19	74	77						
N.Y. City	393	1,218	1,491	26,515	34,682	N	0	0	N	N	-	2	7	50	40						
Pa.	877	1,095	1,305	29,470	27,251	-	0	1	4	3	6	7	27	181	300						
E.N. CENTRAL	616	4,233	4,785	99,951	116,956	-	1	5	29	28	-	32	150	660	865						
Ill.	21	1,196	1,494	26,802	34,281	N	0	0	N	N	-	3	25	66	103						
Ind.	189	563	807	14,780	15,008	N	0	0	N	N	-	3	11	73	149						
Mich.	-	940	1,210	20,325	26,693	-	0	3	16	18	-	7	13	118	157						
Ohio	406	1,031	1,180	26,595	27,988	-	0	2	13	10	-	12	95	243	242						
Wis.	-	467	608	11,449	12,986	-	0	0	-	-	-	8	73	160	214						
W.N. CENTRAL	103	928	1,825	19,513	41,462	-	2	8	67	81	3	16	92	343	666						
Iowa	5	213	387	5,818	5,807	N	0	0	N	N	-	5	18	133	204						
Kans.	-	205	277	128	5,485	N	0	0	N	N	-	0	11	4	-						
Minn.	-	323	408	7,269	8,698	-	1	7	60	69	-	0	17	-	149						
Mo.	-	0	683	-	14,936	-	0	2	6	10	2	5	60	104	103						
Nebr.	98	128	218	3,399	3,444	-	0	2	1	2	1	2	11	56	106						
N. Dak.	-	48	78	1,269	1,246	N	0	0	N	N	-	0	12	-	15						
S. Dak.	-	66	93	1,630	1,846	N	0	0	N	N	-	2	10	46	89						
S. ATLANTIC	3,406	5,453	7,543	148,242	153,160	-	0	1	2	4	10	20	55	521	626						
Del.	93	82	182	2,091	2,320	-	0	0	-	-	1	0	4	9	4						
D.C.	95	129	224	3,529	3,490	-	0	0	-	-	N	0	0	N	N						
Fla.	859	1,507	1,738	41,585	41,315	N	0	0	N	N	9	8	17	228	222						
