
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2012 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	228	256	426	6,374	6,154	2	3	19	88	105	33	54	350	1,659	758						
NEW ENGLAND	1	3	22	70	128	-	0	1	1	1	-	0	1	5	5						
Conn.	-	0	4	14	24	-	0	0	-	-	-	0	0	-	-						
Maine	1	0	8	3	18	-	0	0	-	-	-	0	1	2	-						
Mass.	-	3	20	51	77	-	0	0	-	-	-	0	1	-	3						
N.H.	-	0	1	1	1	-	0	1	-	1	-	0	0	-	1						
R.I.	-	0	2	-	5	-	0	0	-	-	-	0	1	3	1						
Vt.	-	0	1	1	3	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	39	43	89	1,302	377	-	0	2	16	2	1	2	11	36	64						
N.J.	-	18	48	589	75	-	0	1	-	1	-	0	8	-	55						
N.Y. (Upstate)	38	9	41	316	111	-	0	1	4	1	1	0	3	6	2						
N.Y. City	1	13	28	331	136	-	0	0	-	-	-	0	2	9	2						
Pa.	-	2	11	66	55	-	0	2	12	-	-	1	3	21	5						
E.N. CENTRAL	68	18	42	585	471	-	0	2	5	8	1	2	12	103	57						
Ill.	-	3	16	75	118	-	0	1	2	-	-	1	10	67	31						
Ind.	-	1	6	26	41	-	0	1	3	3	-	0	4	25	16						
Mich.	-	4	11	88	87	-	0	0	-	-	-	0	1	1	-						
Ohio	68	8	25	396	183	-	0	2	-	3	1	0	2	10	8						
Wis.	-	0	4	-	42	-	0	0	-	2	-	0	2	-	2						
W.N. CENTRAL	9	7	15	184	226	-	0	7	19	9	-	6	34	325	151						
Iowa	-	0	3	13	9	-	0	0	-	-	-	0	1	5	4						
Kans.	-	2	9	72	34	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	6	-	42	-	0	0	-	-	-	0	2	-	5						
Mo.	4	1	7	53	132	-	0	6	18	5	-	5	34	318	140						
Nebr.	5	0	7	43	5	-	0	1	-	4	-	0	1	2	2						
N. Dak.	-	0	2	2	-	-	0	1	1	-	-	0	0	-	-						
S. Dak.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	29	70	135	1,603	2,064	1	1	12	31	64	13	11	77	361	172						
Del.	-	0	2	4	1	-	0	0	-	-	-	0	2	15	13						
D.C.	-	0	6	14	12	-	0	0	-	1	-	0	1	1	-						
Fla.	21	46	66	1,087	1,473	1	0	1	2	2	2	0	4	17	3						
Ga.	-	13	24	247	309	-	1	9	20	48	-	0	0	-	-						
Md.	4	3	15	130	48	-	0	1	-	2	-	0	3	15	9						
N.C.	3	2	9	65	140	-	0	3	-	4	-	0	49	81	65						
S.C.	-	1	54	17	30	-	0	2	6	5	-	0	2	6	13						
Va.	1	1	7	38	47	-	0	1	3	2	11	5	29	226	67						
W. Va.	-	0	1	1	4	-	0	0	-	-	-	0	1	-	2						
E.S. CENTRAL	6	21	52	595	447	-	0	2	1	5	11	7	52	422	160						
Ala.	1	6	22	174	109	-	0	1	1	-	1	2	8	60	31						
Ky.	5	4	21	186	157	-	0	1	-	-	-	0	3	15	-						
Miss.	-	5	24	139	82	-	0	0	-	1	-	0	2	3	9						
Tenn.	-	4	11	96	99	-	0	2	-	4	10	5	47	344	120						
W.S. CENTRAL	50	59	189	1,324	1,518	-	0	6	3	3	7	12	292	367	116						
Ark.	-	2	7	33	52	-	0	3	2	2	7	9	63	285	101						
La.	-	7	22	95	247	-	0	0	-	-	-	0	2	3	2						
Okla.	22	6	55	269	45	-	0	5	1	1	-	0	260	49	5						
Tex.	28	41	122	927	1,174	-	0	1	-	-	-	1	13	30	8						
MOUNTAIN	7	10	41	236	402	-	0	3	7	13	-	1	6	34	30						
Ariz.	-	7	28	159	133	-	0	3	7	12	-	0	5	22	20						
Colo.	-	1	8	25	40	-	0	0	-	-	-	0	1	2	1						
Idaho	2	0	2	7	13	-	0	0	-	-	-	0	2	3	1						
Mont.	1	0	5	7	107	-	0	0	-	-	-	0	1	1	1						
Nev.	4	0	5	13	11	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	7	16	67	-	0	0	-	-	-	0	1	1	-						
Utah	-	0	3	9	30	-	0	0	-	1	-	0	1	3	3						
Wyo.	-	0	1	-	1	-	0	0	-	-	-	0	2	2	4						
PACIFIC	19	18	45	475	521	1	0	2	5	-	-	0	3	6	3						
Alaska	-	0	2	6	3	N	0	0	N	N	N	0	0	N	N						
Calif.	11	13	42	364	412	1	0	2	5	-	-	0	2	5	3						
Hawaii	1	0	3	11	33	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	6	39	27	-	0	0	-	-	-	0	1	1	-						
Wash.	7	1	10	55	46	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	3	3	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	3	-	7	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	3	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

