
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending July 28, 2012 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2012
Varicella (chickenpox) cummulative for 2011
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Neuroinvasive cummulative for 2011
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2012
West Nile virus disease † Non-neuroinvasive § cummulative for 2011

tab delimited data:
test
UNITED STATES	46	291	401	7,536	8,371	-	1	63	144	65	4	0	33	97	36						
NEW ENGLAND	3	27	49	827	788	-	0	3	-	-	-	0	1	-	-						
Conn.	-	6	12	160	156	-	0	2	-	-	-	0	1	-	-						
Maine	2	4	22	159	138	-	0	0	-	-	-	0	0	-	-						
Mass.	-	11	21	360	299	-	0	2	-	-	-	0	1	-	-						
N.H.	-	0	10	-	95	-	0	0	-	-	-	0	0	-	-						
R.I.	-	1	9	54	29	-	0	1	-	-	-	0	0	-	-						
Vt.	1	2	13	94	71	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	6	34	89	1,173	978	-	0	11	1	1	-	0	6	1	3						
N.J.	-	10	55	683	310	-	0	1	-	-	-	0	2	1	1						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	4	-	1						
N.Y. City	-	0	0	-	-	-	0	4	1	-	-	0	1	-	-						
Pa.	6	18	35	490	668	-	0	2	-	1	-	0	1	-	1						
E.N. CENTRAL	6	71	128	1,737	1,990	-	0	13	5	3	1	0	7	1	1						
Ill.	-	18	38	497	453	-	0	6	2	2	-	0	5	-	1						
Ind.	-	7	21	229	106	-	0	2	-	-	-	0	1	-	-						
Mich.	1	20	45	501	590	-	0	7	1	1	1	0	2	1	-						
Ohio	5	19	47	509	578	-	0	3	2	-	-	0	3	-	-						
Wis.	-	0	12	1	263	-	0	1	-	-	-	0	1	-	-						
