
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending August 25, 2012 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2012
Giardiasis cummulative for 2011
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2012
Gonorrhea cummulative for 2011
Haemophilus influenzae, invasive, All ages, all serotypes † current week
Haemophilus influenzae, invasive, All ages, all serotypes † previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes † previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes † cummulative for 2012
Haemophilus influenzae, invasive, All ages, all serotypes † cummulative for 2011

tab delimited data:
test
UNITED STATES	183	245	495	7,740	10,206	3,251	5,976	7,030	192,565	203,854	22	63	151	2,138	2,330						
NEW ENGLAND	13	24	66	760	953	110	112	238	3,610	3,376	-	4	15	140	157						
Conn.	-	4	10	137	149	32	44	161	1,320	1,424	-	1	5	40	41						
Maine	1	3	10	89	104	-	8	18	227	144	-	0	2	15	15						
Mass.	9	12	24	383	469	73	47	77	1,580	1,481	-	2	8	72	76						
N.H.	-	2	8	50	81	1	2	8	87	81	-	0	2	2	10						
R.I.	-	0	10	30	53	-	10	35	332	214	-	0	2	7	10						
Vt.	3	3	19	71	97	4	1	6	64	32	-	0	1	4	5						
MID. ATLANTIC	40	49	100	1,469	1,986	598	865	1,091	28,244	25,843	3	14	32	448	495						
N.J.	-	4	20	75	287	50	153	199	4,873	4,581	-	1	5	48	83						
N.Y. (Upstate)	18	17	48	484	573	185	130	440	4,672	3,616	1	3	19	118	128						
N.Y. City	13	16	24	530	634	106	269	351	8,538	9,037	1	4	9	118	117						
Pa.	9	12	30	380	492	257	298	398	10,161	8,609	1	5	16	164	167						
E.N. CENTRAL	27	40	82	1,202	1,665	367	1,023	1,292	32,029	37,538	2	11	26	320	411						
Ill.	-	7	14	193	260	9	290	416	8,169	10,934	-	3	7	79	124						
Ind.	-	5	13	116	213	49	130	181	4,349	4,374	-	2	6	63	75						
Mich.	7	10	22	283	318	173	245	375	6,953	8,241	1	1	4	47	46						
Ohio	19	12	30	378	507	88	301	367	9,640	10,864	1	4	7	110	104						
Wis.	1	8	24	232	367	48	88	117	2,918	3,125	-	1	5	21	62						
W.N. CENTRAL	20	22	59	628	1,137	30	174	395	5,298	10,315	1	5	9	162	142						
Iowa	6	5	14	164	173	11	36	87	1,212	1,276	-	0	1	-	-						
Kans.	-	2	6	66	95	7	44	76	1,436	1,363	-	0	3	21	16						
Minn.	-	0	23	-	432	-	47	62	1,400	1,408	-	1	5	57	42						
Mo.	5	6	13	193	217	-	0	204	-	4,930	-	1	6	55	51						
Nebr.	9	3	8	119	131	11	28	52	878	813	1	0	3	19	24						
N. Dak.	-	0	15	28	21	1	5	13	149	152	-	0	3	10	8						
S. Dak.	-	2	7	58	68	-	9	20	223	373	-	0	0	-	1						
S. ATLANTIC	35	44	102	1,296	1,646	1,071	1,446	1,960	46,305	49,806	10	14	39	521	533						
Del.	-	0	3	14	18	20	16	35	573	541	1	0	2	6	3						
D.C.	-	1	5	32	31	46	44	117	1,527	1,695	-	0	1	1	-						
Fla.	26	21	49	668	761	282	375	470	12,664	12,866	9	4	11	155	167						
Ga.	-	7	32	167	418	260	295	426	9,715	10,765	-	2	8	82	99						
Md.	2	5	14	146	158	92	95	190	3,177	4,071	-	1	6	64	63						
N.C.	N	0	0	N	N	262	293	548	8,910	10,522	-	1	9	69	56						
S.C.	3	2	8	78	72	-	153	391	4,829	5,138	-	1	5	49	56						
Va.	4	6	18	172	163	86	132	353	4,445	3,677	-	2	7	67	75						
W. Va.	-	0	17	19	25	23	13	23	465	531	-	0	14	28	14						
E.S. CENTRAL	-	3	7	85	118	462	546	816	18,649	17,427	1	4	12	130	154						
Ala.	-	3	7	85	118	-	179	249	5,495	5,764	-	1	4	33	42						
Ky.	N	0	0	N	N	215	79	182	2,878	2,817	-	1	3	26	32						
Miss.	N	0	0	N	N	149	113	323	4,423	3,966	1	0	3	14	12						
Tenn.	N	0	0	N	N	98	167	257	5,853	4,880	-	2	8	57	68						
W.S. CENTRAL	6	5	13	157	220	110	890	1,194	27,709	31,364	4	3	10	116	104						
Ark.	6	1	5	52	76	106	83	123	2,914	3,231	-	1	2	20	26						
La.	-	4	10	105	144	-	174	369	4,292	5,153	-	1	4	34	40						
Okla.	-	0	0	-	-	4	30	181	630	2,595	4	1	9	61	37						
Tex.	N	0	0	N	N	-	608	825	19,873	20,385	-	0	1	1	1						
MOUNTAIN	7	22	54	676	781	121	233	323	7,549	7,017	1	5	16	192	203						
Ariz.	1	2	7	71	87	69	107	155	3,602	2,718	-	1	6	69	73						
Colo.	-	9	23	242	249	-	40	78	1,218	1,500	-	1	5	34	44						
Idaho	3	3	10	84	100	-	2	15	76	88	1	0	2	13	14						
Mont.	1	1	4	38	50	-	2	4	55	48	-	0	2	5	2						
Nev.	2	1	5	58	50	45	41	64	1,283	1,344	-	0	2	15	13						
N. Mex.	-	1	6	49	64	6	34	73	1,074	1,126	-	1	4	32	29						
Utah	-	4	15	109	152	1	7	12	219	165	-	0	4	21	27						
Wyo.	-	1	2	25	29	-	1	4	22	28	-	0	1	3	1						
PACIFIC	35	46	185	1,467	1,700	382	687	802	23,172	21,168	-	3	8	109	131						
Alaska	1	2	7	53	56	6	13	27	419	678	-	0	3	11	19						
Calif.	22	29	56	962	1,120	305	586	696	19,607	17,322	-	1	5	34	33						
Hawaii	1	0	4	18	25	-	12	20	363	457	-	0	3	13	18						
Oreg.	4	7	15	222	269	17	28	63	919	884	-	1	6	51	54						
Wash.	7	7	146	212	230	54	54	70	1,864	1,827	-	0	1	-	7						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	7	-	69	-	0	0	-	-						
P.R.	-	0	3	2	62	2	6	15	203	220	-	0	0	-	-						
V.I.	-	0	0	-	-	-	2	10	56	87	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Data for H. influenzae (age <5 yrs serotype b, nonserotype b, and unknown serotype) are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


