
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 1, 2012 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	5	11	66	671	637	8	23	64	523	1,980	-	2	9	88	110						
NEW ENGLAND	-	0	2	18	3	-	5	19	204	359	-	0	1	1	1						
Conn.	-	0	0	-	-	-	2	9	62	124	-	0	0	-	-						
Maine	-	0	1	2	1	-	1	4	39	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	152	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	40	15	-	0	0	-	1						
R.I.	-	0	2	14	1	-	0	11	54	53	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	9	3	-	0	0	-	-						
MID. ATLANTIC	-	1	5	26	81	8	8	44	228	252	-	0	2	5	15						
N.J.	-	0	2	-	47	-	0	8	-	75	-	0	1	-	6						
N.Y. (Upstate)	-	0	4	18	30	8	6	41	211	144	-	0	2	5	4						
N.Y. City	-	0	3	8	4	-	0	4	17	28	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	1	-	5	-	0	1	-	5						
E.N. CENTRAL	-	0	4	22	35	-	1	22	9	598	-	1	6	51	48						
Ill.	-	0	4	19	20	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	6	44	17						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	2	5	5						
Ohio	-	0	1	3	6	-	0	1	1	6	-	0	1	1	1						
Wis.	-	0	1	-	5	-	0	21	1	581	-	0	2	-	25						
W.N. CENTRAL	2	2	32	242	154	-	1	13	25	707	-	0	4	14	23						
