
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending September 8, 2012 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	203	266	426	8,657	8,218	1	3	9	131	175	25	53	350	2,650	1,456						
NEW ENGLAND	-	3	13	104	193	-	0	1	1	2	-	0	2	13	7						
Conn.	-	1	4	22	34	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	6	19	-	0	0	-	-	-	0	1	3	-						
Mass.	-	2	7	68	128	-	0	0	-	-	-	0	2	6	4						
N.H.	-	0	1	5	3	-	0	0	-	2	-	0	1	1	1						
R.I.	-	0	2	1	6	-	0	0	-	-	-	0	1	3	2						
Vt.	-	0	1	2	3	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	13	45	89	1,643	585	-	0	2	17	4	-	2	8	45	109						
N.J.	-	20	47	748	141	-	0	0	-	2	-	0	7	-	86						
N.Y. (Upstate)	13	10	41	424	175	-	0	1	4	2	-	0	3	10	4						
N.Y. City	-	13	28	383	188	-	0	0	-	-	-	0	2	11	6						
Pa.	-	2	8	88	81	-	0	2	13	-	-	0	4	24	13						
E.N. CENTRAL	53	19	57	943	654	-	0	2	13	8	-	2	13	136	86						
Ill.	-	3	16	112	187	-	0	1	2	-	-	1	10	83	43						
Ind.	-	1	12	60	56	-	0	2	11	3	-	0	4	37	23						
Mich.	1	4	14	130	122	-	0	0	-	-	-	0	1	2	2						
Ohio	52	10	46	641	231	-	0	0	-	3	-	0	2	14	12						
Wis.	-	0	4	-	58	-	0	0	-	2	-	0	1	-	6						
