
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 15, 2012 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	14	11	66	725	669	23	23	64	564	2,048	1	2	10	97	117						
NEW ENGLAND	1	0	2	20	3	3	5	19	208	365	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	9	62	126	-	0	0	-	-						
Maine	1	0	2	4	1	2	1	4	41	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	155	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	41	16	-	0	0	-	1						
R.I.	-	0	2	14	1	1	0	11	55	53	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	9	3	-	0	0	-	-						
MID. ATLANTIC	-	1	5	34	87	15	8	44	259	279	-	0	2	5	17						
N.J.	-	0	2	-	49	-	0	8	-	79	-	0	1	-	6						
N.Y. (Upstate)	-	0	4	18	34	15	5	41	231	166	-	0	2	5	6						
N.Y. City	-	0	3	16	4	-	0	4	28	29	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	1	-	5	-	0	1	-	5						
E.N. CENTRAL	-	0	4	23	38	-	0	13	9	614	1	1	6	60	48						
Ill.	-	0	4	20	22	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	6	53	17						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	6	-	0	1	1	1						
Wis.	-	0	1	-	6	-	0	13	1	597	-	0	2	-	25						
W.N. CENTRAL	-	2	32	242	160	-	1	12	25	722	-	0	4	14	23						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	3	24	14	-	0	1	4	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	12	-	688	-	0	1	-	9						
Mo.	-	2	32	218	137	-	0	4	19	25	-	0	4	13	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	12	4	29	238	221	5	1	7	41	46	-	0	2	6	9						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	16	13	1	0	1	3	7	-	0	0	-	-						
Ga.	-	0	3	9	21	-	0	1	2	10	-	0	0	-	3						
Md.	-	0	3	25	29	-	0	2	3	5	-	0	0	-	-						
N.C.	11	0	19	70	55	4	0	6	19	16	-	0	1	-	-						
S.C.	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
Va.	1	1	16	102	86	-	0	3	13	7	-	0	2	6	5						
W. Va.	-	0	1	-	1	-	0	0	-	-	-	0	1	-	1						
E.S. CENTRAL	1	1	9	79	67	-	0	2	15	14	-	0	2	8	11						
Ala.	-	0	1	8	4	-	0	1	6	4	-	0	1	4	-						
Ky.	-	0	4	21	12	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	0	-	3	-	0	0	-	1	-	0	1	1	-						
Tenn.	1	0	6	50	48	-	0	1	9	9	-	0	2	3	11						
W.S. CENTRAL	-	1	52	89	93	-	0	11	7	3	-	0	1	1	1						
Ark.	-	1	11	70	44	-	0	3	4	2	-	0	0	-	-						
La.	-	0	1	1	-	-	0	0	-	1	-	0	1	1	1						
Okla.	-	0	51	15	46	-	0	7	2	-	-	0	0	-	-						
Tex.	-	0	1	3	3	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	5						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	4						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	4	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	4	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


