
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending September 22, 2012 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	208	269	426	9,367	8,816	5	4	9	135	183	39	58	350	2,886	1,607						
NEW ENGLAND	-	3	13	109	198	-	0	1	1	2	1	0	2	15	7						
Conn.	-	0	2	22	34	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	6	19	-	0	0	-	-	-	0	1	3	-						
Mass.	-	2	7	68	132	-	0	0	-	-	-	0	2	6	4						
N.H.	-	0	1	5	3	-	0	0	-	2	-	0	1	1	1						
R.I.	-	0	5	6	6	-	0	0	-	-	1	0	1	5	2						
Vt.	-	0	1	2	4	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	20	45	89	1,749	667	-	0	2	17	4	2	2	8	54	114						
N.J.	-	20	47	762	168	-	0	0	-	2	-	0	7	1	90						
N.Y. (Upstate)	17	11	41	467	193	-	0	1	4	2	-	0	3	10	5						
N.Y. City	2	13	28	429	215	-	0	0	-	-	-	0	2	15	6						
Pa.	1	2	8	91	91	-	0	2	13	-	2	0	4	28	13						
E.N. CENTRAL	64	20	86	1,190	692	-	0	3	18	8	2	2	13	165	89						
Ill.	-	4	9	140	204	-	0	1	4	-	-	1	10	102	45						
Ind.	-	1	14	91	61	-	0	3	13	3	1	0	5	45	23						
Mich.	-	3	14	131	128	-	0	0	-	-	-	0	1	2	2						
Ohio	64	11	79	784	240	-	0	1	1	3	1	0	2	16	13						
Wis.	-	1	4	44	59	-	0	0	-	2	-	0	1	-	6						
W.N. CENTRAL	17	8	29	364	287	3	0	6	23	19	5	5	34	439	244						
Iowa	-	0	5	35	11	-	0	0	-	-	-	0	1	6	6						
Kans.	-	2	9	92	43	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	64	-	0	0	-	-	-	0	1	-	9						
Mo.	1	2	7	74	154	3	0	5	21	11	5	5	34	427	225						
Nebr.	16	0	20	152	11	-	0	1	1	5	-	0	1	5	4						
N. Dak.	-	0	2	4	-	-	0	1	1	2	-	0	0	-	-						
S. Dak.	-	0	2	7	4	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	46	66	135	2,247	2,767	2	1	4	48	110	18	12	80	752	390						
Del.	-	0	2	9	3	-	0	0	-	-	-	0	2	20	19						
D.C.	-	0	6	17	20	-	0	0	-	1	-	0	1	1	1						
Fla.	22	40	66	1,416	1,924	-	0	1	2	2	1	0	4	28	5						
Ga.	4	14	24	445	449	-	1	3	29	80	-	0	0	-	-						
Md.	5	3	15	171	73	-	0	1	-	3	-	0	3	21	19						
N.C.	10	2	9	103	176	2	0	3	7	11	11	0	52	273	189						
S.C.	-	1	54	18	38	-	0	1	7	10	-	0	5	35	18						
Va.	5	1	7	67	79	-	0	1	3	3	6	6	34	374	136						
W. Va.	-	0	1	1	5	-	0	0	-	-	-	0	1	-	3						
E.S. CENTRAL	17	21	52	817	619	-	0	2	8	10	6	9	56	746	302						
Ala.	-	6	22	206	154	-	0	1	3	4	1	2	11	107	57						
Ky.	13	5	21	284	187	-	0	1	3	1	-	0	7	51	-						
Miss.	1	5	24	193	127	-	0	0	-	1	-	0	2	4	19						
Tenn.	3	3	10	134	151	-	0	2	2	4	5	6	50	584	226						
W.S. CENTRAL	33	57	189	1,704	2,131	-	0	6	3	12	4	12	292	665	417						
Ark.	2	1	7	53	70	-	0	2	2	8	4	10	65	577	357						
La.	-	4	18	126	346	-	0	0	-	-	-	0	1	4	8						
Okla.	11	7	55	342	85	-	0	5	1	3	-	0	260	49	38						
Tex.	20	38	122	1,183	1,630	-	0	1	-	1	-	1	13	35	14						
MOUNTAIN	10	11	30	419	648	-	0	3	10	16	1	1	5	43	39						
Ariz.	9	7	20	244	281	-	0	3	10	15	1	1	4	27	23						
Colo.	-	1	19	53	68	-	0	0	-	-	-	0	1	2	2						
Idaho	-	0	2	7	15	-	0	0	-	-	-	0	2	4	1						
Mont.	-	0	3	11	116	-	0	0	-	-	-	0	1	1	1						
Nev.	1	0	8	34	23	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	6	48	97	-	0	0	-	-	-	0	1	4	-						
Utah	-	0	3	18	46	-	0	0	-	1	-	0	1	3	4						
Wyo.	-	0	3	4	2	-	0	0	-	-	-	0	2	2	8						
PACIFIC	1	19	46	768	807	-	0	2	7	2	-	0	3	7	5						
Alaska	-	0	2	8	5	N	0	0	N	N	N	0	0	N	N						
Calif.	-	14	46	590	654	-	0	2	7	2	-	0	1	6	4						
Hawaii	-	0	2	17	42	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	10	70	40	-	0	0	-	-	-	0	1	1	1						
Wash.	1	2	10	83	66	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	3	5	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	14	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	6	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


