
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending October 6, 2012 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	254	273	426	10,152	9,454	-	3	10	152	191	16	55	350	3,168	1,750						
NEW ENGLAND	1	3	13	129	210	-	0	1	1	2	-	0	2	17	7						
Conn.	-	1	2	27	36	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	6	20	-	0	0	-	-	-	0	1	3	-						
Mass.	-	2	7	82	140	-	0	0	-	-	-	0	2	7	4						
N.H.	-	0	1	5	4	-	0	0	-	2	-	0	1	1	1						
R.I.	1	0	5	7	6	-	0	0	-	-	-	0	1	6	2						
Vt.	-	0	1	2	4	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	21	45	89	1,816	758	-	0	2	18	4	-	2	8	54	122						
N.J.	-	20	47	767	196	-	0	0	-	2	-	0	7	1	97						
N.Y. (Upstate)	21	11	41	507	219	-	0	1	4	2	-	0	3	10	5						
N.Y. City	-	13	28	446	246	-	0	0	-	-	-	0	2	15	7						
Pa.	-	2	7	96	97	-	0	2	14	-	-	0	4	28	13						
E.N. CENTRAL	96	21	93	1,435	733	-	0	3	18	8	-	2	13	176	92						
Ill.	-	4	9	163	216	-	0	1	4	-	-	1	10	108	45						
Ind.	-	1	16	115	67	-	0	3	13	3	-	0	6	49	24						
Mich.	-	3	14	139	137	-	0	0	-	-	-	0	1	2	2						
Ohio	95	12	88	965	250	-	0	1	1	3	-	0	2	17	15						
Wis.	1	1	4	53	63	-	0	0	-	2	-	0	1	-	6						
W.N. CENTRAL	2	8	31	400	311	-	0	6	24	19	-	4	34	449	255						
Iowa	-	0	5	43	16	-	0	0	-	-	-	0	1	7	6						
Kans.	-	2	9	95	49	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	72	-	0	0	-	-	-	0	1	-	9						
Mo.	-	1	7	74	157	-	0	5	22	11	-	4	34	436	235						
Nebr.	2	1	22	171	13	-	0	1	1	5	-	0	1	5	5						
N. Dak.	-	0	2	6	-	-	0	1	1	2	-	0	0	-	-						
S. Dak.	-	0	3	11	4	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	45	63	135	2,362	2,904	-	1	5	56	113	10	13	143	921	412						
Del.	-	0	2	12	3	-	0	0	-	-	-	0	2	22	19						
D.C.	-	0	6	17	20	-	0	0	-	1	-	0	1	1	2						
Fla.	34	40	66	1,477	2,000	-	0	1	2	2	1	0	3	28	6						
Ga.	4	13	21	481	488	-	1	3	34	83	-	0	0	-	-						
Md.	5	4	15	182	78	-	0	1	1	3	1	0	3	23	22						
N.C.	1	2	10	105	183	-	0	4	9	11	4	0	133	421	189						
S.C.	-	1	54	18	45	-	0	1	7	10	-	0	5	35	19						
Va.	1	1	7	69	82	-	0	1	3	3	4	6	34	391	152						
W. Va.	-	0	1	1	5	-	0	0	-	-	-	0	1	-	3						
E.S. CENTRAL	27	21	52	889	674	-	0	2	11	12	6	11	56	799	319						
Ala.	19	6	22	237	175	-	0	1	3	4	2	2	11	120	62						
Ky.	4	6	21	296	192	-	0	1	3	1	-	0	7	54	-						
Miss.	1	5	24	214	142	-	0	1	1	1	-	0	2	4	20						
Tenn.	3	3	10	142	165	-	0	1	4	6	4	7	50	621	237						
W.S. CENTRAL	50	52	189	1,811	2,315	-	0	6	3	12	-	12	292	700	494						
Ark.	2	1	7	60	77	-	0	1	2	8	-	9	65	611	426						
La.	-	4	17	134	377	-	0	0	-	-	-	0	1	5	9						
Okla.	18	7	55	376	111	-	0	5	1	3	-	0	260	49	41						
Tex.	30	36	122	1,241	1,750	-	0	1	-	1	-	1	13	35	18						
MOUNTAIN	2	12	31	461	692	-	0	3	10	19	-	1	5	44	44						
Ariz.	-	7	19	254	317	-	0	3	10	18	-	1	4	29	26						
Colo.	-	1	19	53	71	-	0	0	-	-	-	0	1	2	2						
Idaho	-	0	2	7	15	-	0	0	-	-	-	0	2	3	1						
Mont.	-	0	3	11	116	-	0	0	-	-	-	0	1	1	1						
Nev.	1	0	8	43	25	-	0	0	-	-	-	0	1	-	1						
N. Mex.	1	2	7	68	98	-	0	0	-	-	-	0	1	4	-						
Utah	-	0	3	21	48	-	0	0	-	1	-	0	1	3	5						
Wyo.	-	0	3	4	2	-	0	0	-	-	-	0	2	2	8						
PACIFIC	10	20	51	849	857	-	0	3	11	2	-	0	3	8	5						
Alaska	-	0	2	8	5	N	0	0	N	N	N	0	0	N	N						
Calif.	7	14	51	662	693	-	0	3	11	2	-	0	1	7	4						
Hawaii	-	0	2	18	43	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	10	71	48	-	0	0	-	-	-	0	1	1	1						
Wash.	3	2	10	90	68	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	3	5	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	14	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	6	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


