
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 27, 2012 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	4	12	66	809	736	6	18	64	637	2,253	1	2	13	118	133						
NEW ENGLAND	-	0	2	20	3	-	5	19	237	395	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	10	73	138	-	0	0	-	-						
Maine	-	0	2	4	1	-	1	4	42	15	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	161	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	46	18	-	0	0	-	1						
R.I.	-	0	2	14	1	-	1	11	66	59	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	10	4	-	0	0	-	-						
MID. ATLANTIC	1	0	6	32	96	6	7	44	282	336	-	0	2	10	20						
N.J.	-	0	2	-	53	-	0	8	-	89	-	0	0	-	7						
N.Y. (Upstate)	1	0	3	15	38	6	4	41	253	211	-	0	2	10	7						
N.Y. City	-	0	3	17	4	-	0	4	29	30	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	30	41	-	0	11	9	663	1	1	8	74	54						
Ill.	-	0	4	27	25	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	7	66	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	1	-	6	-	0	11	1	645	-	0	2	1	30						
W.N. CENTRAL	-	2	33	263	171	-	0	9	34	770	-	0	4	13	24						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	32	17	-	0	2	8	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	9	-	736	-	0	0	-	10						
Mo.	-	2	32	231	145	-	0	4	24	25	-	0	4	12	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	3	5	30	284	241	-	1	8	45	59	-	0	2	7	12						
