
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 3, 2012 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	12,436	26,768	30,645	1130506	1194997	236	382	585	14,901	18,999	62	127	279	6,130	8,274						
NEW ENGLAND	499	977	1,807	41,078	38,906	-	0	1	2	2	1	7	19	335	375						
Conn.	53	258	1,268	11,002	9,756	N	0	0	N	N	-	1	3	31	66						
Maine	-	61	101	2,602	2,656	N	0	0	N	N	-	1	4	61	42						
Mass.	382	459	706	19,813	19,266	-	0	0	-	-	-	2	8	127	152						
N.H.	36	61	85	2,594	2,549	-	0	1	1	1	-	1	4	39	61						
R.I.	28	85	186	3,703	3,414	-	0	1	1	1	-	0	3	12	11						
Vt.	-	28	87	1,364	1,265	N	0	0	N	N	1	1	6	65	43						
MID. ATLANTIC	1,743	3,512	4,469	149,429	152,760	-	0	1	4	4	7	14	40	664	805						
N.J.	26	544	640	22,694	22,610	N	0	0	N	N	-	0	4	23	50						
N.Y. (Upstate)	697	725	2,215	31,399	30,251	N	0	0	N	N	5	4	19	207	198						
N.Y. City	89	1,160	1,427	48,550	55,611	N	0	0	N	N	-	2	8	89	77						
Pa.	931	1,092	1,343	46,786	44,288	-	0	1	4	4	2	7	20	345	480						
E.N. CENTRAL	1,173	4,103	4,785	169,231	187,550	-	1	4	44	43	8	32	106	1,514	2,451						
Ill.	31	1,114	1,500	45,835	55,333	N	0	0	N	N	-	3	8	134	196						
Ind.	225	554	838	24,227	24,254	N	0	0	N	N	-	2	7	112	249						
Mich.	454	936	1,210	36,208	42,330	-	1	3	26	26	1	6	40	291	307						
Ohio	212	1,026	1,180	43,225	44,734	-	0	2	18	17	7	11	28	501	1,019						
Wis.	251	468	559	19,736	20,899	-	0	0	-	-	-	8	40	476	680						
W.N. CENTRAL	224	1,547	1,808	65,181	66,909	-	2	8	113	114	10	17	41	798	1,454						
Iowa	8	216	387	9,444	9,281	N	0	0	N	N	-	5	21	284	342						
Kans.	7	211	308	9,193	8,910	N	0	0	N	N	-	1	4	46	41						
Minn.	3	315	388	12,723	14,337	-	2	7	99	91	-	0	10	-	275						
Mo.	203	549	683	23,955	23,790	-	0	2	13	16	10	4	12	212	466						
Nebr.	-	132	203	4,437	5,603	-	0	1	1	7	-	2	10	127	164						
N. Dak.	3	52	72	2,246	2,069	N	0	0	N	N	-	0	5	33	27						
S. Dak.	-	72	107	3,183	2,919	N	0	0	N	N	-	2	6	96	139						
S. ATLANTIC	3,129	5,493	7,543	234,048	244,270	-	0	1	4	5	15	19	57	951	1,026						
