
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending November 17, 2012 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	185	274	426	12,097	11,387	-	3	10	165	215	11	52	350	3,596	2,043						
NEW ENGLAND	-	3	9	148	247	-	0	1	1	2	-	0	3	18	7						
Conn.	-	1	3	35	37	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	2	6	31	-	0	0	-	-	-	0	1	3	-						
Mass.	-	2	6	91	161	-	0	0	-	-	-	0	3	8	4						
N.H.	-	0	1	6	4	-	0	0	-	2	-	0	1	1	1						
R.I.	-	0	5	7	8	-	0	0	-	-	-	0	1	6	2						
Vt.	-	0	1	3	6	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	23	44	89	2,040	1,010	-	0	2	18	4	4	1	8	66	147						
N.J.	-	20	47	767	294	-	0	0	-	2	-	0	7	1	113						
N.Y. (Upstate)	19	13	41	645	263	-	0	1	3	2	3	0	3	14	6						
N.Y. City	2	12	24	518	345	-	0	0	-	-	-	0	2	17	11						
Pa.	2	2	7	110	108	-	0	2	15	-	1	1	4	34	17						
E.N. CENTRAL	57	26	113	2,006	835	-	0	3	23	8	-	3	14	215	104						
Ill.	-	5	13	213	240	-	0	1	7	-	-	2	11	140	50						
Ind.	-	1	17	148	79	-	0	3	15	3	-	1	6	53	24						
Mich.	1	4	14	174	168	-	0	0	-	-	-	0	1	2	3						
Ohio	56	14	94	1,393	282	-	0	1	1	3	-	0	2	20	18						
Wis.	-	1	11	78	66	-	0	0	-	2	-	0	0	-	9						
W.N. CENTRAL	1	9	32	458	342	-	0	6	17	20	-	6	33	474	268						
Iowa	1	1	13	77	18	-	0	0	-	-	-	0	1	7	7						
Kans.	-	2	9	116	58	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	76	-	0	0	-	-	-	0	1	-	10						
Mo.	-	1	7	77	170	-	0	5	15	12	-	6	33	461	246						
Nebr.	-	1	22	171	14	-	0	1	1	5	-	0	1	5	5						
N. Dak.	-	0	2	6	-	-	0	1	1	2	-	0	0	-	-						
S. Dak.	-	0	3	11	6	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	38	58	102	2,679	3,486	-	1	8	63	121	5	14	144	1,015	512						
Del.	1	0	4	19	6	-	0	0	-	-	-	0	2	24	20						
D.C.	-	0	6	17	22	-	0	0	-	1	-	0	1	1	3						
Fla.	21	35	66	1,626	2,348	-	0	1	3	2	1	0	3	29	6						
Ga.	11	13	21	583	588	-	1	4	39	87	-	0	0	-	-						
