
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 28, 2012 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	116	245	348	561	636	-	3	15	4	7	-	30	140	17	18						
NEW ENGLAND	-	4	21	2	13	-	0	1	-	-	-	0	1	-	-						
Conn.	-	1	4	2	2	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	-	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	20	-	9	-	0	0	-	-	-	0	1	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	1	16	54	83	37	-	0	2	1	-	-	1	6	1	2						
N.J.	-	0	23	43	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	5	34	6	10	-	0	1	-	-	-	0	2	-	-						
N.Y. City	1	7	28	29	18	-	0	0	-	-	-	0	3	-	2						
Pa.	-	2	13	5	9	-	0	2	1	-	-	0	3	1	-						
E.N. CENTRAL	19	14	40	100	62	-	0	2	1	-	-	2	10	-	2						
Ill.	-	4	16	-	24	-	0	1	-	-	-	1	4	-	1						
Ind.	-	0	4	-	6	-	0	1	1	-	-	0	4	-	-						
Mich.	1	3	11	15	11	-	0	1	-	-	-	0	1	-	-						
Ohio	18	5	27	85	21	-	0	2	-	-	-	0	2	-	1						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	4	5	18	24	49	-	0	4	-	-	-	4	29	2	2						
Iowa	-	0	3	-	2	-	0	0	-	-	-	0	2	-	-						
Kans.	1	1	5	12	12	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	3	3	14	11	33	-	0	3	-	-	-	4	29	2	2						
Nebr.	-	0	2	1	1	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	28	74	134	120	206	-	1	8	-	3	-	6	57	10	6						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	4	1	-						
D.C.	-	0	5	-	3	-	0	1	-	-	-	0	1	-	-						
Fla.	24	50	98	90	135	-	0	1	-	1	-	0	2	3	-						
Ga.	1	12	24	16	33	-	1	7	-	-	-	0	0	-	-						
Md.	2	2	7	6	5	-	0	1	-	1	-	0	2	-	-						
N.C.	-	3	19	4	18	-	0	4	-	1	-	0	49	3	4						
S.C.	-	1	54	2	6	-	0	2	-	-	-	0	2	-	1						
Va.	1	2	7	2	6	-	0	1	-	-	-	3	14	3	1						
W. Va.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	30	18	51	88	41	-	0	2	-	-	-	4	25	2	2						
Ala.	9	5	21	28	19	-	0	1	-	-	-	1	8	1	1						
Ky.	18	4	22	48	2	-	0	1	-	-	-	0	2	-	-						
Miss.	-	4	24	6	6	-	0	0	-	-	-	0	2	-	-						
Tenn.	3	4	11	6	14	-	0	2	-	-	-	4	20	1	1						
W.S. CENTRAL	23	54	119	80	83	-	0	3	-	-	-	2	51	1	-						
Ark.	2	2	7	3	3	-	0	3	-	-	-	1	51	-	-						
La.	-	4	21	9	14	-	0	0	-	-	-	0	2	1	-						
Okla.	6	3	28	20	5	-	0	1	-	-	-	0	25	-	-						
Tex.	15	43	98	48	61	-	0	1	-	-	-	0	4	-	-						
MOUNTAIN	5	14	41	23	65	-	0	3	1	4	-	1	7	-	4						
Ariz.	2	5	27	15	29	-	0	3	-	4	-	0	6	-	4						
