
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 28, 2012 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	161	251	464	997	1,494	11	20	41	64	85	76	263	316	441	913						
NEW ENGLAND	1	14	31	36	88	-	1	4	-	2	-	7	22	7	29						
Conn.	-	6	20	18	44	-	0	3	-	-	-	0	12	-	1						
Maine	1	2	8	12	12	-	0	1	-	-	-	0	2	-	2						
Mass.	-	0	3	-	4	-	0	2	-	2	-	5	10	6	19						
N.H.	-	1	8	1	10	-	0	1	-	-	-	0	3	-	2						
R.I.	-	1	6	-	14	-	0	1	-	-	-	0	7	1	5						
Vt.	-	1	6	5	4	-	0	2	-	-	-	0	2	-	-						
MID. ATLANTIC	4	15	52	120	98	-	1	10	3	3	8	30	53	49	128						
N.J.	-	0	13	32	-	-	0	2	2	-	-	4	13	-	12						
N.Y. (Upstate)	-	2	30	49	8	-	1	10	1	3	3	4	9	10	11						
N.Y. City	4	12	24	39	90	-	0	9	-	-	-	14	24	17	77						
Pa.	N	0	0	N	N	N	0	0	N	N	5	7	17	22	28						
E.N. CENTRAL	43	63	122	228	299	1	3	10	13	18	4	30	47	27	120						
Ill.	N	0	0	N	N	-	0	0	-	-	3	11	24	16	51						
Ind.	1	15	36	11	61	-	1	4	1	2	1	3	8	6	17						
Mich.	4	13	26	47	64	-	0	2	2	6	-	4	12	1	19						
Ohio	33	28	43	136	131	1	2	7	7	7	-	8	17	4	30						
Wis.	5	8	23	34	43	-	0	2	3	3	-	1	5	-	3						
W.N. CENTRAL	4	2	28	17	15	1	0	2	1	1	-	6	13	1	31						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	1	-						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	8	-	14						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	8	-	15						
Nebr.	4	2	9	17	15	1	0	2	1	1	-	0	2	-	1						
N. Dak.	-	0	25	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	53	65	143	297	500	5	5	15	19	31	24	69	100	141	192						
Del.	-	1	5	5	10	-	0	0	-	-	2	0	4	4	2						
D.C.	-	1	5	1	5	-	0	1	1	1	7	3	8	19	10						
Fla.	23	21	55	115	214	3	2	8	8	13	7	23	36	55	94						
Ga.	9	19	38	82	132	-	2	5	6	10	5	15	43	23	21						
Md.	6	9	29	27	72	1	1	3	1	5	1	8	20	10	19						
N.C.	N	0	0	N	N	N	0	0	N	N	-	8	21	19	18						
S.C.	6	8	22	44	67	-	0	3	-	2	-	4	11	-	13						
Va.	N	0	0	N	N	-	0	0	-	-	2	4	12	11	15						
W. Va.	9	1	48	23	-	1	0	4	3	-	-	0	2	-	-						
E.S. CENTRAL	15	23	45	97	131	-	2	4	7	13	3	15	30	17	39						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	5	15						
Ky.	1	4	12	19	27	-	0	3	-	4	2	2	8	4	6						
Miss.	N	0	0	N	N	-	0	0	-	-	-	3	19	-	2						
Tenn.	14	19	39	78	104	-	2	3	7	9	1	5	11	8	16						
W.S. CENTRAL	32	31	118	101	145	3	3	10	11	6	18	36	50	91	119						
Ark.	4	4	14	17	26	-	0	4	2	2	-	3	10	-	11						
La.	1	2	11	15	27	-	0	2	2	1	1	7	25	13	8						
Okla.	N	0	0	N	N	-	0	0	-	-	1	1	6	2	3						
Tex.	27	24	104	69	92	3	3	9	7	3	16	23	38	76	97						
MOUNTAIN	8	26	72	94	206	-	3	8	6	11	1	12	20	6	39						
Ariz.	8	12	45	70	113	-	1	5	5	5	-	4	10	4	14						
Colo.	-	9	23	10	45	-	0	4	-	1	-	2	6	1	8						
Idaho	N	0	0	N	N	-	0	0	-	-	1	0	4	1	3						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	3						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	-	8						
N. Mex.	-	4	12	14	27	-	0	2	1	1	-	1	4	-	2						
Utah	-	1	8	-	18	-	0	3	-	4	-	0	2	-	1						
Wyo.	-	0	3	-	3	-	0	0	-	-	-	0	0	-	-						
PACIFIC	1	3	11	7	12	1	0	2	4	-	18	56	74	102	216						
Alaska	1	2	11	7	12	1	0	2	4	-	-	0	2	1	-						
Calif.	N	0	0	N	N	N	0	0	N	N	12	44	62	84	187						
Hawaii	-	0	1	-	-	-	0	1	-	-	-	0	3	-	-						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	4	14	4	5						
Wash.	N	0	0	N	N	N	0	0	N	N	6	5	11	13	24						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	6	4	15	12	11						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


