
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 15, 2012 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	1	11	66	873	776	-	14	64	751	2,485	-	2	14	135	144						
NEW ENGLAND	-	0	2	24	3	-	4	19	276	451	-	0	1	1	2						
Conn.	-	0	0	-	-	-	1	10	97	150	-	0	0	-	-						
Maine	-	0	2	5	1	-	1	4	48	24	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	172	-	0	0	-	-						
N.H.	-	0	1	4	1	-	1	5	53	27	-	0	0	-	1						
R.I.	-	0	2	15	1	-	1	11	66	70	-	0	1	1	1						
Vt.	-	0	0	-	-	-	0	2	12	8	-	0	0	-	-						
MID. ATLANTIC	-	0	6	41	107	-	5	44	306	423	-	0	2	12	22						
N.J.	-	0	1	-	59	-	0	6	1	117	-	0	0	-	7						
N.Y. (Upstate)	-	0	3	22	41	-	5	41	271	264	-	0	2	12	9						
N.Y. City	-	0	3	19	4	-	0	4	34	36	-	0	0	-	-						
Pa.	-	0	0	-	3	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	41	42	-	1	4	44	708	-	1	9	85	58						
Ill.	-	0	4	36	25	-	0	1	11	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	68	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	9	-	0	1	1	1						
Wis.	-	0	1	2	7	-	0	3	32	688	-	0	2	10	34						
W.N. CENTRAL	-	2	33	271	177	-	0	4	39	805	-	0	4	16	25						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	33	18	-	0	2	8	6	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	1	2	770	-	0	1	1	10						
Mo.	-	2	32	238	150	-	0	4	27	25	-	0	4	14	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	0	-	1						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	1	5	30	302	256	-	1	8	52	68	-	0	2	7	15						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	1	0	3	21	15	-	0	2	5	10	-	0	0	-	-						
Ga.	-	0	4	14	23	-	0	1	2	11	-	0	0	-	3						
Md.	-	0	4	33	33	-	0	2	7	7	-	0	0	-	-						
N.C.	-	0	19	99	70	-	0	6	20	19	-	0	0	-	1						
S.C.	-	0	1	1	2	-	0	0	-	-	-	0	0	-	1						
Va.	-	1	16	119	97	-	0	2	16	20	-	0	2	6	9						
W. Va.	-	0	0	-	1	-	0	1	1	-	-	0	1	1	1						
E.S. CENTRAL	-	1	9	96	77	-	0	3	24	15	-	0	2	10	14						
Ala.	-	0	2	11	5	-	0	3	10	4	-	0	1	5	-						
Ky.	-	0	4	25	15	-	0	1	1	-	-	0	0	-	-						
Miss.	-	0	1	1	3	-	0	1	1	1	-	0	1	1	-						
Tenn.	-	1	6	59	54	-	0	2	12	10	-	0	1	4	14						
W.S. CENTRAL	-	1	52	98	114	-	0	11	10	9	-	0	1	1	1						
Ark.	-	1	11	79	52	-	0	2	7	6	-	0	0	-	-						
La.	-	0	1	1	-	-	0	0	-	1	-	0	1	1	1						
Okla.	-	0	51	15	59	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	3	3	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	5						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	4						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	5	-	0	1	2	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	5	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


