
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 22, 2012 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	177	267	426	13,544	12,926	-	3	11	178	225	8	55	350	3,764	2,212						
NEW ENGLAND	-	3	12	194	266	-	0	1	1	2	-	0	3	22	8						
Conn.	-	1	3	41	40	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	12	32	-	0	0	-	-	-	0	1	3	1						
Mass.	-	2	8	124	175	-	0	0	-	-	-	0	3	9	4						
N.H.	-	0	1	6	4	-	0	0	-	2	-	0	1	1	1						
R.I.	-	0	5	7	9	-	0	0	-	-	-	0	1	9	2						
Vt.	-	0	1	4	6	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	16	44	89	2,208	1,341	-	0	2	18	4	-	1	5	75	171						
N.J.	-	15	47	816	449	-	0	0	-	2	-	0	4	4	130						
N.Y. (Upstate)	13	15	41	720	337	-	0	1	3	2	-	0	3	15	10						
N.Y. City	2	11	21	548	435	-	0	0	-	-	-	0	3	20	12						
Pa.	1	3	6	124	120	-	0	2	15	-	-	1	4	36	19						
E.N. CENTRAL	107	33	116	2,418	909	-	0	2	13	8	-	4	15	238	106						
Ill.	-	5	13	221	260	-	0	1	7	-	-	2	12	145	51						
Ind.	-	1	17	150	87	-	0	1	5	3	-	1	6	63	24						
Mich.	2	4	14	205	186	-	0	0	-	-	-	0	1	2	4						
Ohio	105	20	92	1,735	305	-	0	1	1	3	-	0	2	21	18						
Wis.	-	1	16	107	71	-	0	0	-	2	-	0	1	7	9						
W.N. CENTRAL	-	8	32	476	375	-	0	6	18	21	-	5	33	474	280						
Iowa	-	1	13	89	18	-	0	0	-	-	-	0	1	8	7						
Kans.	-	2	9	121	72	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	3	-	84	-	0	0	-	-	-	0	0	-	11						
Mo.	-	1	7	77	181	-	0	5	16	13	-	5	33	460	257						
Nebr.	-	1	22	171	14	-	0	1	1	5	-	0	1	5	5						
N. Dak.	-	0	2	7	-	-	0	1	1	2	-	0	0	-	-						
S. Dak.	-	0	3	11	6	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	18	55	102	2,866	3,862	-	1	9	85	126	7	14	146	1,102	580						
Del.	-	0	4	20	6	-	0	0	-	-	-	0	2	25	20						
D.C.	-	0	3	17	35	-	0	0	-	1	-	0	1	1	3						
Fla.	6	32	66	1,693	2,599	-	0	1	3	3	1	0	3	30	7						
Ga.	11	13	21	662	657	-	1	5	54	88	-	0	0	-	-						
Md.	1	4	15	221	94	-	0	1	1	3	1	0	3	28	26						
N.C.	-	2	10	133	218	-	0	4	12	15	4	1	133	526	283						
S.C.	-	1	2	32	142	-	0	1	7	12	-	1	6	51	23						
Va.	-	1	6	86	105	-	0	2	8	4	1	5	35	440	214						
W. Va.	-	0	1	2	6	-	0	0	-	-	-	0	1	1	4						
E.S. CENTRAL	3	21	42	1,112	1,003	-	0	3	14	15	1	12	57	909	351						
Ala.	-	6	20	311	312	-	0	1	3	5	-	2	12	152	73						
Ky.	-	5	21	336	248	-	0	1	3	3	-	0	7	56	1						
Miss.	-	5	13	267	234	-	0	2	2	1	-	0	4	23	23						
Tenn.	3	3	9	198	209	-	0	1	6	6	1	10	49	678	254						
W.S. CENTRAL	24	47	189	2,395	3,208	-	0	6	5	15	-	12	292	886	642						
Ark.	5	1	7	94	93	-	0	1	3	9	-	9	67	791	530						
La.	-	4	10	188	478	-	0	0	-	-	-	0	1	5	9						
Okla.	6	8	55	483	220	-	0	5	1	3	-	0	260	52	67						
Tex.	13	31	122	1,630	2,417	-	0	1	1	3	-	0	13	38	36						
MOUNTAIN	7	12	34	726	862	-	0	2	11	32	-	0	5	49	67						
Ariz.	7	8	18	405	423	-	0	2	10	31	-	0	4	31	43						
Colo.	-	1	19	123	88	-	0	1	1	-	-	0	1	3	3						
Idaho	-	0	2	9	16	-	0	0	-	-	-	0	2	3	1						
Mont.	-	0	2	11	122	-	0	0	-	-	-	0	1	1	1						
Nev.	-	0	8	49	34	-	0	0	-	-	-	0	0	-	2						
N. Mex.	-	1	7	93	122	-	0	0	-	-	-	0	1	4	-						
Utah	-	0	4	32	55	-	0	0	-	1	-	0	1	5	7						
Wyo.	-	0	3	4	2	-	0	0	-	-	-	0	1	2	10						
PACIFIC	2	20	57	1,149	1,100	-	0	2	13	2	-	0	3	9	7						
Alaska	-	0	2	8	5	N	0	0	N	N	N	0	0	N	N						
Calif.	1	15	57	904	898	-	0	2	13	2	-	0	1	8	6						
Hawaii	-	0	3	21	47	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	10	94	56	-	0	0	-	-	-	0	1	1	1						
Wash.	1	1	19	122	94	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	3	5	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	16	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	6	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


