
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 30, 2013 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	10,737	26,597	30,383	296,538	354,505	17	231	547	1,174	4,991	41	129	286	959	1,424						
NEW ENGLAND	762	945	1,349	11,095	11,630	-	0	1	1	-	1	7	19	28	68						
Conn.	145	248	569	2,744	3,151	N	0	0	N	N	-	1	3	3	7						
Maine	-	59	101	462	790	N	0	0	N	N	-	1	4	4	7						
Mass.	501	470	706	5,745	5,403	-	0	0	-	-	1	2	8	16	34						
N.H.	2	59	83	587	812	-	0	1	1	-	-	1	4	2	10						
R.I.	114	83	160	1,098	1,140	-	0	1	-	-	-	0	3	-	2						
Vt.	-	28	110	459	334	N	0	0	N	N	-	1	6	3	8						
MID. ATLANTIC	1,926	3,513	4,498	43,660	45,556	-	0	1	-	3	3	12	40	99	132						
N.J.	180	536	646	6,564	7,168	N	0	0	N	N	-	0	4	-	9						
N.Y. (Upstate)	736	725	1,698	8,679	8,575	N	0	0	N	N	3	3	16	27	21						
N.Y. City	63	1,137	1,273	12,266	15,679	N	0	0	N	N	-	2	8	9	24						
Pa.	947	1,063	1,992	16,151	14,134	-	0	1	-	3	-	7	20	63	78						
E.N. CENTRAL	1,280	4,272	4,770	41,883	55,978	-	1	4	6	11	9	28	110	197	380						
Ill.	39	1,296	1,495	8,475	17,431	N	0	0	N	N	-	3	8	3	39						
Ind.	219	573	838	6,355	7,217	N	0	0	N	N	-	2	8	20	49						
Mich.	399	910	1,304	10,015	11,949	-	0	2	2	6	2	5	40	41	70						
Ohio	410	1,043	1,204	11,440	13,323	-	0	2	2	4	6	9	28	80	125						
Wis.	213	466	552	5,598	6,058	-	0	1	2	1	1	8	43	53	97						
W.N. CENTRAL	296	1,559	1,799	14,945	20,968	-	2	8	-	25	2	17	42	112	173						
Iowa	12	211	255	2,149	3,010	N	0	0	N	N	-	4	22	21	61						
Kans.	29	210	256	2,319	2,917	N	0	0	N	N	-	2	5	9	29						
Minn.	-	342	436	1,809	4,438	-	1	7	-	22	-	0	0	-	-						
Mo.	241	544	657	6,193	7,107	-	0	1	-	3	2	4	12	42	36						
Nebr.	-	120	186	1,113	1,776	-	0	1	-	-	-	2	10	14	13						
N. Dak.	-	48	73	448	718	-	0	0	-	-	-	0	3	4	8						
S. Dak.	14	75	109	914	1,002	N	0	0	N	N	-	2	6	22	26						
S. ATLANTIC	2,370	5,217	6,451	61,575	72,144	-	0	1	-	2	17	19	54	244	305						
Del.	83	91	322	1,489	944	-	0	1	-	-	-	0	2	2	6						
D.C.	-	132	281	1,685	1,758	-	0	0	-	-	N	0	0	N	N						
Fla.	888	1,526	1,774	18,849	19,514	N	0	0	N	N	9	8	24	70	104						
Ga.	663	913	1,179	10,827	14,028	N	0	0	N	N	6	5	14	65	73						
Md.	-	458	1,238	3,462	5,337	-	0	1	-	2	1	1	5	12	27						
N.C.	-	866	1,771	8,654	12,555	N	0	0	N	N	-	0	29	41	35						
S.C.	-	527	908	6,453	7,230	N	0	0	N	N	-	1	4	23	22						
Va.	639	655	1,018	8,901	9,544	N	0	0	N	N	1	3	7	27	36						
W. Va.	97	90	149	1,255	1,234	N	0	0	N	N	-	0	3	4	2						
E.S. CENTRAL	1,040	1,918	2,559	19,876	27,172	-	0	0	-	-	2	4	14	49	66						
Ala.	-	572	862	6,577	7,687	N	0	0	N	N	1	2	6	22	27						
Ky.	393	334	787	4,334	4,089	N	0	0	N	N	1	1	4	10	9						
Miss.	540	374	766	3,721	6,593	N	0	0	N	N	-	0	4	8	10						
Tenn.	107	610	735	5,244	8,803	N	0	0	N	N	-	1	5	9	20						
W.S. CENTRAL	663	3,457	4,565	40,282	41,191	-	0	1	2	-	1	10	29	86	85						
Ark.	295	329	394	4,207	4,276	N	0	0	N	N	-	1	5	3	4						
La.	154	507	2,034	3,397	2,404	-	0	1	2	-	-	3	7	43	18						
Okla.	214	100	996	2,627	3,422	N	0	0	N	N	-	1	6	11	15						
Tex.	-	2,477	3,681	30,051	31,089	N	0	0	N	N	1	5	26	29	48						
MOUNTAIN	656	1,747	2,029	15,586	23,872	2	170	441	745	3,553	5	12	48	60	109						
Ariz.	-	549	769	969	7,829	2	166	439	726	3,490	-	1	4	4	5						
Colo.	363	417	583	5,280	5,644	N	0	0	N	N	1	1	7	5	12						
Idaho	106	86	196	1,289	1,206	N	0	0	N	N	3	3	25	17	18						
Mont.	69	74	108	923	991	-	0	1	-	1	-	1	4	4	20						
Nev.	-	209	325	1,951	2,410	-	1	6	9	32	-	0	2	3	3						
N. Mex.	95	222	461	3,421	3,241	-	0	2	4	12	-	1	4	6	30						
Utah	13	149	181	1,507	2,062	-	1	4	5	16	1	2	22	20	14						
Wyo.	10	30	63	246	489	-	0	1	1	2	-	0	4	1	7						
PACIFIC	1,744	4,148	4,978	47,636	55,994	15	66	100	420	1,397	1	11	27	84	106						
Alaska	43	105	150	1,335	1,479	N	0	0	N	N	-	0	1	-	-						
Calif.	904	3,192	4,167	37,400	43,202	15	66	100	419	1,396	-	6	14	49	51						
Hawaii	-	114	148	808	1,550	N	0	0	N	N	-	0	1	-	2						
Oreg.	366	258	368	3,492	3,664	-	0	1	1	1	-	3	11	23	46						
Wash.	431	459	632	4,601	6,099	-	0	0	-	-	1	1	22	12	7						
Amer. Samoa	-	12	59	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	14	108	307	1,400	1,635	N	0	0	N	N	N	0	0	N	N						
V.I.	-	14	25	-	186	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


